"ProteinGroup","Gene","Description","KO_1G4_r1","KO_1G4_r2","KO_1G4_r3","KO_1G4_r4","KO_3G4_r1","KO_3G4_r2","KO_3G4_r3","KO_3G4_r4","LTED_r1","LTED_r2","LTED_r3","LTED_r4","WT_r1","WT_r2","WT_r3","WT_r4"
"A0A024QZ33;Q9H0G5","NSRP1","Coiled-coil domain containing 55, isoform CRA_a;Nuclear speckle splicing regulatory protein 1",3637.123046875,4121.50927734375,3668.86303710938,2351.76879882813,3029.1123046875,3326.0322265625,2122.40795898438,3221.84448242188,3038.08276367188,3645.37231445313,3992.59033203125,3892.1279296875,4581.4716796875,3978.60546875,4492.25341796875,NA
"A0A024QZX5;A0A087X1N8;P35237","SERPINB6","Serpin B6",376744.71875,344970.375,355861.0625,358018.9375,429198.4375,441516,451316.46875,402611.75,437778.1875,479933.65625,558229.375,522308.5625,263436.53125,340648.375,214758.765625,NA
"A0A024R0K5;A0A087WYX0;P06731;P13688;P31997","CEACAM5;CEACAM5;CEACAM5;CEACAM1;CEACAM8","Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 1;Carcinoembryonic antigen-related cell adhesion molecule 8",41355.16015625,17805.71875,29841.54296875,7480.72021484375,25278.73828125,33504.60546875,26619.44140625,25570.17578125,1208.89660644531,NA,3602.3818359375,NA,NA,NA,NA,NA
"A0A024R161;P50151","DNAJC25-GNG10;GNG10","Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10",39247.2890625,44704.9296875,53094.45703125,67572.0625,38515.625,43831.55078125,57818.203125,24240.748046875,9189.8076171875,35880.70703125,35685.38671875,39725.32421875,31555.1796875,38466.40234375,20181.017578125,NA
"A0A024R4E5","HDLBP","High density lipoprotein binding protein (Vigilin), isoform CRA_a",171595.328125,166926.984375,165235.546875,159818.515625,155126.625,174374.078125,159533.28125,161898.71875,233549.765625,206817.078125,200921.5625,192375.625,265677.15625,287052.8125,281361.375,NA
"A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8","TMEM120A","Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A",16802.9296875,15112.8291015625,16086.4970703125,15275.6240234375,12724.9140625,9132.6591796875,9658.40625,11003.21875,12626.6240234375,10935.5009765625,11505.755859375,11222.4267578125,22248.431640625,25712.556640625,25000.240234375,NA
"A0A024R644;A0A1B0GWI2;O75503","CLN5","Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5",20042.490234375,21413.130859375,19623.4375,18494.9296875,20763.53125,18243.1328125,15941.26953125,19580.330078125,18136.2109375,16127.318359375,19891.0390625,20891.6484375,31900.025390625,25321.251953125,24521.6328125,NA
"A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002","ELOF1","Transcription elongation factor 1 homolog",99986.3125,106517.1953125,92233.5234375,116932.2890625,89490.4375,87180.6171875,75177.09375,88465.421875,102572.640625,91806.71875,83604.8203125,82470.4453125,95876.9921875,64918.4296875,99286.21875,NA
"A0A024R7P0;F5GY33;H0YGQ6;O14593","RFXANK","DNA-binding protein RFXANK;DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK",4537.89111328125,4772.95947265625,4857.59228515625,1239.87683105469,5195.02099609375,5947.560546875,2117.33154296875,4250.5947265625,3139.10473632813,2658.68188476563,3577.69555664063,2829.98852539063,3507.001953125,6896.24462890625,4797.9677734375,NA
"A0A024RA52;P25787","PSMA2","Proteasome subunit alpha type;Proteasome subunit alpha type-2",599104.375,673914.4375,676841.5,717559.0625,557253.8125,695096.8125,686142.0625,563397.3125,602142.0625,671981.125,674038.625,683103.0625,566828.0625,625355.625,581190.3125,1064336.625
"A0A024RAC6","ELOA","Elongin-A",50764.3125,54164.76953125,56391.0546875,52805.4375,41433.37109375,45095.5703125,42307.203125,44008.16796875,51732.99609375,60547.34375,59770.92578125,58020.8203125,43927.96875,43200.90625,43689.97265625,NA
"A0A024RBG1","NUDT4B","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B",57922.26953125,24243.015625,30456.587890625,24250.99609375,107865.7421875,63291.46875,107478.921875,76592.8046875,21425.2578125,12086.5009765625,20127.197265625,13195.453125,12684.7041015625,13739.4755859375,15521.029296875,NA
"A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1","SLC22A18","Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18;Solute carrier family 22 member 18;Solute carrier family 22 member 18",47185.23046875,52997.921875,47784.8203125,56631.29296875,41171.60546875,44515.71875,48781.6171875,37308.65625,63614.4453125,53650.25,47154.00390625,42881.6171875,24888.048828125,23717.333984375,24535.04296875,NA
"A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5","PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;;PPT2;PPT2;PPT2;PPT2","HCG1999928, isoform CRA_a;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Uncharacterized protein;Uncharacterized protein;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2",16551.841796875,25786.1015625,17581.201171875,20100.537109375,11887.15625,11860.302734375,13933.7080078125,10131.8779296875,11182.8759765625,18566.615234375,13023.623046875,13000.220703125,23260.15234375,25649.552734375,23145.380859375,NA
"A0A024RCR6;A0A0G2JK23;P46379","BAG6","BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6",270540.84375,272484.875,281667.46875,259840.625,213421.625,231716.3125,244288.765625,233903.109375,298678.28125,219766.015625,210298.671875,200364.828125,210317.5,264987.75,245875.84375,NA
"A0A044PY82;Q96FF7","MISP3","Uncharacterized protein MISP3",17190.314453125,19856.861328125,18093.80078125,31391.833984375,17714.5625,18387.880859375,23559.322265625,20520.435546875,19572.236328125,8398.91015625,7775.88134765625,9197.8623046875,9325.482421875,11297.78515625,8643.337890625,NA
"A0A067XG54;Q8NB49","ATP11C","Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG",16076.4150390625,14920.1884765625,14401.9150390625,12433.1845703125,19054.271484375,22973.779296875,19780.650390625,18811.69140625,28025.93359375,24415.201171875,23024.564453125,21484.56640625,10421.21484375,13599.599609375,12802.783203125,NA
"A0A075B6E4;A0A0A6YYI5;E7EQU6;E7EWF5;G5E9M7;G5E9M9;Q14135","VGLL4","Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4",5797.2705078125,3368.30029296875,5460.9189453125,4033.78125,3764.3408203125,3916.26391601563,3448.31396484375,4484.07470703125,3644.59741210938,1204.6396484375,1052.27905273438,1662.03796386719,2372.7607421875,4214.7919921875,3420.94677734375,NA
"A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP8;P11532","DMD","Dystrophin",421781.3125,613949.375,399338.71875,109572.34375,492123.25,451535.21875,459885.53125,626311.375,463598.6875,355535.53125,388447.3125,245914.078125,2983789,2942552.75,2994485.75,NA
"A0A075B6P0;Q330K2","NDUFAF6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6;NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",16482.634765625,14797.4990234375,15634.7890625,16512.609375,15636.8056640625,15456.3583984375,15840.423828125,15053.841796875,15430.2138671875,14947.45703125,13892.119140625,13938,12950.1943359375,13916.8154296875,10927.7841796875,NA
"A0A075B6T1;Q9C0C7","AMBRA1","Activating molecule in BECN1-regulated autophagy protein 1",5568.66357421875,5550.00390625,6354.53466796875,2843.17895507813,7090.99169921875,6268.90380859375,5873.77685546875,7108.47265625,7847.23583984375,6219.9208984375,6201.31103515625,6452.9912109375,9553.0546875,9074.810546875,9123.67578125,NA
