gene_name	log2fc
AKR1C2	3.17821
PPIAL4C	2.97691
IGFBP3	2.94811
TMEM231	2.84909
ASB9	2.78994
COL12A1	2.67327
PGM2L1	2.63851
ESPN	2.60656
CCNL2	2.60499
NUPR1	2.39877
CLIC3	2.36969
AKR1C1	2.30822
MB	2.29257
ATP2B4	2.26685
KRT20	2.19472
CD47	2.17736
PROM2	2.15464
TANC2	2.14968
RAPGEFL1	2.13353
C1orf226	2.13177
SHFL	2.06111
SDC1	2.05206
CAST	2.04002
RDH10	2.03801
CAPG	2.0195
DEPTOR	2.01498
ARMCX2	2.01321
CDCA7L	-2.01523
TWISTNB	-2.01576
ZMYND11	-2.04843
FAM221A	-2.06775
ANKMY2	-2.13007
DPYSL5	-2.1558
DNMT3B	-2.48197
TMEM181	-2.5243
AP1G2	-2.53441
L1CAM	-2.57804
ANXA6	-2.60284
ANXA11	-2.70953
PPM1E	-3.23147
SLC25A18	-4.54526
