gene_name	log2fc
BASP1	4.96825
GNB5	4.9218
TYMP	4.91222
AGR2	4.78439
SPPL2A	4.36259
SH3BGRL2	4.34803
DTWD1	4.29165
ACSL4	4.24245
USP8	3.96449
LXN	3.91023
TMOD2	3.89728
ARPP19	3.82895
CLU	3.75627
MYO5A	3.73411
TMEM181	3.7099
SLC27A2	3.70375
SNCG	3.69139
NAPRT	3.69003
TGFB1I1	3.59548
TRIQK	3.58788
NUPR1	3.5255
ESR1	3.4636
TRPM7	3.39021
KIF5A	3.21772
ASB9	3.17401
NET1	3.14863
DMXL2	3.11225
BCAS1	3.10496
SLC34A2	3.05966
MYO5C	3.04453
ARFGEF3	3.00408
DCLK1	2.99426
FAM221A	2.93928
LYSMD2	2.91843
TFPI	2.91295
TMEM135	2.87346
CAB39L	2.82976
ANKMY2	2.8261
AR	2.82173
GDAP1	2.78805
FLNA	2.77949
LMCD1	2.77645
RAB27A	2.76797
NPNT	2.76089
CDCA7L	2.75886
AKAP5	2.75522
MYO1B	2.75275
PRR15	2.73896
ANTXR2	2.7351
EFEMP1	2.72912
CXADR	2.72286
ACSL3	2.67289
AP4E1	2.67264
FLNA	2.65834
DPYSL5	2.63938
ATP2A3	2.62376
ABHD17C	2.62208
EPB41L2	2.61437
ACKR3	2.59938
CCDC126	2.59793
ICAM1	2.59673
OBSL1	2.58218
TTC9	2.57067
DKK1	2.52163
TAGLN	2.51674
THBS1	2.51177
CMC4	2.50478
PKN3	2.50373
SLIT1	2.44747
TMOD3	2.43374
TPK1	2.41644
L1CAM	2.40969
BCAM	2.3856
ARNT2	2.37584
EEF1A2	2.32224
NUDT7	2.30435
SELENBP1	2.25645
SHANK2	2.24532
IDNK	2.23954
RAB39B	2.22732
C16orf46	2.2232
EFNB2	2.21246
AP4B1	2.21233
FKBP10	2.18863
PPP1R35	2.18609
SORBS3	2.18528
MICAL1	2.17223
SCD	2.16779
SMIM20	2.16419
PAK1	2.16333
TAPT1	2.1608
GRTP1	2.15271
SEPSECS	2.14418
DPYSL2	2.13857
ENPP1	2.12004
ABCG1	2.11613
RAPH1	2.11418
MAP1B	2.0859
KCNAB2	2.07994
FAR1	2.06498
EML2	2.05922
ABCC5	2.05114
UGDH	2.05033
HMGB3	2.04881
SIPA1L2	2.04541
PLXNA3	2.03641
TNS3	2.03532
PIGBOS1	2.035
NPTXR	2.02496
PCTP	2.01794
JPH1	2.01466
MARCKS	2.00446
FAM107B	2.00342
POLR3G	-2.00394
PSTPIP2	-2.02251
KIAA1217	-2.02765
CORO1A	-2.0289
ARHGEF10L	-2.06143
NOTCH1	-2.06736
SLC3A2	-2.09226
SEC11C	-2.10861
SPART	-2.13612
DTX3L	-2.14573
SLC3A2	-2.15614
SULT1A4;SULT1A3;SULT1A4	-2.16396
ACSL1	-2.16396
APOE	-2.16626
SEMA4C	-2.16656
SLC7A5	-2.16743
SYNPO2	-2.17077
OAS3	-2.17185
RCN1	-2.17555
ASS1	-2.18732
RIN1	-2.20411
FRG1	-2.2172
C1orf226	-2.23212
NEIL2	-2.24813
KSR1	-2.25946
PARP14	-2.28775
STOM	-2.31322
NPM3	-2.323
GPC6	-2.32827
NT5DC3	-2.33703
CA12	-2.37137
QPRT	-2.40367
BAG3	-2.43538
IRS1	-2.43906
VAMP2;VAMP2;;VAMP2	-2.46314
ADA	-2.46407
PGR	-2.46639
MOCS2	-2.46749
KLF13	-2.51951
PRTFDC1	-2.52203
FGFR4	-2.58501
SYTL5	-2.60595
SFXN3	-2.67992
SMPDL3B	-2.71233
TCEA3	-2.72839
PLBD1	-2.77085
TMEM164	-2.78557
NUDT10;NUDT11	-2.85002
ANXA1	-2.86475
CDC42EP5	-2.8901
SYNE1	-2.92451
CXXC5	-2.93322
EFHD1	-2.96625
RHOD	-2.96774
INAFM1	-2.99308
STMN3	-3.03426
S100A14	-3.03626
DMD	-3.06942
TENM3	-3.07942
HNMT	-3.10404
ITGA2	-3.1441
GNB4	-3.16158
FKBP11	-3.18246
IFITM3	-3.20545
RAPGEFL1	-3.21259
DDX58	-3.2202
MUC1	-3.28227
MOCS2	-3.29066
LGALS3BP	-3.35622
CELSR2	-3.38232
S100A4	-3.40573
POF1B	-3.43181
FHL1	-3.43751
ITGA2	-3.61304
HSPB8	-3.70859
ESPN	-3.71455
CA2	-3.73209
SUSD2	-3.83867
PADI2	-3.88353
GREB1	-4.00643
SLC26A2	-4.21057
MAOB	-4.23151
CLIC3	-4.29089
S100A8	-4.39663
TRIP6	-4.59406
PDZK1	-6.04233
