NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	170	-0.6339631	-2.643866	0.0	0.0	0.0	1276	tags=56%, list=18%, signal=68%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.6132886	-2.5318532	0.0	0.0	0.0	1265	tags=52%, list=18%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	161	-0.5022098	-2.0633867	0.0	0.0	0.0	1215	tags=37%, list=18%, signal=43%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	41	-0.560032	-1.8063365	0.0022522523	0.0052689137	0.028	1268	tags=46%, list=18%, signal=56%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	15	-0.61676645	-1.5917617	0.030674847	0.032740373	0.195	401	tags=33%, list=6%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	116	-0.34348357	-1.3515991	0.04524887	0.1730067	0.766	1074	tags=24%, list=15%, signal=28%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	54	-0.38641813	-1.3362486	0.07392197	0.16151248	0.801	1783	tags=33%, list=26%, signal=45%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	72	-0.33783534	-1.2629135	0.12362031	0.22829063	0.922	413	tags=19%, list=6%, signal=20%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	73	-0.31804967	-1.1702088	0.18604651	0.345739	0.986	1182	tags=16%, list=17%, signal=20%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	159	-0.26938692	-1.1173795	0.20945945	0.41578054	0.999	968	tags=21%, list=14%, signal=24%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	87	-0.28946882	-1.0950814	0.26490065	0.42239597	1.0	840	tags=17%, list=12%, signal=19%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	89	-0.27784866	-1.0562319	0.3501144	0.46713158	1.0	1041	tags=21%, list=15%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	60	-0.26939428	-0.957434	0.5304348	0.6578481	1.0	1783	tags=35%, list=26%, signal=47%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	189	-0.21916242	-0.9353333	0.635468	0.66275066	1.0	1085	tags=13%, list=16%, signal=15%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	47	-0.24364977	-0.83716905	0.7635575	0.8283755	1.0	1679	tags=36%, list=24%, signal=47%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	91	-0.15448633	-0.57871	0.99559474	0.9914599	1.0	1859	tags=25%, list=27%, signal=34%	
