NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	112	0.5219234	2.0482693	0.0	0.0	0.0	927	tags=33%, list=13%, signal=38%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	35	0.5847727	1.8275993	0.0	0.006746829	0.011	1425	tags=49%, list=21%, signal=61%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	47	0.5483766	1.8079934	0.0018691589	0.006475746	0.016	1177	tags=40%, list=17%, signal=48%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	78	0.4762395	1.738298	0.003773585	0.014641089	0.048	1268	tags=38%, list=18%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	40	0.5473404	1.7368437	0.0057142857	0.011994689	0.049	1379	tags=52%, list=20%, signal=65%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	79	0.45603365	1.6632746	0.001754386	0.0218192	0.104	1033	tags=33%, list=15%, signal=38%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	19	0.58909583	1.6093985	0.0149532715	0.029218856	0.16	1202	tags=42%, list=17%, signal=51%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	69	0.44099864	1.5781802	0.0071174377	0.03464184	0.206	1214	tags=35%, list=18%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	108	0.40690395	1.5554068	0.0035971224	0.039310127	0.257	1264	tags=35%, list=18%, signal=42%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	50	0.45879316	1.5464476	0.02037037	0.037788562	0.27	1136	tags=38%, list=16%, signal=45%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	71	0.4016824	1.4551308	0.01734104	0.075771146	0.505	845	tags=24%, list=12%, signal=27%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	73	0.40341932	1.4545954	0.027826088	0.06954915	0.505	1311	tags=33%, list=19%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	94	0.38314188	1.437363	0.026132405	0.07373929	0.552	1263	tags=33%, list=18%, signal=40%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	122	0.33112416	1.3136948	0.0511883	0.17478487	0.863	1619	tags=30%, list=23%, signal=39%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	156	0.32167402	1.3006151	0.032490976	0.17761755	0.888	2049	tags=38%, list=30%, signal=53%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	29	0.43372533	1.2943604	0.120300755	0.17298871	0.898	1160	tags=38%, list=17%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	39	0.3955658	1.2713646	0.13333334	0.1904897	0.931	305	tags=15%, list=4%, signal=16%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	84	0.33700246	1.248244	0.11851852	0.20548704	0.955	1541	tags=32%, list=22%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	106	0.3238974	1.2421503	0.108156025	0.20400715	0.958	1789	tags=36%, list=26%, signal=48%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	127	0.3169281	1.2364401	0.086021505	0.20161456	0.963	564	tags=17%, list=8%, signal=18%	
