NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	115	-0.59390604	-2.4320765	0.0	0.0	0.0	576	tags=40%, list=8%, signal=43%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	47	-0.6792686	-2.3646295	0.0	0.0	0.0	996	tags=55%, list=14%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	108	-0.55181247	-2.2189891	0.0	0.0	0.0	956	tags=44%, list=14%, signal=51%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	79	-0.5184219	-1.9634693	0.0	4.8590227E-4	0.002	996	tags=44%, list=14%, signal=51%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	54	-0.53592575	-1.920885	0.0	6.475453E-4	0.003	1873	tags=57%, list=27%, signal=78%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	101	-0.37670988	-1.5088223	0.007246377	0.063199125	0.292	648	tags=24%, list=9%, signal=26%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	65	-0.38831106	-1.4376566	0.031325303	0.09488093	0.446	621	tags=26%, list=9%, signal=28%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	190	-0.33097517	-1.4313782	0.0054200543	0.08793983	0.46	2555	tags=46%, list=37%, signal=70%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	19	-0.48825946	-1.378555	0.11353712	0.11998741	0.617	1146	tags=37%, list=16%, signal=44%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	72	-0.3063585	-1.1707015	0.17431192	0.41565803	0.977	1082	tags=28%, list=15%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	39	-0.3453909	-1.1453869	0.25982532	0.43940556	0.985	256	tags=18%, list=4%, signal=19%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.26685214	-1.139788	0.1856764	0.41687864	0.986	1814	tags=33%, list=26%, signal=43%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	177	-0.26628676	-1.1372998	0.17534247	0.39027217	0.987	2366	tags=40%, list=34%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	74	-0.29381722	-1.1119963	0.26119402	0.4133456	0.996	738	tags=19%, list=11%, signal=21%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	30	-0.33265975	-1.0685923	0.36489606	0.4758102	1.0	400	tags=17%, list=6%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	18	-0.37070435	-1.0174494	0.4021978	0.56993324	1.0	1212	tags=39%, list=17%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	129	-0.24070859	-0.99468875	0.4344473	0.59426475	1.0	1745	tags=30%, list=25%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	90	-0.2567929	-0.9833148	0.47727272	0.5880747	1.0	1675	tags=24%, list=24%, signal=32%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	15	-0.37395486	-0.98283726	0.4817987	0.55824864	1.0	792	tags=20%, list=11%, signal=23%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	172	-0.19027168	-0.82000434	0.9110512	0.90304506	1.0	2022	tags=29%, list=29%, signal=40%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		42	-0.21512257	-0.7289913	0.90163934	0.97748065	1.0	2068	tags=33%, list=30%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		37	-0.20002623	-0.6538285	0.9376344	0.97585547	1.0	1527	tags=27%, list=22%, signal=34%	
