NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	49	0.56145704	1.8626672	0.0	0.007904026	0.009	1322	tags=49%, list=19%, signal=60%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	67	0.4997552	1.7599523	0.0017006802	0.0145678185	0.031	1041	tags=33%, list=15%, signal=38%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	50	0.483963	1.6084739	0.009140768	0.050241046	0.155	1027	tags=36%, list=15%, signal=42%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	74	0.43462208	1.5629625	0.010695187	0.05885444	0.231	948	tags=30%, list=14%, signal=34%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	51	0.42516205	1.4418899	0.044609666	0.14718972	0.568	1339	tags=45%, list=19%, signal=55%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	102	0.35004073	1.3304957	0.05175292	0.29136935	0.852	1398	tags=33%, list=20%, signal=41%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	109	0.33252257	1.2826713	0.06972789	0.3528656	0.933	1573	tags=30%, list=22%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	89	0.34289503	1.2752498	0.08963093	0.32467347	0.954	980	tags=30%, list=14%, signal=35%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	72	0.35083172	1.2638196	0.12048193	0.30928537	0.961	1364	tags=28%, list=20%, signal=34%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	162	0.30860832	1.2443709	0.08347245	0.31123486	0.971	1751	tags=31%, list=25%, signal=41%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	36	0.37234887	1.1921381	0.21062271	0.38556972	0.993	536	tags=25%, list=8%, signal=27%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	91	0.3200727	1.1853411	0.1708126	0.36681035	0.993	654	tags=16%, list=9%, signal=18%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	158	0.28571275	1.1545445	0.17918089	0.39968935	0.999	641	tags=15%, list=9%, signal=16%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	59	0.32757977	1.1299108	0.2735043	0.4250731	1.0	1204	tags=29%, list=17%, signal=35%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	105	0.27570447	1.0459335	0.3447099	0.5963315	1.0	950	tags=22%, list=14%, signal=25%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	84	0.2773975	1.0204865	0.4036851	0.62511057	1.0	1458	tags=32%, list=21%, signal=40%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	50	0.3077222	1.0160966	0.4619469	0.5981884	1.0	239	tags=12%, list=3%, signal=12%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	125	0.2506005	0.98508066	0.48027444	0.6419032	1.0	1463	tags=27%, list=21%, signal=34%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	79	0.26658946	0.9585213	0.5241379	0.6742493	1.0	1153	tags=28%, list=16%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	84	0.26230744	0.9553719	0.5352349	0.6477691	1.0	1874	tags=36%, list=27%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		47	0.27969253	0.9318216	0.56721914	0.67341053	1.0	684	tags=15%, list=10%, signal=16%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		27	0.31288078	0.92951965	0.57894737	0.6478388	1.0	1305	tags=26%, list=19%, signal=32%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		33	0.28347173	0.8626159	0.6660517	0.76034075	1.0	1248	tags=30%, list=18%, signal=37%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		120	0.16658807	0.6368992	0.9983471	0.9804728	1.0	1832	tags=28%, list=26%, signal=37%	
