NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA1	41	9.03364372253418	0.07723506	Yes	
row_1	SNCG	129	5.89100980758667	0.12454215	Yes	
row_2	SOWAHC	329	3.7602596282958984	0.14745514	Yes	
row_3	ANGPT1	456	3.1364009380340576	0.16859654	Yes	
row_4	ACADL	555	2.7661807537078857	0.18790881	Yes	
row_5	ANGPTL4	937	1.9643410444259644	0.1858139	Yes	
row_6	SPARCL1	984	1.8757550716400146	0.199948	Yes	
row_7	CRAT	1006	1.8446980714797974	0.21507856	Yes	
row_8	FZD4	1109	1.711486577987671	0.22492744	Yes	
row_9	STAT5A	1127	1.6862549781799316	0.23886994	Yes	
row_10	ELOVL6	1272	1.5461317300796509	0.24513477	Yes	
row_11	VEGFB	1439	1.3928940296173096	0.2489373	Yes	
row_12	ACLY	1575	1.290151596069336	0.2534115	Yes	
row_13	QDPR	2047	1.008862853050232	0.23835838	Yes	
row_14	DHCR7	2186	0.9530740976333618	0.2397207	Yes	
row_15	IDH1	2189	0.9509024024009705	0.2479682	Yes	
row_16	UCP2	2385	0.8778687715530396	0.24577652	Yes	
row_17	PFKFB3	2563	0.8209231495857239	0.24399863	Yes	
row_18	IDH3G	2634	0.8000889420509338	0.24746986	Yes	
row_19	PGM1	2635	0.8000339865684509	0.25449425	Yes	
row_20	ME1	2828	0.7374754548072815	0.2512222	Yes	
row_21	ARL4A	2887	0.7234488129615784	0.2546297	Yes	
row_22	ADCY6	2925	0.7129598259925842	0.2590112	Yes	
row_23	TANK	2951	0.7067092657089233	0.26394704	Yes	
row_24	MTARC2	3115	0.6666971445083618	0.26152578	No	
row_25	RNF11	3261	0.6336868405342102	0.25972846	No	
row_26	CYP4B1	3385	0.608521580696106	0.25882706	No	
row_27	SQOR	3459	0.592556893825531	0.26032382	No	
row_28	TKT	3601	0.5683574080467224	0.258156	No	
row_29	TOB1	3713	0.549191951751709	0.25734288	No	
row_30	NKIRAS1	3731	0.5464229583740234	0.2612775	No	
row_31	MYLK	3882	0.5209431648254395	0.25823647	No	
row_32	GBE1	3979	0.5051042437553406	0.25779775	No	
row_33	GADD45A	3982	0.5046204924583435	0.26212683	No	
row_34	CCNG2	4197	0.4713255763053894	0.25540107	No	
row_35	RIOK3	4377	0.44635650515556335	0.25023293	No	
row_36	DECR1	4417	0.44032472372055054	0.25211915	No	
row_37	SLC25A1	4495	0.4307743012905121	0.25199237	No	
row_38	GRPEL1	4655	0.40971437096595764	0.24751782	No	
row_39	LIFR	4779	0.3969600796699524	0.24475889	No	
row_40	IFNGR1	5009	0.3700181841850281	0.23638216	No	
row_41	REEP6	5054	0.3649652302265167	0.23735286	No	
row_42	DHRS7	5352	0.3349781632423401	0.22521634	No	
row_43	ECH1	5370	0.33377379179000854	0.22728388	No	
row_44	LPCAT3	5745	0.2925005257129669	0.21086536	No	
row_45	MCCC1	5945	0.2723841965198517	0.20315439	No	
row_46	REEP5	6048	0.26221778988838196	0.2002785	No	
row_47	BCL2L13	6282	0.2408536672592163	0.19056462	No	
row_48	GPX3	6283	0.24066554009914398	0.19267769	No	
row_49	ESRRA	6300	0.23930612206459045	0.19396655	No	
row_50	TALDO1	6333	0.2358490526676178	0.19441281	No	
row_51	ACOX1	6386	0.2318117916584015	0.19380829	No	
row_52	BCL6	6592	0.2165236473083496	0.18530224	No	
row_53	DDT	6643	0.21272465586662292	0.18463166	No	
row_54	SCP2	6851	0.19592531025409698	0.17584322	No	
row_55	CMPK1	6960	0.18697309494018555	0.17200208	No	
row_56	G3BP2	7176	0.17075935006141663	0.16258655	No	
row_57	ALDH2	7291	0.16062495112419128	0.15820947	No	
row_58	BAZ2A	7434	0.15024334192276	0.15231977	No	
row_59	ALDOA	7539	0.14232084155082703	0.14828965	No	
row_60	JAGN1	7735	0.12763699889183044	0.13951084	No	
row_61	RETSAT	7886	0.1170007586479187	0.13292313	No	
row_62	ADIPOR2	8106	0.10219322890043259	0.12270252	No	
row_63	ESYT1	8326	0.08651438355445862	0.11234424	No	
row_64	CDKN2C	8331	0.08614832162857056	0.11289757	No	
row_65	AIFM1	8370	0.08325862884521484	0.11169946	No	
row_66	GPHN	8457	0.07765964418649673	0.108015396	No	
row_67	GHITM	8671	0.0640609860420227	0.09776458	No	
row_68	LIPE	8674	0.06383700668811798	0.098223545	No	
row_69	APLP2	8747	0.0595833957195282	0.0950915	No	
row_70	LTC4S	9000	0.04374753311276436	0.08268243	No	
row_71	RMDN3	9019	0.04204403981566429	0.082137786	No	
row_72	DRAM2	9070	0.03804246336221695	0.07993347	No	
row_73	UBQLN1	9075	0.03758510574698448	0.08006041	No	
row_74	ITGA7	9096	0.03641502186655998	0.07936481	No	
row_75	SLC27A1	9117	0.03532472625374794	0.07865963	No	
row_76	UQCR10	9344	0.019388120621442795	0.067356616	No	
row_77	UQCR11	9419	0.015493988990783691	0.063735925	No	
row_78	SCARB1	9449	0.013575686141848564	0.06238289	No	
row_79	COX8A	9786	-0.00876059290021658	0.04540224	No	
row_80	GPAT4	9833	-0.012167727574706078	0.043173812	No	
row_81	NABP1	9846	-0.012989331036806107	0.04267866	No	
row_82	SDHC	9913	-0.017104854807257652	0.03947825	No	
row_83	MIGA2	9983	-0.02133498154580593	0.036162682	No	
row_84	AGPAT3	9985	-0.021352937445044518	0.036299396	No	
row_85	UCK1	10015	-0.022498492151498795	0.035024703	No	
row_86	COX6A1	10071	-0.02677140384912491	0.0324676	No	
row_87	ACADS	10148	-0.03164248168468475	0.028887164	No	
row_88	UBC	10363	-0.04538365453481674	0.01842159	No	
row_89	PEX14	10411	-0.0485711395740509	0.016462022	No	
row_90	SAMM50	10422	-0.048946626484394073	0.016384114	No	
row_91	ATP1B3	10492	-0.053387727588415146	0.013349971	No	
row_92	COQ9	11011	-0.08621586859226227	-0.01219013	No	
row_93	SLC19A1	11013	-0.08650988340377808	-0.011481329	No	
row_94	GPAM	11045	-0.08850859850645065	-0.012277977	No	
row_95	PTGER3	11164	-0.09633633494377136	-0.017422589	No	
row_96	COQ5	11182	-0.09729276597499847	-0.017431377	No	
row_97	BCKDHA	11253	-0.10256838798522949	-0.020084474	No	
row_98	ETFB	11385	-0.110242560505867	-0.025766954	No	
row_99	PIM3	11620	-0.12424788624048233	-0.03655542	No	
row_100	SOD1	11631	-0.1248345598578453	-0.035967022	No	
row_101	CHCHD10	11654	-0.12650179862976074	-0.035973188	No	
row_102	RTN3	11747	-0.13304071128368378	-0.039475597	No	
row_103	ACAA2	11816	-0.13789252936840057	-0.04171701	No	
row_104	ARAF	11847	-0.140669047832489	-0.042004917	No	
row_105	HIBCH	11974	-0.14902006089687347	-0.047093093	No	
row_106	C3	12073	-0.15541282296180725	-0.050703675	No	
row_107	MGLL	12098	-0.1576293259859085	-0.050538067	No	
row_108	PHYH	12123	-0.15963858366012573	-0.05035482	No	
row_109	SULT1A1	12128	-0.159826397895813	-0.04915459	No	
row_110	NDUFAB1	12234	-0.16595861315727234	-0.053027943	No	
row_111	COQ3	12320	-0.1714605689048767	-0.055837657	No	
row_112	PLIN2	12489	-0.18321095407009125	-0.06275783	No	
row_113	DLAT	12627	-0.19350573420524597	-0.06801385	No	
row_114	CD302	12748	-0.2010035365819931	-0.072340995	No	
row_115	CAVIN1	12774	-0.2027340531349182	-0.07183013	No	
row_116	RAB34	13072	-0.22330699861049652	-0.08494714	No	
row_117	PPP1R15B	13091	-0.22539758682250977	-0.08388192	No	
row_118	MGST3	13222	-0.23436687886714935	-0.08842381	No	
row_119	SLC25A10	13230	-0.23500369489192963	-0.08671581	No	
row_120	CPT2	13481	-0.2544500231742859	-0.097173356	No	
row_121	DHRS7B	13499	-0.25571003556251526	-0.09579122	No	
row_122	POR	13574	-0.2603297829627991	-0.09726222	No	
row_123	DBT	13647	-0.2660694122314453	-0.09858129	No	
row_124	UQCRQ	13697	-0.2711241543292999	-0.09868835	No	
row_125	AK2	13711	-0.2723448574542999	-0.096957095	No	
row_126	CD151	13720	-0.27277329564094543	-0.094968244	No	
row_127	FAH	13733	-0.27342748641967773	-0.093176715	No	
row_128	COX7B	14142	-0.3045453131198883	-0.11121554	No	
row_129	PDCD4	14209	-0.3092944622039795	-0.111850485	No	
row_130	ITSN1	14280	-0.31515493988990784	-0.11263705	No	
row_131	CS	14329	-0.3186710774898529	-0.112275876	No	
row_132	HADH	14415	-0.32569923996925354	-0.113731354	No	
row_133	CYC1	14441	-0.32738667726516724	-0.11212602	No	
row_134	PFKL	14527	-0.3335803151130676	-0.11351231	No	
row_135	SLC1A5	14591	-0.3388417065143585	-0.11373553	No	
row_136	MTCH2	14884	-0.36603134870529175	-0.12534557	No	
row_137	DGAT1	14903	-0.3673548400402069	-0.12303395	No	
row_138	ACO2	14943	-0.3713202476501465	-0.1217536	No	
row_139	ECHS1	15028	-0.3786354660987854	-0.12269353	No	
row_140	IDH3A	15056	-0.38158005475997925	-0.12071391	No	
row_141	YWHAG	15112	-0.38842853903770447	-0.120095626	No	
row_142	CAT	15163	-0.39308881759643555	-0.11918259	No	
row_143	DNAJB9	15401	-0.4161892831325531	-0.12756006	No	
row_144	IMMT	15426	-0.4188748896121979	-0.1251007	No	
row_145	NDUFS3	15449	-0.4206177294254303	-0.122524485	No	
row_146	NDUFB7	15553	-0.4327033460140228	-0.12395426	No	
row_147	SUCLG1	15615	-0.4390084743499756	-0.12319647	No	
row_148	PPM1B	15680	-0.44690054655075073	-0.12252169	No	
row_149	MAP4K3	15860	-0.4649020731449127	-0.12752701	No	
row_150	NMT1	15937	-0.473874568939209	-0.1272246	No	
row_151	UQCRC1	15988	-0.4785495400428772	-0.1255612	No	
row_152	ATP5PO	16058	-0.48843809962272644	-0.124775544	No	
row_153	RREB1	16252	-0.5164647102355957	-0.13003887	No	
row_154	ACADM	16254	-0.5169132947921753	-0.12555107	No	
row_155	GPX4	16543	-0.5525046586990356	-0.1353208	No	
row_156	CHUK	16545	-0.5530946254730225	-0.13051532	No	
row_157	ATL2	16559	-0.555102527141571	-0.12630142	No	
row_158	PPARG	16951	-0.621099054813385	-0.14069782	No	
row_159	SORBS1	17007	-0.6298524141311646	-0.13795981	No	
row_160	SDHB	17486	-0.731801450252533	-0.15580092	No	
row_161	PREB	17559	-0.7517587542533875	-0.15285558	No	
row_162	MRPL15	17600	-0.7636849284172058	-0.14818099	No	
row_163	PRDX3	17608	-0.7662056684494019	-0.14180899	No	
row_164	DNAJC15	17704	-0.7971885204315186	-0.1396324	No	
row_165	CMBL	17715	-0.8013741970062256	-0.1331039	No	
row_166	PEMT	17762	-0.8142387866973877	-0.12829004	No	
row_167	ELMOD3	17775	-0.8183969855308533	-0.12171362	No	
row_168	SLC5A6	17863	-0.8487834930419922	-0.11867789	No	
row_169	MDH2	17968	-0.8834216594696045	-0.116201065	No	
row_170	GPD2	18182	-0.9709369540214539	-0.1184894	No	
row_171	PTCD3	18202	-0.9795777797698975	-0.11085315	No	
row_172	NDUFA5	18299	-1.0223006010055542	-0.10675082	No	
row_173	SLC66A3	18300	-1.0223201513290405	-0.09777473	No	
row_174	ABCB8	18395	-1.0850192308425903	-0.093020186	No	
row_175	TST	18492	-1.14678156375885	-0.087824896	No	
row_176	PHLDB1	18617	-1.239689588546753	-0.08323532	No	
row_177	DLD	18629	-1.2501038312911987	-0.07281769	No	
row_178	EPHX2	18631	-1.251731038093567	-0.061878107	No	
row_179	SSPN	18916	-1.5884648561477661	-0.0623489	No	
row_180	APOE	18940	-1.6210050582885742	-0.04928391	No	
row_181	STOM	19106	-1.9113224744796753	-0.04087875	No	
row_182	CD36	19207	-2.173076629638672	-0.026875531	No	
row_183	HSPB8	19464	-3.1563284397125244	-0.012158828	No	
row_184	ENPP2	19566	-3.7958946228027344	0.016042165	No	
