NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2B	1	13.8991117477417	0.081860185	No	
row_1	CDKN2A	44	8.810608863830566	0.13165674	No	
row_2	ACHE	176	5.211377143859863	0.15573606	No	
row_3	LYN	228	4.527255535125732	0.17983413	No	
row_4	STAT4	364	3.6074576377868652	0.19425865	No	
row_5	IL16	394	3.4240317344665527	0.212969	No	
row_6	INHBA	400	3.371035099029541	0.23258218	No	
row_7	CCR1	511	2.912062644958496	0.24417432	No	
row_8	FLNA	656	2.518043279647827	0.251723	No	
row_9	HCLS1	913	2.010960102081299	0.25061268	No	
row_10	GCNT1	977	1.8931130170822144	0.25857955	No	
row_11	PRKCG	995	1.8608956336975098	0.26868555	No	
row_12	MMP9	1244	1.5688387155532837	0.26537475	No	
row_13	ICAM1	1543	1.3111845254898071	0.25801405	No	
row_14	CD247	1602	1.2692883014678955	0.2625577	No	
row_15	NLRP3	1618	1.2549192905426025	0.2691938	No	
row_16	IL12A	1896	1.0894370079040527	0.2615895	No	
row_17	MAP4K1	2318	0.9045611619949341	0.24560492	No	
row_18	IL11	2460	0.8531367778778076	0.24349378	No	
row_19	BCL3	2711	0.7733102440834045	0.2353935	No	
row_20	INHBB	2717	0.7705172300338745	0.23968118	No	
row_21	PTPRC	2797	0.7474672794342041	0.24008639	No	
row_22	CXCL13	2899	0.7189059853553772	0.23920941	No	
row_23	HIF1A	2907	0.7160741686820984	0.243075	No	
row_24	ST8SIA4	2938	0.7100439071655273	0.24574055	No	
row_25	AKT1	2948	0.7075292468070984	0.24945451	No	
row_26	RIPK2	3091	0.6731008887290955	0.24623175	No	
row_27	EIF4G3	3550	0.5761802196502686	0.22643861	No	
row_28	IL13	3560	0.5744225978851318	0.22936815	No	
row_29	APBB1	3634	0.5625152587890625	0.22898717	No	
row_30	ZAP70	3811	0.5324201583862305	0.22321391	No	
row_31	HLA-DMA	3879	0.5217736959457397	0.22289662	No	
row_32	CFP	3951	0.5092182159423828	0.22230281	No	
row_33	LTB	4235	0.4657500982284546	0.2107192	No	
row_34	IL7	4716	0.4031560719013214	0.18879253	No	
row_35	NCK1	4733	0.4010319113731384	0.19034582	No	
row_36	TGFB2	4957	0.37670183181762695	0.18127525	No	
row_37	IFNGR1	5009	0.3700181841850281	0.1808737	No	
row_38	C2	5073	0.36304396390914917	0.1798235	No	
row_39	BCL10	5086	0.36182859539985657	0.18134828	No	
row_40	HDAC9	5147	0.35646942257881165	0.18041122	No	
row_41	CCL22	5311	0.33960235118865967	0.17415982	No	
row_42	RPS3A	5606	0.3069652318954468	0.16108353	No	
row_43	STAB1	5936	0.27328935265541077	0.1460367	No	
row_44	RPL39	6215	0.24673819541931152	0.13341555	No	
row_45	CCND3	6490	0.22424663603305817	0.12086438	No	
row_46	CSK	6694	0.20822307467460632	0.11181352	No	
row_47	ELF4	6994	0.18474674224853516	0.09776381	No	
row_48	TPD52	7083	0.17810767889022827	0.09435797	No	
row_49	IGSF6	7316	0.15824450552463531	0.0835443	No	
row_50	RPL3L	7397	0.15298666059970856	0.08039546	No	
row_51	WAS	7554	0.14145773649215698	0.073330775	No	
row_52	AARS1	7820	0.12132658064365387	0.06062874	No	
row_53	TRAF2	7872	0.11767885833978653	0.058740098	No	
row_54	CD79A	8110	0.10193516314029694	0.047341436	No	
row_55	IKBKB	8384	0.08251189440488815	0.034005612	No	
row_56	DEGS1	8505	0.07473841309547424	0.028370421	No	
row_57	RPL9	8516	0.07369069755077362	0.028298395	No	
row_58	EGFR	9411	0.015863832086324692	-0.016871646	No	
row_59	IL4R	9628	0.0015691380249336362	-0.027798554	No	
row_60	RPS9	9847	-0.01300109177827835	-0.03875935	No	
row_61	GLMN	10285	-0.03971099480986595	-0.060650785	No	
row_62	TGFB1	10644	-0.06277582794427872	-0.0784065	No	
row_63	ACVR2A	10720	-0.06704740971326828	-0.08180865	No	
