NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	71	7.4735612869262695	0.19889276	Yes	
row_1	KCNJ8	128	5.899518966674805	0.35589808	Yes	
row_2	LUM	174	5.221115589141846	0.4950786	Yes	
row_3	VTN	542	2.8130500316619873	0.55280554	Yes	
row_4	MSX1	999	1.85810124874115	0.5801797	Yes	
row_5	SLCO2A1	1020	1.827820897102356	0.6286905	Yes	
row_6	JAG2	1365	1.4547654390335083	0.6507781	Yes	
row_7	SERPINA5	2982	0.6966725587844849	0.58826995	No	
row_8	TNFRSF21	3636	0.5619657039642334	0.5706092	No	
row_9	FSTL1	3737	0.5453692078590393	0.58034796	No	
row_10	FGFR1	5404	0.330215185880661	0.505394	No	
row_11	VAV2	6255	0.2430814504623413	0.4691733	No	
row_12	PTK2	6585	0.21720124781131744	0.45848912	No	
row_13	VEGFA	6620	0.21442165970802307	0.46258584	No	
row_14	ITGAV	8910	0.048952531069517136	0.34863782	No	
row_15	THBD	9835	-0.012219913303852081	0.30243614	No	
row_16	APP	10152	-0.03177846968173981	0.2873833	No	
row_17	COL5A2	10429	-0.049501556903123856	0.27482498	No	
row_18	PGLYRP1	11542	-0.11981847882270813	0.2220706	No	
row_19	LRPAP1	14155	-0.30541348457336426	0.09880412	No	
row_20	STC1	15942	-0.4741969108581543	0.02170763	No	
row_21	JAG1	16181	-0.5054095387458801	0.023414122	No	
row_22	PDGFA	16516	-0.5490378141403198	0.021467991	No	
row_23	NRP1	16787	-0.5902003645896912	0.023860052	No	
row_24	S100A4	19233	-2.2457804679870605	-0.03842927	No	
row_25	TIMP1	19343	-2.623079776763916	0.027144061	No	
