NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYN	228	4.527255535125732	0.08280899	No	
row_1	PKHD1	292	4.002407550811768	0.16300038	No	
row_2	EFNA5	728	2.34759783744812	0.18997851	No	
row_3	SLC34A3	806	2.1859426498413086	0.23162936	No	
row_4	MDGA1	889	2.0486698150634766	0.270169	No	
row_5	RHCG	1406	1.4163812398910522	0.27366924	No	
row_6	GHRL	1924	1.078991174697876	0.2700916	No	
row_7	GAS1	2149	0.9678439497947693	0.2789633	No	
row_8	CRYBG1	2724	0.7688087821006775	0.26605263	No	
row_9	ADAM10	2777	0.7517572045326233	0.27909064	No	
row_10	TMEM8B	3464	0.591612696647644	0.2568454	No	
row_11	SHROOM2	3771	0.540286123752594	0.25267953	No	
row_12	SLC2A4	4576	0.42040252685546875	0.22092208	No	
row_13	LYPD3	7042	0.1813211888074875	0.10048617	No	
row_14	ADIPOR2	8106	0.10219322890043259	0.04904962	No	
row_15	CD160	8840	0.05339712277054787	0.013225569	No	
row_16	CROCC	9821	-0.011006120592355728	-0.0359279	No	
row_17	SULF2	9949	-0.019387688487768173	-0.04192367	No	
row_18	APP	10152	-0.03177846968173981	-0.051440645	No	
row_19	GATA3	11033	-0.08746550977230072	-0.09396249	No	
row_20	NCOA6	12023	-0.1522413045167923	-0.1406277	No	
row_21	AKAP7	12484	-0.1830349862575531	-0.1599949	No	
row_22	RTN4RL1	12485	-0.183048278093338	-0.1561822	No	
row_23	HSPB1	13732	-0.2733847498893738	-0.21327448	No	
row_24	BRCA1	14059	-0.297836035490036	-0.22349817	No	
row_25	ATP8B1	14340	-0.3194802701473236	-0.23095307	No	
row_26	FLOT2	14785	-0.35737213492393494	-0.24588278	No	
row_27	DCBLD2	15185	-0.39588484168052673	-0.25774273	No	
row_28	ATP6V0A4	15976	-0.4774790108203888	-0.28760585	No	
row_29	GSTM3	18021	-0.902849555015564	-0.37179866	Yes	
row_30	EPHB4	18126	-0.9458184242248535	-0.35733888	Yes	
row_31	B4GALT1	18328	-1.0347973108291626	-0.34591362	Yes	
row_32	PLAUR	18637	-1.2567192316055298	-0.33525774	Yes	
row_33	NTNG1	18710	-1.3228148221969604	-0.311333	Yes	
row_34	SRPX	19248	-2.294099807739258	-0.290609	Yes	
row_35	AFAP1L2	19291	-2.4375159740448	-0.24195448	Yes	
row_36	IL2RB	19398	-2.876878261566162	-0.18737349	Yes	
row_37	CX3CL1	19870	-10.164320945739746	6.048121E-4	Yes	
