NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A1	36	9.30633544921875	0.09504427	Yes	
row_1	ABCA1	41	9.03364372253418	0.1888674	Yes	
row_2	AKR1D1	187	5.118812561035156	0.2348181	Yes	
row_3	AR	623	2.59147310256958	0.23980804	Yes	
row_4	ABCA6	642	2.5567703247070312	0.26551014	Yes	
row_5	CYP27A1	664	2.5062029361724854	0.29053432	Yes	
row_6	CYP46A1	901	2.0289394855499268	0.2997258	Yes	
row_7	SLC27A2	962	1.9257761240005493	0.3167378	Yes	
row_8	HSD17B11	1033	1.8030328750610352	0.33196688	Yes	
row_9	IDI1	1051	1.7791978120803833	0.3496263	Yes	
row_10	FADS1	1087	1.733902096748352	0.3659046	Yes	
row_11	ALDH8A1	1471	1.362465739250183	0.36073044	Yes	
row_12	DHCR24	1593	1.2740384340286255	0.36787626	Yes	
row_13	IDH1	2189	0.9509024024009705	0.34770486	No	
row_14	ABCA9	2495	0.8424376845359802	0.34105986	No	
row_15	NEDD4	2537	0.8275232315063477	0.34760103	No	
row_16	SLC22A18	2562	0.820932149887085	0.35493273	No	
row_17	PXMP2	2869	0.7281646728515625	0.3470478	No	
row_18	NR3C2	3021	0.6877824664115906	0.3465756	No	
row_19	FADS2	3266	0.6323062181472778	0.34082615	No	
row_20	RXRG	3554	0.5751252770423889	0.3323085	No	
row_21	ABCA3	4358	0.44910022616386414	0.29640275	No	
row_22	GNPAT	4923	0.3807308077812195	0.2718634	No	
row_23	IDH2	5001	0.37090224027633667	0.27183264	No	
row_24	TTR	5354	0.3348558843135834	0.25752938	No	
row_25	OPTN	5491	0.3195136785507202	0.25398213	No	
row_26	PEX7	5580	0.31010881066322327	0.2527627	No	
row_27	PFKM	5638	0.30266472697257996	0.25303242	No	
row_28	ACSL1	5913	0.2769555151462555	0.24206829	No	
row_29	ACSL5	6040	0.26285305619239807	0.23843667	No	
row_30	HSD17B4	6189	0.24916189908981323	0.23355074	No	
row_31	NPC1	6269	0.24214139580726624	0.23207872	No	
row_32	GCLM	6560	0.2190588116645813	0.2197034	No	
row_33	PEX6	6580	0.21734197437763214	0.22100541	No	
row_34	SCP2	6851	0.19592531025409698	0.20940003	No	
row_35	ABCG4	6909	0.19157260656356812	0.20851345	No	
row_36	SLC27A5	6932	0.1902366429567337	0.20938171	No	
row_37	CYP39A1	7266	0.16335412859916687	0.19425358	No	
row_38	RETSAT	7886	0.1170007586479187	0.16418979	No	
row_39	PEX12	8050	0.10606210678815842	0.15705639	No	
row_40	LONP2	8361	0.0839967131614685	0.1422646	No	
row_41	LIPE	8674	0.06383700668811798	0.1271619	No	
row_42	PECR	8983	0.044587451964616776	0.112061	No	
row_43	SLC23A2	9510	0.009283460676670074	0.08557586	No	
row_44	PRDX5	9618	0.002062039915472269	0.08019	No	
row_45	EFHC1	9862	-0.014006639830768108	0.06805562	No	
row_46	SLC35B2	10233	-0.03704585134983063	0.049743008	No	
row_47	KLF1	10761	-0.06942953914403915	0.023833353	No	
row_48	DIO1	10950	-0.08173132687807083	0.015183334	No	
row_49	PEX11G	11094	-0.09176690131425858	0.008911874	No	
row_50	ALDH9A1	11143	-0.09498520195484161	0.0074748	No	
row_51	SOD1	11631	-0.1248345598578453	-0.015836753	No	
row_52	PHYH	12123	-0.15963858366012573	-0.038988195	No	
row_53	PEX19	12500	-0.18416425585746765	-0.056072764	No	
row_54	ABCA4	12576	-0.18952730298042297	-0.057890277	No	
row_55	HSD17B6	12933	-0.2124345749616623	-0.07366989	No	
row_56	PEX26	13042	-0.22032354772090912	-0.07683454	No	
row_57	PEX13	13057	-0.22221918404102325	-0.0752291	No	
row_58	AMACR	13061	-0.22242379188537598	-0.073065646	No	
row_59	BMP6	13288	-0.23937155306339264	-0.08199524	No	
row_60	LCK	13727	-0.2730711102485657	-0.101287656	No	
row_61	HACL1	13911	-0.287134051322937	-0.10754709	No	
row_62	MLYCD	14060	-0.2978576123714447	-0.11192617	No	
row_63	SLC23A1	14357	-0.32139867544174194	-0.1235395	No	
row_64	ABCD1	14619	-0.3418823778629303	-0.13317087	No	
row_65	RXRA	14632	-0.34332454204559326	-0.13020387	No	
row_66	ABCA2	14663	-0.3454996943473816	-0.12812386	No	
row_67	PEX16	14720	-0.35125285387039185	-0.1272979	No	
row_68	ABCA5	14889	-0.3665005564689636	-0.13197322	No	
row_69	NR1I2	14980	-0.37444502115249634	-0.13262407	No	
row_70	ATXN1	15012	-0.3774392902851105	-0.13026217	No	
row_71	PEX1	15045	-0.3804093599319458	-0.12791988	No	
row_72	CAT	15163	-0.39308881759643555	-0.12974115	No	
row_73	HSD3B7	15217	-0.39890405535697937	-0.12826762	No	
row_74	ISOC1	15388	-0.4145406186580658	-0.132544	No	
row_75	PIPOX	15717	-0.451516717672348	-0.14442015	No	
row_76	GNMT	15872	-0.4660501182079315	-0.14735183	No	
row_77	ABCG8	16012	-0.4807452857494354	-0.14937253	No	
row_78	NUDT12	16203	-0.5088408589363098	-0.15367812	No	
