NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	734	2.337944984436035	-2.8859137E-4	Yes	
row_1	SCD	861	2.1126155853271484	0.02656705	Yes	
row_2	TP53INP1	882	2.066906452178955	0.058054063	Yes	
row_3	LSS	904	2.0267162322998047	0.08885872	Yes	
row_4	FASN	965	1.9173997640609741	0.11597628	Yes	
row_5	SQLE	967	1.9107117652893066	0.14596653	Yes	
row_6	MVD	1025	1.8204189538955688	0.17171074	Yes	
row_7	IDI1	1051	1.7791978120803833	0.19842196	Yes	
row_8	HMGCS1	1118	1.696549654006958	0.22176442	Yes	
row_9	NSDHL	1168	1.640872597694397	0.24508953	Yes	
row_10	ACSS2	1251	1.5647249221801758	0.26555187	Yes	
row_11	LDLR	1281	1.5353376865386963	0.28822714	Yes	
row_12	ANTXR2	1289	1.5283912420272827	0.31190363	Yes	
row_13	CPEB2	1442	1.3917882442474365	0.32611397	Yes	
row_14	MVK	1486	1.3520171642303467	0.34520045	Yes	
row_15	TNFRSF12A	1542	1.3116934299468994	0.36304727	Yes	
row_16	LGALS3	1869	1.1044145822525024	0.36395732	Yes	
row_17	SC5D	1922	1.0793448686599731	0.37830254	Yes	
row_18	STARD4	1935	1.0722990036010742	0.39455584	Yes	
row_19	HSD17B7	1985	1.0423246622085571	0.40847042	Yes	
row_20	PCYT2	1997	1.0373914241790771	0.4242254	Yes	
row_21	TM7SF2	2182	0.9548585414886475	0.42995107	Yes	
row_22	DHCR7	2186	0.9530740976333618	0.44478416	Yes	
row_23	NFIL3	2559	0.8211858868598938	0.4389195	Yes	
row_24	HMGCR	2572	0.8183944225311279	0.45118085	Yes	
row_25	CHKA	2725	0.7687994241714478	0.4555964	Yes	
row_26	ALCAM	2979	0.6976472735404968	0.45379558	Yes	
row_27	CTNNB1	3263	0.6329880952835083	0.44946405	Yes	
row_28	FADS2	3266	0.6323062181472778	0.4593044	Yes	
row_29	FDPS	3612	0.565486490726471	0.4507823	Yes	
row_30	ACAT2	3717	0.5486790537834167	0.4541597	Yes	
row_31	ANXA5	3740	0.5450511574745178	0.46161875	Yes	
row_32	CYP51A1	3835	0.5293912291526794	0.46519762	Yes	
row_33	EBP	4303	0.45692992210388184	0.44881123	No	
row_34	TMEM97	4765	0.3978639543056488	0.431799	No	
row_35	SREBF2	4807	0.3941498100757599	0.4359266	No	
row_36	PNRC1	5149	0.3562142848968506	0.42431614	No	
row_37	ECH1	5370	0.33377379179000854	0.41846	No	
row_38	ACTG1	5578	0.3102474510669708	0.4128901	No	
row_39	ATXN2	6074	0.2596367597579956	0.3919886	No	
row_40	STX5	6928	0.19064131379127502	0.35193336	No	
row_41	TRIB3	6972	0.1863766610622406	0.35269335	No	
row_42	CBS	7974	0.11041154712438583	0.30390686	No	
row_43	ATF3	8423	0.08043063431978226	0.28256	No	
row_44	MAL2	8988	0.0443660207092762	0.25479138	No	
row_45	NIBAN1	9082	0.037364035844802856	0.25068495	No	
row_46	ETHE1	10010	-0.022321779280900955	0.20424843	No	
row_47	S100A11	10490	-0.05327354371547699	0.18090996	No	
row_48	CD9	11090	-0.0914543867111206	0.15211515	No	
row_49	PMVK	12574	-0.18940980732440948	0.08024325	No	
row_50	LGMN	13018	-0.2188243716955185	0.06132461	No	
row_51	PDK3	13041	-0.22029346227645874	0.06367774	No	
row_52	FDFT1	13247	-0.23654191195964813	0.057049975	No	
row_53	FBXO6	13425	-0.2499236762523651	0.05204581	No	
row_54	ALDOC	14076	-0.29898136854171753	0.023939732	No	
row_55	ABCA2	14663	-0.3454996943473816	-2.047703E-4	No	
row_56	GSTM2	15735	-0.4531583786010742	-0.047135513	No	
row_57	JAG1	16181	-0.5054095387458801	-0.061649334	No	
row_58	ATF5	16596	-0.5605542659759521	-0.07373152	No	
row_59	CXCL16	16730	-0.5794146060943604	-0.07133458	No	
row_60	ERRFI1	16733	-0.5798430442810059	-0.062319074	No	
row_61	PPARG	16951	-0.621099054813385	-0.063506395	No	
row_62	GUSB	17735	-0.806645393371582	-0.09034361	No	
row_63	FABP5	18127	-0.9475299715995789	-0.09518081	No	
row_64	PLSCR1	18398	-1.0888240337371826	-0.091689445	No	
row_65	GLDC	18606	-1.2296937704086304	-0.08280356	No	
row_66	PLAUR	18637	-1.2567192316055298	-0.06455924	No	
row_67	SEMA3B	19153	-2.004269599914551	-0.05904062	No	
row_68	GPX8	19361	-2.7040514945983887	-0.026974488	No	
row_69	GNAI1	19505	-3.3850014209747314	0.01902792	No	
