NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAPN5	505	2.9316489696502686	0.0026956152	No	
row_1	THBS1	535	2.8566348552703857	0.02872896	No	
row_2	KLKB1	539	2.8330695629119873	0.05584965	No	
row_3	HPN	572	2.7131261825561523	0.080349885	No	
row_4	CLU	734	2.337944984436035	0.09471804	No	
row_5	RAPGEF3	784	2.2116448879241943	0.11353152	No	
row_6	FYN	880	2.0696940422058105	0.1286534	No	
row_7	P2RY1	919	1.9969502687454224	0.14595616	No	
row_8	HTRA1	1100	1.7210196256637573	0.15342516	No	
row_9	MMP9	1244	1.5688387155532837	0.16129941	No	
row_10	FN1	1308	1.5059510469436646	0.17261194	No	
row_11	CSRP1	1337	1.4801793098449707	0.18544547	No	
row_12	F8	1451	1.3800749778747559	0.19301897	No	
row_13	GNG12	1669	1.2184698581695557	0.19378002	No	
row_14	MASP2	1871	1.1039187908172607	0.19424708	No	
row_15	MMP15	2046	1.0100914239883423	0.19517568	No	
row_16	CASP9	2168	0.9594060182571411	0.19829527	No	
row_17	MMP10	2237	0.9319857358932495	0.20382984	No	
row_18	PROS1	2292	0.9135230779647827	0.20989431	No	
row_19	ANG	2324	0.9005743265151978	0.2169967	No	
row_20	SERPINA1	2380	0.8797038197517395	0.22268508	No	
row_21	SERPINC1	2428	0.8652579188346863	0.22863875	No	
row_22	TFPI2	2485	0.8458638787269592	0.23395084	No	
row_23	WDR1	2760	0.7569145560264587	0.22738764	No	
row_24	MMP14	2809	0.7443921566009521	0.23212726	No	
row_25	CTSK	2843	0.7331104874610901	0.23751648	No	
row_26	KLF7	2880	0.7258175611495972	0.24268386	No	
row_27	CRIP2	2905	0.7170169949531555	0.24837306	No	
row_28	FURIN	2968	0.7018941044807434	0.25199595	No	
row_29	MAFF	3014	0.6892635822296143	0.25635654	No	
row_30	PROZ	3471	0.5903640985488892	0.2389907	No	
row_31	GP1BA	3595	0.569561779499054	0.2382564	No	
row_32	TF	4091	0.486299991607666	0.2179175	No	
row_33	USP11	4264	0.4616898000240326	0.21366803	No	
row_34	TIMP3	4508	0.42953112721443176	0.20552023	No	
row_35	ADAM9	4529	0.426838755607605	0.20861824	No	
row_36	PDGFB	4574	0.42082932591438293	0.2104453	No	
row_37	SIRT2	4633	0.4128507971763611	0.21148792	No	
row_38	CFB	4691	0.4059886038303375	0.21251501	No	
row_39	S100A13	5003	0.3704894781112671	0.20036173	No	
row_40	C2	5073	0.36304396390914917	0.20036888	No	
