NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2A	44	8.810608863830566	0.10547822	No	
row_1	HMGB3	1576	1.2892802953720093	0.0434574	No	
row_2	PRPS1	2212	0.9427120685577393	0.022721136	No	
row_3	WDR90	2911	0.7148131132125854	-0.004002025	No	
row_4	CBX5	2981	0.6973425149917603	0.0010177379	No	
row_5	DCLRE1B	3032	0.6850059032440186	0.0068519795	No	
row_6	LBR	3241	0.6381499171257019	0.004086155	No	
row_7	CENPE	4232	0.4658907949924469	-0.04051533	No	
row_8	PDS5B	4399	0.4426359236240387	-0.04353758	No	
row_9	SLBP	5138	0.3572596311569214	-0.0766642	No	
row_10	BRMS1L	5358	0.3346902132034302	-0.08369882	No	
row_11	ASF1A	5418	0.3282147943973541	-0.08268376	No	
row_12	PPP1R8	5465	0.3226594924926758	-0.08107614	No	
row_13	DUT	5489	0.31978997588157654	-0.078335084	No	
row_14	CDKN1A	5505	0.3181418776512146	-0.07520774	No	
row_15	GSPT1	5560	0.31264808773994446	-0.074128956	No	
row_16	ESPL1	5709	0.29550859332084656	-0.078035414	No	
row_17	RPA2	5740	0.2927490770816803	-0.07598058	No	
row_18	MLH1	5785	0.28837522864341736	-0.07469049	No	
row_19	UBR7	5951	0.27142736315727234	-0.07975504	No	
row_20	WEE1	6425	0.2288900911808014	-0.10098764	No	
row_21	PAN2	6471	0.2261664718389511	-0.1005089	No	
row_22	PNN	6723	0.20618440210819244	-0.11074032	No	
row_23	NBN	6764	0.20224666595458984	-0.110299975	No	
row_24	KIF22	6875	0.19433286786079407	-0.11351275	No	
row_25	TACC3	7044	0.1812262386083603	-0.119832456	No	
row_26	TCF19	7339	0.15717193484306335	-0.13284771	No	
row_27	EIF2S1	7584	0.13920320570468903	-0.14354236	No	
row_28	BARD1	7636	0.13536584377288818	-0.14447853	No	
row_29	HNRNPD	7677	0.13204945623874664	-0.14489637	No	
row_30	DCTPP1	7764	0.12548336386680603	-0.14773154	No	
row_31	JPT1	8048	0.10611023753881454	-0.16081218	No	
row_32	CDKN2C	8331	0.08614832162857056	-0.17408606	No	
row_33	STMN1	9036	0.04014237970113754	-0.20936221	No	
row_34	HMGA1	9223	0.028650181367993355	-0.21846172	No	
row_35	CIT	9330	0.02007598616182804	-0.22360164	No	
row_36	RFC1	9383	0.01779605820775032	-0.22602595	No	
row_37	IPO7	9409	0.015947414562106133	-0.22710112	No	
row_38	RACGAP1	9486	0.010525129735469818	-0.23083365	No	
row_39	RAD1	9550	0.00668602017685771	-0.23395264	No	
row_40	HUS1	9943	-0.019043784588575363	-0.2536355	No	
row_41	USP1	10079	-0.02722358889877796	-0.26016137	No	
row_42	PLK1	10266	-0.03821060433983803	-0.269144	No	
row_43	ASF1B	10384	-0.04679824039340019	-0.2745161	No	
row_44	STAG1	10636	-0.06239866837859154	-0.28650537	No	
row_45	CTCF	10766	-0.06962711364030838	-0.29220802	No	
row_46	DLGAP5	10809	-0.07231194525957108	-0.2934578	No	
row_47	RPA3	10823	-0.07369229197502136	-0.29321733	No	
row_48	TUBB	10885	-0.07719283550977707	-0.29537275	No	
row_49	KIF4A	11165	-0.09635385125875473	-0.30836946	No	
row_50	BUB1B	11179	-0.09714578837156296	-0.30784225	No	
row_51	CCNE1	11187	-0.09769576042890549	-0.30700353	No	
row_52	ORC2	11339	-0.10781944543123245	-0.31335697	No	
row_53	DEPDC1	11349	-0.1083630919456482	-0.31248945	No	
row_54	TRA2B	11366	-0.10946356505155563	-0.3119641	No	
row_55	KIF18B	11370	-0.10977853834629059	-0.31077442	No	
row_56	MYBL2	11430	-0.11261625587940216	-0.31239513	No	
row_57	TK1	11460	-0.11465632915496826	-0.31246677	No	
row_58	SYNCRIP	11518	-0.11838814616203308	-0.3139153	No	
row_59	ILF3	11607	-0.12355265766382217	-0.3168757	No	
row_60	MXD3	11766	-0.13453280925750732	-0.3232582	No	
row_61	H2AX	11823	-0.13816915452480316	-0.3244141	No	
row_62	SRSF1	11897	-0.1440226286649704	-0.32636216	No	
row_63	PA2G4	11984	-0.15022782981395721	-0.3288948	No	
row_64	KIF2C	12048	-0.1540202647447586	-0.33021256	No	
row_65	TOP2A	12060	-0.15473565459251404	-0.3288797	No	
row_66	CNOT9	12077	-0.15583857893943787	-0.3277874	No	
row_67	DCK	12220	-0.1651039570569992	-0.3329833	No	
row_68	RAN	12405	-0.17763999104499817	-0.3401597	No	
row_69	POLE	12498	-0.18381965160369873	-0.34258652	No	
row_70	TMPO	12558	-0.1881026327610016	-0.3432844	Yes	
row_71	PSMC3IP	12594	-0.19040144979953766	-0.34273484	Yes	
row_72	CDC20	12636	-0.19389452040195465	-0.3424474	Yes	
row_73	TUBG1	12640	-0.19406592845916748	-0.34022728	Yes	
row_74	UNG	12667	-0.195694237947464	-0.33915576	Yes	
row_75	GINS4	12705	-0.19814836978912354	-0.3386131	Yes	
row_76	BIRC5	12711	-0.1986207515001297	-0.3364389	Yes	
row_77	PRIM2	12751	-0.20111368596553802	-0.3359616	Yes	
row_78	NAP1L1	12821	-0.20519417524337769	-0.3369586	Yes	
row_79	PLK4	12847	-0.20697353780269623	-0.33569837	Yes	
row_80	CCNB2	12867	-0.2081926316022873	-0.33411843	Yes	
row_81	CDCA8	12890	-0.2099938541650772	-0.33266887	Yes	
row_82	NUDT21	13077	-0.2235584706068039	-0.33938554	Yes	
row_83	CDKN3	13087	-0.22516508400440216	-0.33709005	Yes	
row_84	SNRPB	13089	-0.22529824078083038	-0.33438647	Yes	
row_85	ZW10	13254	-0.23684649169445038	-0.33982298	Yes	
row_86	MCM5	13273	-0.23823922872543335	-0.33782488	Yes	
row_87	LYAR	13277	-0.2387026697397232	-0.33505905	Yes	
row_88	RPA1	13324	-0.2417387068271637	-0.33444074	Yes	
row_89	SRSF2	13416	-0.2489490807056427	-0.3360205	Yes	
row_90	PRKDC	13474	-0.25330817699432373	-0.3358196	Yes	
row_91	PPM1D	13567	-0.25991755723953247	-0.33731607	Yes	
row_92	SMC4	13569	-0.2601132094860077	-0.33418688	Yes	
row_93	MAD2L1	13605	-0.26343247294425964	-0.33274448	Yes	
row_94	CCP110	13678	-0.2694627046585083	-0.33310816	Yes	
row_95	RRM2	13689	-0.27039670944213867	-0.3303105	Yes	
row_96	AK2	13711	-0.2723448574542999	-0.32804787	Yes	
row_97	TIPIN	13726	-0.27300524711608887	-0.3254215	Yes	
row_98	MRE11	13773	-0.2759157717227936	-0.32438537	Yes	
row_99	DEK	13789	-0.2778618037700653	-0.32175046	Yes	
row_100	GINS3	13840	-0.28194719552993774	-0.3208438	Yes	
row_101	NASP	13945	-0.289063960313797	-0.3225936	Yes	
row_102	PCNA	14045	-0.2963361442089081	-0.32400048	Yes	
row_103	BRCA1	14059	-0.297836035490036	-0.32101977	Yes	
row_104	SMC1A	14065	-0.29817837476730347	-0.31762844	Yes	
row_105	AURKA	14073	-0.2988277077674866	-0.31433076	Yes	
row_106	LUC7L3	14108	-0.3016836941242218	-0.3123699	Yes	
row_107	MCM4	14111	-0.30177462100982666	-0.30878222	Yes	
row_108	LIG1	14112	-0.30181407928466797	-0.3050924	Yes	
row_109	TBRG4	14116	-0.30207163095474243	-0.30155185	Yes	
row_110	PHF5A	14123	-0.30260422825813293	-0.29815722	Yes	
row_111	GINS1	14132	-0.3034604489803314	-0.29485372	Yes	
row_112	PTTG1	14224	-0.3103136718273163	-0.29568326	Yes	
row_113	CKS1B	14245	-0.31217339634895325	-0.29288292	Yes	
row_114	ORC6	14249	-0.3123692572116852	-0.28921646	Yes	
row_115	NUP153	14309	-0.31732869148254395	-0.2883345	Yes	
row_116	E2F8	14342	-0.31992051005363464	-0.2860491	Yes	
row_117	SHMT1	14346	-0.320298969745636	-0.28228572	Yes	
row_118	CDKN1B	14458	-0.3286420404911041	-0.2839073	Yes	
row_119	CKS2	14494	-0.3311997950077057	-0.28163642	Yes	
row_120	CHEK1	14535	-0.3340650498867035	-0.27958453	Yes	
row_121	ATAD2	14567	-0.3367603123188019	-0.27704245	Yes	
row_122	MCM3	14592	-0.33894574642181396	-0.274118	Yes	
row_123	NOLC1	14605	-0.3400678038597107	-0.2705702	Yes	
row_124	SUV39H1	14621	-0.3420291543006897	-0.26715082	Yes	
row_125	SSRP1	14650	-0.34475472569465637	-0.26435858	Yes	
row_126	CDK4	14655	-0.34509164094924927	-0.2603429	Yes	
row_127	MYC	14739	-0.35285574197769165	-0.26024592	Yes	
