NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	71	7.4735612869262695	0.028753666	Yes	
row_1	IGFBP3	97	6.496572017669678	0.055610467	Yes	
row_2	PMP22	103	6.3376240730285645	0.08279336	Yes	
row_3	DAB2	113	6.106998920440674	0.108775005	Yes	
row_4	BASP1	114	6.084253787994385	0.13511458	Yes	
row_5	LUM	174	5.221115589141846	0.15472561	Yes	
row_6	INHBA	400	3.371035099029541	0.15790956	Yes	
row_7	SGCG	414	3.307252883911133	0.17156787	Yes	
row_8	LRRC15	512	2.911773204803467	0.17925447	Yes	
row_9	THBS1	535	2.8566348552703857	0.19050562	Yes	
row_10	COL1A1	582	2.689390182495117	0.1998157	Yes	
row_11	CXCL8	643	2.548215627670288	0.20780468	Yes	
row_12	DKK1	646	2.5344910621643066	0.21867542	Yes	
row_13	FLNA	656	2.518043279647827	0.22911999	Yes	
row_14	SNAI2	676	2.476248025894165	0.2388765	Yes	
row_15	COL12A1	774	2.2270147800445557	0.2435987	Yes	
row_16	SERPINE2	804	2.186220169067383	0.25159255	Yes	
row_17	TAGLN	850	2.132655143737793	0.25854316	Yes	
row_18	CDH11	949	1.9436006546020508	0.26198772	Yes	
row_19	WNT5A	971	1.9041416645050049	0.26916608	Yes	
row_20	MSX1	999	1.85810124874115	0.27584088	Yes	
row_21	COL7A1	1040	1.7976348400115967	0.2815947	Yes	
row_22	IGFBP2	1063	1.7647186517715454	0.28811878	Yes	
row_23	HTRA1	1100	1.7210196256637573	0.29374376	Yes	
row_24	EFEMP2	1117	1.6974856853485107	0.30028105	Yes	
row_25	FN1	1308	1.5059510469436646	0.29716563	Yes	
row_26	SDC1	1379	1.442558765411377	0.29986098	Yes	
row_27	FZD8	1503	1.3361204862594604	0.2994079	Yes	
row_28	TNFRSF12A	1542	1.3116934299468994	0.30315942	Yes	
row_29	CCN1	1586	1.280892252922058	0.30652404	Yes	
row_30	MATN3	1621	1.2531038522720337	0.31022477	Yes	
row_31	TPM2	1672	1.217847466468811	0.3129615	Yes	
row_32	VEGFC	1739	1.1754342317581177	0.31470326	Yes	
row_33	LAMC1	1768	1.1616628170013428	0.31831238	Yes	
row_34	GAS1	2149	0.9678439497947693	0.30323252	Yes	
row_35	SLC6A8	2279	0.9162923097610474	0.30065772	Yes	
row_36	SAT1	2337	0.8945584893226624	0.3016399	Yes	
row_37	FBN2	2399	0.8722986578941345	0.3023229	Yes	
row_38	TFPI2	2485	0.8458638787269592	0.30167443	Yes	
row_39	TPM4	2496	0.8422234654426575	0.3048134	Yes	
row_40	ECM1	2569	0.8196753859519958	0.30471078	Yes	
row_41	COL6A2	2581	0.8147522211074829	0.30768016	Yes	
row_42	DST	2597	0.8095910549163818	0.31042433	Yes	
row_43	TPM1	2614	0.8065950274467468	0.31310484	Yes	
row_44	FGF2	2638	0.7994347810745239	0.31539938	Yes	
row_45	CD44	2646	0.796790599822998	0.3184938	Yes	
row_46	GPC1	2653	0.7928921580314636	0.3216221	Yes	
row_47	OXTR	2730	0.7674015760421753	0.32109034	Yes	
row_48	COL16A1	2801	0.7469548583030701	0.32077432	Yes	
row_49	MMP14	2809	0.7443921566009521	0.3236419	Yes	
row_50	TNFRSF11B	3000	0.6929604411125183	0.31700695	No	
row_51	PCOLCE	3117	0.6666045784950256	0.3140104	No	
row_52	THBS2	3330	0.6202208995819092	0.30594492	No	
row_53	MATN2	3370	0.6117982268333435	0.3066158	No	
row_54	NID2	3439	0.5963269472122192	0.3057491	No	
row_55	DPYSL3	3447	0.5950946807861328	0.30797037	No	
row_56	RHOB	3667	0.5562412738800049	0.29927295	No	
row_57	LAMC2	3698	0.5515287518501282	0.30013928	No	
row_58	FSTL1	3737	0.5453692078590393	0.3005733	No	
row_59	SLIT3	3801	0.5338122248649597	0.2996895	No	
row_60	MYLK	3882	0.5209431648254395	0.29788795	No	
row_61	COL4A2	3898	0.517798125743866	0.29936892	No	
row_62	GADD45A	3982	0.5046204924583435	0.29734457	No	
row_63	EMP3	4031	0.49772462248802185	0.2970652	No	
row_64	ITGA5	4196	0.47139108180999756	0.29078948	No	
row_65	TGM2	4252	0.4629371464252472	0.29000455	No	
row_66	IL32	4330	0.45307835936546326	0.28806135	No	
row_67	CCN2	4348	0.45031091570854187	0.28914872	No	
row_68	TIMP3	4508	0.42953112721443176	0.28294533	No	
row_69	FERMT2	4816	0.39331331849098206	0.2690801	No	
row_70	COL5A1	4873	0.38548725843429565	0.26790917	No	
row_71	CDH2	4915	0.38150453567504883	0.26748165	No	
row_72	NOTCH2	4931	0.3796321451663971	0.2683645	No	
row_73	BDNF	5329	0.33758509159088135	0.24969408	No	
row_74	PVR	5703	0.2962456941604614	0.23206177	No	
row_75	ID2	5811	0.2860495150089264	0.22787414	No	
row_76	ADAM12	5888	0.27955162525177	0.22523041	No	
row_77	ENO2	6352	0.23433908820152283	0.2027662	No	
row_78	COPA	6460	0.22657406330108643	0.1983211	No	
row_79	SCG2	6464	0.22642017900943756	0.19914918	No	
row_80	LOXL1	6484	0.22465939819812775	0.19915827	No	
row_81	COL5A3	6601	0.21593299508094788	0.19421072	No	
row_82	VEGFA	6620	0.21442165970802307	0.1942262	No	
row_83	BMP1	7043	0.18129700422286987	0.17361146	No	
row_84	PFN2	7568	0.14072684943675995	0.14764869	No	
row_85	PMEPA1	7750	0.1265319138765335	0.13901795	No	
row_86	CTHRC1	7850	0.11864114552736282	0.13451129	No	
row_87	MAGEE1	8236	0.09260021150112152	0.11538884	No	
row_88	JUN	8359	0.08427800983190536	0.10956708	No	
row_89	FBN1	8513	0.07395818829536438	0.10212863	No	
row_90	CRLF1	8904	0.04941674694418907	0.08256569	No	
row_91	ITGAV	8910	0.048952531069517136	0.08252406	No	
row_92	LOX	8972	0.045513179153203964	0.07962779	No	
row_93	TGFBI	9512	0.009083614684641361	0.052334458	No	
row_94	SLIT2	9532	0.008083583787083626	0.051405963	No	
row_95	LAMA3	9545	0.007406190037727356	0.050829507	No	
row_96	MMP1	9565	0.005301857832819223	0.04988897	No	
row_97	IGFBP4	9701	-0.0036362549290060997	0.04305887	No	
row_98	P3H1	9783	-0.00859141070395708	0.038988557	No	
row_99	APLP1	10057	-0.02592700533568859	0.025256986	No	
row_100	COL5A2	10429	-0.049501556903123856	0.0066578975	No	
row_101	TGFB1	10644	-0.06277582794427872	-0.0039222646	No	
row_102	ITGB5	10645	-0.06283300369977951	-0.0036502518	No	
row_103	LGALS1	11191	-0.09793780744075775	-0.030863183	No	
row_104	ABI3BP	11491	-0.11635652184486389	-0.045521732	No	
row_105	VIM	11505	-0.11708284169435501	-0.045674093	No	
row_106	FSTL3	11531	-0.11939527839422226	-0.046424963	No	
row_107	SERPINH1	11689	-0.1290653645992279	-0.05382768	No	
row_108	LRP1	12061	-0.1547592133283615	-0.071971096	No	
row_109	SGCB	12756	-0.20189784467220306	-0.10628975	No	
row_110	TNFAIP3	13389	-0.24711072444915771	-0.13726866	No	
row_111	FUCA1	13792	-0.27818959951400757	-0.15644974	No	
row_112	ANPEP	13842	-0.2821861207485199	-0.15771289	No	
row_113	GLIPR1	13944	-0.2890388071537018	-0.1615833	No	
row_114	PDGFRB	14584	-0.3382457494735718	-0.19252264	No	
row_115	PLOD1	14830	-0.360772043466568	-0.20338476	No	
row_116	CAP2	15326	-0.4092666208744049	-0.2267144	No	
row_117	SDC4	15447	-0.42038285732269287	-0.2309797	No	
row_118	GADD45B	15801	-0.45963242650032043	-0.2468905	No	
row_119	PTX3	16246	-0.5155580639839172	-0.2671738	No	
row_120	PPIB	16292	-0.5215928554534912	-0.2671977	No	
row_121	COLGALT1	16321	-0.5243322849273682	-0.26634765	No	
row_122	CD59	16393	-0.5335903167724609	-0.2676381	No	
row_123	FAS	16718	-0.5783613324165344	-0.2815643	No	
row_124	GEM	16845	-0.6013805866241455	-0.2853503	No	
row_125	QSOX1	17070	-0.6407386660575867	-0.29393548	No	
row_126	ACTA2	17098	-0.6455233097076416	-0.2925101	No	
row_127	SGCD	17132	-0.6532889604568481	-0.29135534	No	
row_128	MXRA5	17242	-0.6756080389022827	-0.29395792	No	
row_129	ITGB1	17493	-0.7328159809112549	-0.30346292	No	
row_130	PTHLH	17618	-0.768235445022583	-0.30642518	No	
row_131	PCOLCE2	17661	-0.7836519479751587	-0.30516246	No	
row_132	MCM7	17703	-0.7967630624771118	-0.30379227	No	
row_133	IL15	17791	-0.8230303525924683	-0.304641	No	
row_134	SNTB1	17821	-0.8341957330703735	-0.30250025	No	
