NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGR2	160	5.433599948883057	0.016518407	No	
row_1	ASCL1	263	4.2532830238342285	0.030629206	No	
row_2	FGFR3	288	4.016918659210205	0.047629733	No	
row_3	CYP26B1	391	3.4319119453430176	0.058015037	No	
row_4	OPN3	431	3.245295286178589	0.07075383	No	
row_5	CPE	680	2.471461296081543	0.069367126	No	
row_6	TNNC1	934	1.9669609069824219	0.06543821	No	
row_7	SLC27A2	962	1.9257761240005493	0.07280156	No	
row_8	UGDH	982	1.8829646110534668	0.08037707	No	
row_9	SLC24A3	1097	1.7248064279556274	0.08240995	No	
row_10	FARP1	1234	1.5752240419387817	0.08264693	No	
row_11	NBL1	1342	1.4742772579193115	0.08389903	No	
row_12	MICB	1564	1.297216534614563	0.0785577	No	
row_13	SNX10	1682	1.2131620645523071	0.078117535	No	
row_14	BTG3	1784	1.152077555656433	0.07821299	No	
row_15	PLAAT3	1843	1.1215696334838867	0.08035414	No	
row_16	CKB	1976	1.0471336841583252	0.07839903	No	
row_17	ST6GALNAC2	1986	1.0421662330627441	0.082668856	No	
row_18	UNC13B	2066	1.0037870407104492	0.083209135	No	
row_19	DHCR7	2186	0.9530740976333618	0.0814877	No	
row_20	SERPINA1	2380	0.8797038197517395	0.07567485	No	
row_21	CAV1	2401	0.8721046447753906	0.07861461	No	
row_22	TFPI2	2485	0.8458638787269592	0.078235425	No	
row_23	TSPAN13	2545	0.8249766826629639	0.07898053	No	
row_24	CD44	2646	0.796790599822998	0.0775153	No	
row_25	SERPINA5	2982	0.6966725587844849	0.06365975	No	
row_26	CACNA2D2	3268	0.6317800879478455	0.052049495	No	
row_27	DUSP2	3371	0.6115970015525818	0.049642693	No	
row_28	SLC2A8	3605	0.5675120949745178	0.04038214	No	
row_29	PCP4	3672	0.5555689930915833	0.03954974	No	
row_30	LAMC2	3698	0.5515287518501282	0.040781498	No	
row_31	TOB1	3713	0.549191951751709	0.042561375	No	
row_32	KRT13	3760	0.5420495271682739	0.0426835	No	
row_33	ABCA3	4358	0.44910022616386414	0.014397447	No	
row_34	SFN	4841	0.3901527225971222	-0.008314855	No	
row_35	PERP	4929	0.3796648681163788	-0.011011744	No	
row_36	BATF	4970	0.3746589720249176	-0.011344098	No	
row_37	IDH2	5001	0.37090224027633667	-0.011185567	No	
row_38	RET	5161	0.3545283079147339	-0.017653517	No	
row_39	BAG1	5416	0.32859766483306885	-0.029064357	No	
row_40	RPS6KA2	5575	0.3104862868785858	-0.035681278	No	
row_41	HMGCS2	5680	0.2986718416213989	-0.039608996	No	
row_42	ID2	5811	0.2860495150089264	-0.04491457	No	
row_43	AFF1	5931	0.27386605739593506	-0.049716685	No	
row_44	ABHD2	6297	0.23991163074970245	-0.06716773	No	
row_45	MAPT	6429	0.2286681979894638	-0.07278436	No	
row_46	NCOR2	6455	0.22677242755889893	-0.07302559	No	
row_47	ALDH3B1	6482	0.22472113370895386	-0.07332693	No	
row_48	TIAM1	6494	0.2239835113286972	-0.072869726	No	
row_49	IL6ST	6540	0.22098131477832794	-0.07415307	No	
row_50	TRIM29	6569	0.21823693811893463	-0.0745854	No	
row_51	HSPA4L	6804	0.1991034597158432	-0.08556774	No	
row_52	XBP1	6992	0.18487952649593353	-0.09422735	No	
row_53	CALCR	7021	0.18297436833381653	-0.09481962	No	
