NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFNA5	728	2.34759783744812	-0.0076059443	No	
row_1	SQLE	967	1.9107117652893066	0.0042150416	No	
row_2	MARCKS	1072	1.7550357580184937	0.020895641	No	
row_3	HOXC10	1115	1.6977944374084473	0.04000979	No	
row_4	EGF	1327	1.4888145923614502	0.047922455	No	
row_5	HMGB3	1576	1.2892802953720093	0.051458146	No	
row_6	SLC38A1	2181	0.9559165835380554	0.032735106	No	
row_7	SLC12A2	2425	0.8664617538452148	0.031233232	No	
row_8	ODC1	2499	0.8417026400566101	0.038058393	No	
row_9	ARID4A	2682	0.7818914651870728	0.038597237	No	
row_10	BCL3	2711	0.7733102440834045	0.0468527	No	
row_11	RPS6KA5	2758	0.7574295997619629	0.05399492	No	
row_12	HIF1A	2907	0.7160741686820984	0.055437442	No	
row_13	LBR	3241	0.6381499171257019	0.04650576	No	
row_14	DKC1	3299	0.6272342801094055	0.051459726	No	
row_15	CENPE	4232	0.4658907949924469	0.009939864	No	
row_16	PDS5B	4399	0.4426359236240387	0.007045798	No	
row_17	MEIS2	4850	0.3893819749355316	-0.010943438	No	
row_18	DR1	4860	0.38728898763656616	-0.006553747	No	
row_19	NOTCH2	4931	0.3796321451663971	-0.0053590033	No	
row_20	NSD2	4968	0.37485432624816895	-0.002496675	No	
row_21	FOXN3	5291	0.34165212512016296	-0.014580178	No	
row_22	KMT5A	5427	0.3270311951637268	-0.017346079	No	
row_23	RASAL2	5522	0.3168599009513855	-0.018156258	No	
row_24	GSPT1	5560	0.31264808773994446	-0.01612325	No	
row_25	ESPL1	5709	0.29550859332084656	-0.019944126	No	
row_26	RPA2	5740	0.2927490770816803	-0.017804516	No	
row_27	MNAT1	5926	0.2747328579425812	-0.023765197	No	
row_28	NCL	6302	0.23915152251720428	-0.039824177	No	
row_29	KIF22	6875	0.19433286786079407	-0.066452704	No	
row_30	MAP3K20	6887	0.19295118749141693	-0.06459677	No	
row_31	TACC3	7044	0.1812262386083603	-0.07025433	No	
row_32	TNPO2	7111	0.17588874697685242	-0.07140623	No	
row_33	CCNT1	7194	0.16907170414924622	-0.07345632	No	
row_34	YTHDC1	7325	0.1578274518251419	-0.07808579	No	
row_35	TLE3	7466	0.1481817662715912	-0.08334402	No	
row_36	SMAD3	7503	0.1454421728849411	-0.0833528	No	
row_37	BARD1	7636	0.13536584377288818	-0.08836498	No	
row_38	HNRNPU	7644	0.13484983146190643	-0.08703297	No	
row_39	HNRNPD	7677	0.13204945623874664	-0.08700613	No	
row_40	MEIS1	7811	0.12195456773042679	-0.092236966	No	
row_41	PURA	7949	0.11243495345115662	-0.09779016	No	
row_42	JPT1	8048	0.10611023753881454	-0.1014411	No	
row_43	ATRX	8299	0.08834356814622879	-0.11303679	No	
row_44	ABL1	8320	0.08685757219791412	-0.112965874	No	
row_45	CDKN2C	8331	0.08614832162857056	-0.11239577	No	
row_46	SS18	8418	0.0805889368057251	-0.11575645	No	
row_47	STIL	8487	0.07583291828632355	-0.11826216	No	
row_48	NUMA1	8488	0.07578133046627045	-0.11731375	No	
row_49	CCNA2	8533	0.07230895012617111	-0.11864423	No	
row_50	BUB3	8565	0.07033061981201172	-0.119339004	No	
row_51	KATNA1	8884	0.050794053822755814	-0.13485938	No	
row_52	NUSAP1	8890	0.050635095685720444	-0.13447972	No	
row_53	SFPQ	8897	0.049972135573625565	-0.13415915	No	
row_54	MAPK14	8942	0.04705638438463211	-0.13580567	No	
row_55	STMN1	9036	0.04014237970113754	-0.14002816	No	
row_56	HMGA1	9223	0.028650181367993355	-0.14911939	No	
row_57	TROAP	9420	0.01546159666031599	-0.15888372	No	
row_58	RACGAP1	9486	0.010525129735469818	-0.16205433	No	
row_59	UBE2C	9642	6.454079994000494E-4	-0.16992107	No	
row_60	KIF23	9725	-0.004922944121062756	-0.17402549	No	
row_61	CUL4A	9778	-0.008139749057590961	-0.1765655	No	
row_62	EXO1	9866	-0.014256938360631466	-0.18080713	No	
row_63	INCENP	9940	-0.01876612938940525	-0.18428105	No	
row_64	HUS1	9943	-0.019043784588575363	-0.18414433	No	
row_65	NUP98	10001	-0.021925490349531174	-0.18676583	No	
row_66	PRC1	10220	-0.03634694963693619	-0.1973865	No	
row_67	TFDP1	10248	-0.037721164524555206	-0.19828616	No	
row_68	PLK1	10266	-0.03821060433983803	-0.19867164	No	
row_69	STAG1	10636	-0.06239866837859154	-0.21663786	No	
row_70	TGFB1	10644	-0.06277582794427872	-0.21620786	No	
row_71	ODF2	10671	-0.06380018591880798	-0.21673033	No	
row_72	CCNF	10705	-0.06620319932699203	-0.21757837	No	
row_73	CTCF	10766	-0.06962711364030838	-0.21975529	No	
row_74	CHMP1A	10794	-0.07128777354955673	-0.22023487	No	
row_75	AMD1	10883	-0.07709352672100067	-0.2237409	No	
row_76	PRMT5	11000	-0.08530692756175995	-0.22856669	No	
row_77	HIRA	11085	-0.0907638743519783	-0.23169842	No	
row_78	KIF4A	11165	-0.09635385125875473	-0.23450616	No	
row_79	CUL3	11170	-0.09668614715337753	-0.23349936	No	
row_80	WRN	11289	-0.10484253615140915	-0.23818226	No	
row_81	TRA2B	11366	-0.10946356505155563	-0.24067353	No	
row_82	E2F4	11403	-0.11152351647615433	-0.2411068	No	
row_83	MYBL2	11430	-0.11261625587940216	-0.24101834	No	
row_84	FBXO5	11501	-0.11685948073863983	-0.2431122	No	
row_85	SYNCRIP	11518	-0.11838814616203308	-0.24244346	No	
row_86	DTYMK	11566	-0.12122292071580887	-0.24331419	No	
row_87	SRSF10	11593	-0.12280471622943878	-0.24309821	No	
row_88	ILF3	11607	-0.12355265766382217	-0.24221243	No	
row_89	HMGN2	11764	-0.13449741899967194	-0.24845481	No	
row_90	H2AX	11823	-0.13816915452480316	-0.24967231	No	
row_91	NUP50	11826	-0.13848356902599335	-0.2480408	No	
row_92	SRSF1	11897	-0.1440226286649704	-0.24979472	No	
row_93	KIF20B	11964	-0.14823447167873383	-0.2512927	No	
row_94	KIF2C	12048	-0.1540202647447586	-0.25358197	No	
row_95	TOP2A	12060	-0.15473565459251404	-0.2522043	No	
row_96	CDC6	12285	-0.1691163331270218	-0.26146817	No	
row_97	MTF2	12296	-0.16995945572853088	-0.2598492	No	
row_98	PRPF4B	12335	-0.1724712997674942	-0.2596213	No	
row_99	EWSR1	12353	-0.1733679622411728	-0.2583153	No	
row_100	CCND1	12448	-0.1801343560218811	-0.2608366	No	
row_101	POLE	12498	-0.18381965160369873	-0.26102555	No	
row_102	TMPO	12558	-0.1881026327610016	-0.26166895	No	
row_103	CDC20	12636	-0.19389452040195465	-0.26315433	No	
row_104	BIRC5	12711	-0.1986207515001297	-0.2644282	No	
row_105	CDC7	12741	-0.20057134330272675	-0.26339138	No	
row_106	PRIM2	12751	-0.20111368596553802	-0.26133168	No	
row_107	UCK2	12767	-0.20251061022281647	-0.25955933	No	
row_108	PLK4	12847	-0.20697353780269623	-0.26098266	No	
row_109	CCNB2	12867	-0.2081926316022873	-0.25934243	No	
row_110	SNRPD1	12972	-0.21487832069396973	-0.26193696	No	
row_111	CDKN3	13087	-0.22516508400440216	-0.26491082	No	
row_112	E2F3	13149	-0.22926051914691925	-0.2651407	No	
row_113	NDC80	13186	-0.23207987844944	-0.26406524	No	
row_114	CUL5	13209	-0.23369766771793365	-0.2622582	No	
row_115	TENT4A	13262	-0.23739948868751526	-0.261929	No	
row_116	MCM5	13273	-0.23823922872543335	-0.2594555	No	
row_117	KPNB1	13275	-0.238368958234787	-0.2565231	No	
row_118	CBX1	13315	-0.24137476086616516	-0.2554837	No	
row_119	CASP8AP2	13409	-0.2486725002527237	-0.25709644	No	
row_120	SRSF2	13416	-0.2489490807056427	-0.25428566	No	
row_121	SMC4	13569	-0.2601132094860077	-0.25875273	No	
row_122	MAD2L1	13605	-0.26343247294425964	-0.25723404	No	
row_123	TRAIP	13902	-0.2862217128276825	-0.26869032	No	
row_124	NASP	13945	-0.289063960313797	-0.2672065	No	
row_125	SMC1A	14065	-0.29817837476730347	-0.2695206	Yes	
row_126	AURKA	14073	-0.2988277077674866	-0.2661364	Yes	
row_127	SMARCC1	14216	-0.31000277400016785	-0.26947105	Yes	
row_128	PTTG1	14224	-0.3103136718273163	-0.2659431	Yes	
row_129	CKS1B	14245	-0.31217339634895325	-0.26305234	Yes	
row_130	ORC6	14249	-0.3123692572116852	-0.25929543	Yes	
row_131	RAD23B	14287	-0.31560227274894714	-0.25722545	Yes	
row_132	FANCC	14334	-0.31911394000053406	-0.25556877	Yes	
row_133	PTTG3P	14391	-0.3245566487312317	-0.25435203	Yes	
row_134	GINS2	14424	-0.32629626989364624	-0.2518942	Yes	
row_135	CDKN1B	14458	-0.3286420404911041	-0.24945779	Yes	
row_136	KNL1	14485	-0.33036285638809204	-0.24664423	Yes	
row_137	CKS2	14494	-0.3311997950077057	-0.24290569	Yes	
row_138	KIF5B	14526	-0.33354470133781433	-0.24030633	Yes	
row_139	CHEK1	14535	-0.3340650498867035	-0.23653193	Yes	
row_140	MCM3	14592	-0.33894574642181396	-0.23513511	Yes	
row_141	NOLC1	14605	-0.3400678038597107	-0.23148881	Yes	
row_142	SUV39H1	14621	-0.3420291543006897	-0.22797038	Yes	
row_143	CDK4	14655	-0.34509164094924927	-0.22532812	Yes	
row_144	E2F2	14715	-0.35054928064346313	-0.22393848	Yes	
row_145	CDC45	14719	-0.3511712849140167	-0.21969599	Yes	
row_146	MYC	14739	-0.35285574197769165	-0.21624528	Yes	
row_147	G3BP1	14836	-0.36118707060813904	-0.21660231	Yes	
row_148	CHAF1A	14850	-0.3626842200756073	-0.21272376	Yes	
row_149	MKI67	14909	-0.36774903535842896	-0.21106808	Yes	
row_150	CDK1	14978	-0.3740015923976898	-0.20984219	Yes	
row_151	KIF15	15047	-0.3804507553577423	-0.2085356	Yes	
row_152	TTK	15134	-0.3906494677066803	-0.20801584	Yes	
row_153	XPO1	15153	-0.3926025927066803	-0.20401691	Yes	
row_154	KPNA2	15242	-0.4012300968170166	-0.20346636	Yes	
row_155	CDC25A	15245	-0.4013102650642395	-0.19854555	Yes	
row_156	TOP1	15285	-0.40492182970046997	-0.19545935	Yes	
row_157	TPX2	15364	-0.4127693772315979	-0.19425634	Yes	
row_158	H2AZ2	15422	-0.4185298979282379	-0.1919143	Yes	
row_159	MCM2	15630	-0.4416451156139374	-0.1969038	Yes	
row_160	KIF11	15713	-0.4511062204837799	-0.19542421	Yes	
row_161	H2AZ1	15786	-0.45819535851478577	-0.19334786	Yes	
row_162	BRCA2	15800	-0.45954686403274536	-0.18825707	Yes	
row_163	RAD21	15834	-0.4626467525959015	-0.1841436	Yes	
row_164	CUL1	15903	-0.47026288509368896	-0.181713	Yes	
row_165	POLA2	15909	-0.47048303484916687	-0.17607892	Yes	
