NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	97	6.496572017669678	0.04672851	Yes	
row_1	CXCR4	171	5.2424397468566895	0.08470414	Yes	
row_2	EGLN3	267	4.209904670715332	0.113353044	Yes	
row_3	NDST3	404	3.3323018550872803	0.13294232	Yes	
row_4	BIK	502	2.9519426822662354	0.1514877	Yes	
row_5	CAPN5	505	2.9316489696502686	0.1746955	Yes	
row_6	ARPP19	543	2.8092987537384033	0.19515334	Yes	
row_7	CHST1	565	2.7396275997161865	0.21586965	Yes	
row_8	CLDN9	624	2.588965654373169	0.2335093	Yes	
row_9	FUT8	772	2.2336196899414062	0.24380448	Yes	
row_10	HS6ST2	833	2.147472620010376	0.2578323	Yes	
row_11	ANGPTL4	937	1.9643410444259644	0.26822063	Yes	
row_12	NSDHL	1168	1.640872597694397	0.26958844	Yes	
row_13	ARTN	1286	1.5316927433013916	0.27582595	Yes	
row_14	MIOX	1320	1.4940142631530762	0.28602913	Yes	
row_15	SDC1	1379	1.442558765411377	0.2945538	Yes	
row_16	PYGL	1515	1.3304088115692139	0.2982769	Yes	
row_17	IRS2	1960	1.0571457147598267	0.28413728	Yes	
row_18	GAPDHS	2116	0.9808740019798279	0.28406572	Yes	
row_19	NOL3	2153	0.9667165279388428	0.28992406	Yes	
row_20	IDH1	2189	0.9509024024009705	0.29570743	Yes	
row_21	PRPS1	2212	0.9427120685577393	0.3020858	Yes	
row_22	VLDLR	2307	0.9080818295478821	0.3045329	Yes	
row_23	ANG	2324	0.9005743265151978	0.31088087	Yes	
row_24	CHPF	2393	0.8756011128425598	0.31438988	Yes	
row_25	GPC4	2444	0.8583376407623291	0.31867564	Yes	
row_26	IL13RA1	2644	0.7971786260604858	0.31490937	Yes	
row_27	CD44	2646	0.796790599822998	0.3211938	Yes	
row_28	GPC1	2653	0.7928921580314636	0.32719338	Yes	
row_29	IER3	2681	0.7825939655303955	0.33204478	Yes	
row_30	HK2	2802	0.7468753457069397	0.33188993	Yes	
row_31	ME1	2828	0.7374754548072815	0.3364841	Yes	
row_32	CHST6	3005	0.6907419562339783	0.33303943	No	
row_33	G6PD	3082	0.6742346882820129	0.3345412	No	
row_34	SPAG4	3821	0.5310544967651367	0.30129024	No	
row_35	CITED2	3909	0.516208291053772	0.300977	No	
row_36	FBP2	4218	0.4682108759880066	0.2890604	No	
row_37	LHX9	4526	0.42790162563323975	0.27687415	No	
row_38	STC2	4611	0.41575926542282104	0.27591455	No	
row_39	SOX9	4626	0.41363322734832764	0.27849245	No	
row_40	MPI	4643	0.41094255447387695	0.28094742	No	
row_41	PGM2	4785	0.3959977924823761	0.2769364	No	
row_42	COG2	4853	0.3888072669506073	0.27662575	No	
row_43	BPNT1	4863	0.3867809772491455	0.27924404	No	
row_44	COL5A1	4873	0.38548725843429565	0.28185204	No	
row_45	EXT1	5241	0.3451126217842102	0.2659609	No	
row_46	SLC16A3	5852	0.2832902669906616	0.2372394	No	
row_47	GYS1	6115	0.2550642788410187	0.22596388	No	
row_48	ENO1	6177	0.2502419948577881	0.22485614	No	
row_49	TALDO1	6333	0.2358490526676178	0.21886094	No	
row_50	ENO2	6352	0.23433908820152283	0.21981017	No	
row_51	FAM162A	6493	0.2240348607301712	0.2144827	No	
row_52	VEGFA	6620	0.21442165970802307	0.20978966	No	
row_53	PPP2CB	6985	0.1854778677225113	0.19278161	No	
row_54	TPST1	7051	0.18055517971515656	0.19091669	No	
row_55	GMPPA	7071	0.17883042991161346	0.1913738	No	
row_56	MERTK	7133	0.17346076667308807	0.18965559	No	
row_57	HSPA5	7165	0.17131289839744568	0.1894436	No	
row_58	RBCK1	7220	0.16714340448379517	0.1880306	No	
row_59	PYGB	7294	0.16018380224704742	0.1855975	No	
row_60	B3GALT6	7319	0.1580633968114853	0.18563561	No	
row_61	GALK2	7424	0.15069715678691864	0.18155299	No	
row_62	ALDOA	7539	0.14232084155082703	0.17689602	No	
row_63	SRD5A3	7579	0.1397341936826706	0.17602673	No	
row_64	SDC3	7963	0.11151380836963654	0.15746583	No	
row_65	ERO1A	7997	0.10901914536952972	0.156657	No	
row_66	PKM	8055	0.10592886805534363	0.15460494	No	
row_67	LCT	8114	0.1015651673078537	0.15246743	No	
row_68	COPB2	8249	0.09178242832422256	0.14639308	No	
row_69	ISG20	8364	0.083908811211586	0.14127167	No	
row_70	IDUA	8388	0.0822146087884903	0.14075749	No	
row_71	MIF	8601	0.06813383102416992	0.13053451	No	
row_72	AKR1A1	8856	0.05243099853396416	0.11805406	No	
row_73	CACNA1H	9032	0.040381383150815964	0.10948917	No	
row_74	STMN1	9036	0.04014237970113754	0.10965601	No	
row_75	GNE	9148	0.033271439373493195	0.10428432	No	
row_76	ZNF292	9180	0.030529949814081192	0.10295298	No	
row_77	GLRX	9274	0.024773767217993736	0.0984277	No	
row_78	EGFR	9411	0.015863832086324692	0.09164818	No	
row_79	PFKFB1	9446	0.013658661395311356	0.090030365	No	
row_80	PMM2	9468	0.012251009233295918	0.089061454	No	
row_81	TGFBI	9512	0.009083614684641361	0.08695027	No	
row_82	PGLS	9620	0.0019856789149343967	0.08153293	No	
row_83	KDELR3	9894	-0.01628889888525009	0.06780036	No	
row_84	SDHC	9913	-0.017104854807257652	0.06702237	No	
row_85	PPIA	10000	-0.021919872611761093	0.062829845	No	
row_86	PHKA2	10004	-0.022071395069360733	0.062853	No	
row_87	SLC35A3	10027	-0.023699600249528885	0.061924342	No	
row_88	NANP	10323	-0.04273753613233566	0.047284964	No	
row_89	CYB5A	10340	-0.04423663765192032	0.046824258	No	
row_90	GMPPB	10519	-0.055236540734767914	0.038225155	No	
row_91	GOT1	10652	-0.06322500854730606	0.032025304	No	
row_92	PFKP	10832	-0.07397093623876572	0.023524381	No	
row_93	GFUS	11037	-0.08789212256669998	0.013864722	No	
row_94	AK3	11104	-0.09219488501548767	0.011246484	No	
row_95	ALDH9A1	11143	-0.09498520195484161	0.010072184	No	
row_96	DDIT4	11175	-0.0968906581401825	0.009268473	No	
row_97	PGK1	11275	-0.10389642417430878	0.0050676353	No	
row_98	DEPDC1	11349	-0.1083630919456482	0.0022225115	No	
row_99	AGRN	11352	-0.10860038548707962	0.0029844332	No	
row_100	ALDH7A1	11384	-0.11023753136396408	0.0022868419	No	
row_101	AK4	11466	-0.11487425863742828	-9.1272726E-4	No	
row_102	ELF3	11481	-0.11591799557209015	-7.019463E-4	No	
row_103	GCLC	11558	-0.12074165791273117	-0.0036009797	No	
row_104	SOD1	11631	-0.1248345598578453	-0.006264363	No	
row_105	GFPT1	11888	-0.14339211583137512	-0.018123142	No	
row_106	HS2ST1	11965	-0.14832082390785217	-0.020802896	No	
row_107	UGP2	11971	-0.14886638522148132	-0.019873153	No	
row_108	GPC3	12065	-0.15489551424980164	-0.023363838	No	
row_109	PC	12089	-0.15705835819244385	-0.023282945	No	
row_110	GLCE	12407	-0.17808978259563446	-0.037963234	No	
row_111	B3GNT3	12923	-0.2115877866744995	-0.062431008	No	
row_112	POLR3K	13002	-0.21740013360977173	-0.06466307	No	
row_113	HDLBP	13031	-0.21950586140155792	-0.06433954	No	
row_114	PDK3	13041	-0.22029346227645874	-0.063044995	No	
row_115	EXT2	13093	-0.2255103886127472	-0.063841596	No	
row_116	CASP6	13095	-0.2255900502204895	-0.06209872	No	
row_117	ABCB6	13188	-0.23221497237682343	-0.06492387	No	
row_118	SLC25A10	13230	-0.23500369489192963	-0.065137215	No	
row_119	RPE	13272	-0.23813886940479279	-0.06532564	No	
row_120	B4GALT2	13344	-0.24330541491508484	-0.06699629	No	
row_121	TXN	13367	-0.2456137090921402	-0.06616052	No	
row_122	PGAM1	13394	-0.24763554334640503	-0.065511785	No	
row_123	B3GAT3	13553	-0.25910061597824097	-0.07147444	No	
row_124	HAX1	13555	-0.25920313596725464	-0.06946431	No	
row_125	AGL	13587	-0.2617516815662384	-0.06895722	No	
row_126	RARS1	13801	-0.27887624502182007	-0.077555366	No	
row_127	NASP	13945	-0.289063960313797	-0.08251813	No	
row_128	AURKA	14073	-0.2988277077674866	-0.086590834	No	
row_129	EFNA3	14125	-0.30277931690216064	-0.086773075	No	
row_130	B4GALT4	14554	-0.3360149562358856	-0.10583395	No	
row_131	PSMC4	14633	-0.34338927268981934	-0.10706428	No	
row_132	KIF2A	14643	-0.3441453278064728	-0.10478499	No	
row_133	GOT2	14656	-0.3450923264026642	-0.1026505	No	
row_134	CHPF2	14746	-0.35323667526245117	-0.10436108	No	
row_135	PLOD1	14830	-0.360772043466568	-0.10570708	No	
row_136	NDUFV3	14883	-0.3660165071487427	-0.1054373	No	
row_137	CDK1	14978	-0.3740015923976898	-0.10723667	No	
row_138	ANKZF1	15054	-0.38146382570266724	-0.10801194	No	
row_139	SLC25A13	15208	-0.3981783092021942	-0.11261491	No	
