NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLIT1	74	7.4199957847595215	0.15554966	Yes	
row_1	CDK6	158	5.496424674987793	0.26935464	Yes	
row_2	ACHE	176	5.211377143859863	0.38036555	Yes	
row_3	HEY1	252	4.335447311401367	0.469652	Yes	
row_4	L1CAM	378	3.514159917831421	0.5387899	Yes	
row_5	CNTFR	559	2.7562129497528076	0.58888716	Yes	
row_6	RTN1	631	2.5739328861236572	0.64056253	Yes	
row_7	OPHN1	758	2.2710845470428467	0.6829663	Yes	
row_8	DPYSL2	1243	1.5695627927780151	0.69227684	Yes	
row_9	UNC5C	1925	1.0789631605148315	0.68113226	Yes	
row_10	PTCH1	1987	1.0419687032699585	0.7004262	Yes	
row_11	VLDLR	2307	0.9080818295478821	0.7038494	Yes	
row_12	NF1	4344	0.4506898522377014	0.61095977	No	
row_13	MYH9	4646	0.4106407165527344	0.6046116	No	
row_14	NRP2	5351	0.3350123465061188	0.57633877	No	
row_15	TLE1	5539	0.31490230560302734	0.57367826	No	
row_16	AMOT	6041	0.26278895139694214	0.55408126	No	
row_17	SCG2	6464	0.22642017900943756	0.5376832	No	
row_18	VEGFA	6620	0.21442165970802307	0.53447783	No	
row_19	TLE3	7466	0.1481817662715912	0.49509156	No	
row_20	SHH	7585	0.13916277885437012	0.49213454	No	
row_21	LDB1	7852	0.11860424280166626	0.48128065	No	
row_22	RASA1	9819	-0.010942671447992325	0.38247773	No	
row_23	NRCAM	13549	-0.2588697671890259	0.20018514	No	
row_24	CDK5R1	13656	-0.26690518856048584	0.20057473	No	
row_25	HEY2	15587	-0.4363139569759369	0.11271631	No	
row_26	ETS2	15655	-0.44399914145469666	0.11887204	No	
row_27	NRP1	16787	-0.5902003645896912	0.074566804	No	
row_28	PML	17240	-0.6753450036048889	0.06629411	No	
row_29	ADGRG1	17589	-0.7608383893966675	0.06509564	No	
row_30	CELSR1	18494	-1.1474878787994385	0.04418832	No	
row_31	GLI1	18559	-1.1964163780212402	0.066646546	No	
