NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPTB	518	2.902125358581543	0.0013208317	Yes	
row_1	IGSF3	831	2.1495771408081055	0.0059363325	Yes	
row_2	CLIC2	923	1.990943431854248	0.020257149	Yes	
row_3	SELENBP1	981	1.8866350650787354	0.03531103	Yes	
row_4	BCAM	1010	1.8391201496124268	0.05138449	Yes	
row_5	NR3C1	1027	1.8155549764633179	0.067842714	Yes	
row_6	AQP3	1075	1.7504565715789795	0.082108654	Yes	
row_7	FTCD	1086	1.735559105873108	0.09811039	Yes	
row_8	ADD2	1237	1.5723819732666016	0.10545586	Yes	
row_9	AGPAT4	1246	1.567665696144104	0.11996203	Yes	
row_10	SLC4A1	1248	1.5661859512329102	0.13480933	Yes	
row_11	KAT2B	1479	1.3582242727279663	0.1360582	Yes	
row_12	RNF19A	1582	1.282928228378296	0.14308597	Yes	
row_13	SDCBP	1648	1.2314916849136353	0.15150198	Yes	
row_14	RAP1GAP	1684	1.211360216140747	0.16124879	Yes	
row_15	NUDT4	1721	1.1913108825683594	0.17075415	Yes	
row_16	MOSPD1	1764	1.1653316020965576	0.17970791	Yes	
row_17	SLC10A3	1943	1.0687512159347534	0.18084188	Yes	
row_18	SIDT2	2075	1.001173496246338	0.18371797	Yes	
row_19	ELL2	2151	0.9672379493713379	0.18911287	Yes	
row_20	HBQ1	2173	0.9573668241500854	0.19715403	Yes	
row_21	MBOAT2	2217	0.9398876428604126	0.20391257	Yes	
row_22	SLC6A8	2279	0.9162923097610474	0.20953327	Yes	
row_23	ALDH6A1	2296	0.9123673439025879	0.2174001	Yes	
row_24	ACSL6	2311	0.9069544672966003	0.22531693	Yes	
row_25	MOCOS	2351	0.8898023962974548	0.231802	Yes	
row_26	UCP2	2385	0.8778687715530396	0.23847803	Yes	
row_27	ALDH1L1	2626	0.8021055459976196	0.23392949	Yes	
row_28	SLC25A38	2752	0.7593273520469666	0.23480952	Yes	
row_29	ADD1	2763	0.7558841109275818	0.24149229	Yes	
row_30	EPOR	2790	0.7490856647491455	0.2472985	Yes	
row_31	ABCG2	2834	0.7356730699539185	0.25211447	Yes	
row_32	LMO2	2945	0.7085673213005066	0.2532728	Yes	
row_33	ALAD	3160	0.6560266613960266	0.24865405	Yes	
row_34	BNIP3L	3200	0.6467075943946838	0.25282675	Yes	
row_35	ERMAP	3250	0.6351705193519592	0.25638226	Yes	
row_36	DMTN	3424	0.6001173257827759	0.25331214	Yes	
row_37	CLCN3	3629	0.5628945827484131	0.24831492	Yes	
row_38	SLC11A2	3709	0.5494388937950134	0.24953263	Yes	
row_39	KHNYN	3798	0.5342050194740295	0.25014874	Yes	
row_40	HEBP1	3802	0.5335670709609985	0.25507197	Yes	
row_41	NNT	3815	0.5318788886070251	0.25952244	Yes	
row_42	HBZ	3988	0.5039790868759155	0.25558856	Yes	
row_43	PPP2R5B	3991	0.5034430027008057	0.260276	Yes	
row_44	RIOK3	4377	0.44635650515556335	0.24498565	No	
row_45	BACH1	4402	0.44253283739089966	0.24797733	No	
row_46	MFHAS1	4448	0.43640872836112976	0.24984513	No	
row_47	SEC14L1	4881	0.3847218453884125	0.23158358	No	
row_48	FBXO9	4983	0.37287813425064087	0.23000543	No	
row_49	FBXO34	5028	0.3681492507457733	0.23127466	No	
row_50	FN3K	5236	0.3460488021373749	0.2240625	No	
row_51	NEK7	5470	0.3217892348766327	0.21530025	No	
row_52	OPTN	5491	0.3195136785507202	0.2173247	No	
row_53	DAAM1	5534	0.3152511715888977	0.21819223	No	
row_54	USP15	5551	0.3135974705219269	0.22036338	No	
row_55	TNRC6B	5577	0.31038588285446167	0.22204728	No	
row_56	ATG4A	5635	0.3027481138706207	0.22203474	No	
row_57	KLF3	5769	0.29002267122268677	0.21804465	No	
row_58	SNCA	6158	0.25240248441696167	0.20075715	No	
row_59	TFDP2	6160	0.2523214519023895	0.20310657	No	
row_60	PRDX2	6205	0.24741138517856598	0.20322731	No	
