NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HOPX	31	9.613536834716797	0.0671407	Yes	
row_1	ADAM19	75	7.415271282196045	0.11796063	Yes	
row_2	IL1R2	188	5.118559837341309	0.14886527	Yes	
row_3	SOCS2	426	3.25207781791687	0.16008946	Yes	
row_4	SH3BGRL2	435	3.229184865951538	0.18276438	Yes	
row_5	SPRY4	751	2.2848637104034424	0.18311943	Yes	
row_6	SLC39A8	829	2.1519811153411865	0.1945955	Yes	
row_7	EOMES	976	1.9002774953842163	0.200773	Yes	
row_8	GUCY1B1	1139	1.6808232069015503	0.20457046	Yes	
row_9	PRKCH	1166	1.64185631275177	0.214987	Yes	
row_10	IKZF2	1200	1.6122506856918335	0.2248369	Yes	
row_11	RHOH	1509	1.3324058055877686	0.21873926	Yes	
row_12	NCOA3	1528	1.3204092979431152	0.227264	Yes	
row_13	NDRG1	1805	1.135716438293457	0.22138348	Yes	
row_14	ENPP1	1850	1.117411494255066	0.22713862	Yes	
row_15	GALM	1881	1.0978389978408813	0.23346391	Yes	
row_16	ITGA6	1959	1.0571528673171997	0.23711468	Yes	
row_17	PTCH1	1987	1.0419687032699585	0.24319279	Yes	
row_18	KLF6	2114	0.9817771315574646	0.24381964	Yes	
row_19	SERPINC1	2428	0.8652579188346863	0.23412946	Yes	
row_20	ODC1	2499	0.8417026400566101	0.23659532	Yes	
row_21	NFIL3	2559	0.8211858868598938	0.23947242	Yes	
row_22	ECM1	2569	0.8196753859519958	0.2448746	Yes	
row_23	EMP1	2577	0.816434383392334	0.25035506	Yes	
row_24	CDKN1C	2587	0.8129161596298218	0.25570893	Yes	
row_25	CD44	2646	0.796790599822998	0.25846237	Yes	
row_26	HK2	2802	0.7468753457069397	0.25593945	Yes	
row_27	TRAF1	2812	0.7419019937515259	0.26078576	Yes	
row_28	IL3RA	2820	0.7401407957077026	0.2657209	Yes	
row_29	ARL4A	2887	0.7234488129615784	0.2675444	Yes	
row_30	FURIN	2968	0.7018941044807434	0.2685038	Yes	
row_31	ALCAM	2979	0.6976472735404968	0.27298307	Yes	
row_32	MAFF	3014	0.6892635822296143	0.27618518	Yes	
row_33	LRRC8C	3161	0.655507504940033	0.27346566	No	
row_34	PLAGL1	3534	0.5791704058647156	0.25873834	No	
row_35	IL13	3560	0.5744225978851318	0.2615761	No	
row_36	TNFRSF21	3636	0.5619657039642334	0.2617889	No	
row_37	RHOB	3667	0.5562412738800049	0.26424313	No	
row_38	WLS	3707	0.549724817276001	0.2661943	No	
row_39	ST3GAL4	3718	0.5485740900039673	0.26960808	No	
row_40	SPRED2	3960	0.5079644918441772	0.2610158	No	
row_41	BCL2L1	4006	0.5007665753364563	0.26231277	No	
row_42	LTB	4235	0.4657500982284546	0.2540781	No	
row_43	TGM2	4252	0.4629371464252472	0.25657547	No	
row_44	RORA	4295	0.4578556418418884	0.25771785	No	
row_45	SLC29A2	4667	0.40798747539520264	0.2418177	No	
row_46	PHLDA1	4696	0.4052514433860779	0.24329415	No	
row_47	AGER	4794	0.39524006843566895	0.24119952	No	
row_48	ENO3	4894	0.38340523838996887	0.23891887	No	
row_49	MYO1E	4918	0.38134241104125977	0.24047801	No	
row_50	TWSG1	4965	0.3755328953266144	0.24082913	No	
row_51	BATF	4970	0.3746589720249176	0.24330415	No	
row_52	SCN9A	4994	0.37162303924560547	0.24479382	No	
row_53	IFNGR1	5009	0.3700181841850281	0.24672848	No	
row_54	HIPK2	5115	0.3591946065425873	0.24397048	No	
row_55	P2RX4	5246	0.34497660398483276	0.2398429	No	
row_56	BHLHE40	5252	0.3445732593536377	0.24205217	No	
row_57	EEF1AKMT1	5353	0.3349568545818329	0.23937452	No	
row_58	ETV4	5444	0.32501915097236633	0.23713301	No	
row_59	CAPN3	5546	0.3141496777534485	0.23425591	No	
