NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1R1	50	8.506416320800781	0.12794104	Yes	
row_1	CSF2RB	166	5.347833633422852	0.20415865	Yes	
row_2	IL1R2	188	5.118559837341309	0.281603	Yes	
row_3	CCR1	511	2.912062644958496	0.31001782	Yes	
row_4	CNTFR	559	2.7562129497528076	0.34991863	Yes	
row_5	INHBE	608	2.6436049938201904	0.3880419	Yes	
row_6	SOCS3	1167	1.6415016651153564	0.3850616	Yes	
row_7	TNFRSF12A	1542	1.3116934299468994	0.38630748	Yes	
row_8	CSF3R	1818	1.1302309036254883	0.3897657	Yes	
row_9	PDGFC	1936	1.072218894958496	0.40030673	Yes	
row_10	IL13RA1	2644	0.7971786260604858	0.37685853	Yes	
row_11	CD44	2646	0.796790599822998	0.38902855	Yes	
row_12	IL3RA	2820	0.7401407957077026	0.39165074	Yes	
row_13	CXCL13	2899	0.7189059853553772	0.3987409	Yes	
row_14	LEPR	3033	0.6849600076675415	0.40253514	Yes	
row_15	PIK3R5	3169	0.6545045375823975	0.40576136	Yes	
row_16	TNFRSF21	3636	0.5619657039642334	0.39086634	No	
row_17	LTB	4235	0.4657500982284546	0.36783502	No	
row_18	IL7	4716	0.4031560719013214	0.34979787	No	
row_19	BAK1	4813	0.39375922083854675	0.35099292	No	
row_20	IFNGR1	5009	0.3700181841850281	0.3468284	No	
row_21	MAP3K8	6080	0.25922074913978577	0.29681277	No	
row_22	IL6ST	6540	0.22098131477832794	0.27704123	No	
row_23	PTPN11	6683	0.2095375657081604	0.27308974	No	
row_24	HMOX1	6977	0.18600016832351685	0.2611579	No	
row_25	TYK2	7104	0.1764705926179886	0.2575066	No	
row_26	CD14	7336	0.1574070155620575	0.2482647	No	
row_27	JUN	8359	0.08427800983190536	0.197988	No	
row_28	LTBR	8531	0.07235071063041687	0.19046913	No	
row_29	PTPN2	8969	0.04556961730122566	0.16911738	No	
row_30	MYD88	9229	0.02822665125131607	0.15648137	No	
row_31	IL4R	9628	0.0015691380249336362	0.13642268	No	
row_32	STAM2	10446	-0.05081196874380112	0.095976844	No	
row_33	IL17RA	10641	-0.06273196637630463	0.087149896	No	
row_34	TGFB1	10644	-0.06277582794427872	0.08801178	No	
row_35	CD9	11090	-0.0914543867111206	0.06696009	No	
row_36	STAT2	11301	-0.10547854006290436	0.0579814	No	
row_37	SOCS1	11305	-0.10566363483667374	0.0594506	No	
row_38	STAT3	11715	-0.13083238899707794	0.04081939	No	
row_39	PIM1	12108	-0.15901462733745575	0.023478221	No	
row_40	GRB2	12877	-0.20890182256698608	-0.012070473	No	
row_41	CSF1	13150	-0.22928430140018463	-0.022278806	No	
row_42	IFNAR1	13155	-0.22956278920173645	-0.01895981	No	
row_43	IL10RB	13244	-0.23616041243076324	-0.019778194	No	
row_44	IFNGR2	13264	-0.23749908804893494	-0.017094364	No	
row_45	ACVR1B	13313	-0.24110235273838043	-0.015818588	No	
row_46	PTPN1	13476	-0.2536822259426117	-0.020102218	No	
row_47	HAX1	13555	-0.25920313596725464	-0.020062601	No	
row_48	TNF	15081	-0.38445332646369934	-0.091116436	No	
row_49	TNFRSF1A	15342	-0.4111117124557495	-0.09793055	No	
row_50	IRF1	15712	-0.45109477639198303	-0.109631486	No	
row_51	CBL	16184	-0.5055419206619263	-0.1256442	No	
row_52	TLR2	16569	-0.5565906167030334	-0.13648403	No	
row_53	FAS	16718	-0.5783613324165344	-0.13508157	No	
row_54	REG1A	17064	-0.6398501992225647	-0.14267653	No	
row_55	IL18R1	17672	-0.7856382727622986	-0.16125582	No	
row_56	OSMR	18419	-1.1023660898208618	-0.18199123	No	
row_57	IRF9	18728	-1.3454082012176514	-0.17689796	No	
row_58	IL17RB	18949	-1.6355458498001099	-0.16291441	No	
row_59	STAT1	18998	-1.7075133323669434	-0.1391481	No	
row_60	IL15RA	19001	-1.7099751234054565	-0.11302291	No	
row_61	CSF2RA	19093	-1.872981071472168	-0.08888854	No	
row_62	CD36	19207	-2.173076629638672	-0.061261676	No	
row_63	A2M	19412	-2.946312427520752	-0.02636738	No	
row_64	ITGA4	19484	-3.2621893882751465	0.020082636	No	
