NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VIP	2	13.318719863891602	0.058553617	Yes	
row_1	NDP	30	9.615758895874023	0.099533	Yes	
row_2	ABCA1	41	9.03364372253418	0.13881005	Yes	
row_3	IL1R1	50	8.506416320800781	0.17586656	Yes	
row_4	GNA15	98	6.463868141174316	0.2019519	Yes	
row_5	CALCRL	100	6.404170513153076	0.23010488	Yes	
row_6	LYN	228	4.527255535125732	0.24360839	Yes	
row_7	ROS1	281	4.090797424316406	0.2589895	Yes	
row_8	RNF144B	360	3.61358642578125	0.2709518	Yes	
row_9	TACR3	361	3.611478805541992	0.28685656	Yes	
row_10	INHBA	400	3.371035099029541	0.2997772	Yes	
row_11	ADM	457	3.1295320987701416	0.31072235	Yes	
row_12	CCR7	476	3.041722297668457	0.32320598	Yes	
row_13	HPN	572	2.7131261825561523	0.3303414	Yes	
row_14	PTGER4	604	2.649569272994995	0.34043938	Yes	
row_15	FFAR2	635	2.564232349395752	0.35021222	Yes	
row_16	CXCL8	643	2.548215627670288	0.36107978	Yes	
row_17	PDE4B	695	2.436333656311035	0.3692254	Yes	
row_18	SGMS2	752	2.283923864364624	0.37644655	Yes	
row_19	GPR132	879	2.071014642715454	0.37918356	Yes	
row_20	EDN1	893	2.0449047088623047	0.38753057	Yes	
row_21	PCDH7	931	1.9795387983322144	0.3943738	Yes	
row_22	ATP2B1	1235	1.5742539167404175	0.38595563	No	
row_23	LDLR	1281	1.5353376865386963	0.3904373	No	
row_24	ICAM1	1543	1.3111845254898071	0.38298848	No	
row_25	NLRP3	1618	1.2549192905426025	0.38476595	No	
row_26	NFKBIA	1797	1.1444748640060425	0.38078803	No	
row_27	CSF3R	1818	1.1302309036254883	0.38475224	No	
row_28	PTPRE	1852	1.1148570775985718	0.38799012	No	
row_29	HBEGF	1865	1.1076483726501465	0.39226016	No	
row_30	GCH1	1957	1.059683084487915	0.39231655	No	
row_31	KLF6	2114	0.9817771315574646	0.38873672	No	
row_32	TNFSF9	2188	0.951069176197052	0.38922673	No	
row_33	C5AR1	2524	0.8307104706764221	0.3759128	No	
row_34	SLC4A4	2594	0.8101563453674316	0.37598488	No	
row_35	MMP14	2809	0.7443921566009521	0.36842114	No	
row_36	SLC31A2	2867	0.7283941507339478	0.3687411	No	
row_37	LTA	2888	0.7234182953834534	0.3709137	No	
row_38	HIF1A	2907	0.7160741686820984	0.37315533	No	
row_39	RIPK2	3091	0.6731008887290955	0.36684817	No	
row_40	PIK3R5	3169	0.6545045375823975	0.36582947	No	
row_41	PSEN1	3220	0.6425478458404541	0.36612603	No	
row_42	SCN1B	3223	0.6418434977531433	0.36885136	No	
row_43	GP1BA	3595	0.569561779499054	0.35256344	No	
row_44	LPAR1	3606	0.5674751400947571	0.35455593	No	
row_45	CD70	3640	0.5614008903503418	0.35535643	No	
row_46	SLC11A2	3709	0.5494388937950134	0.354331	No	
row_47	ITGB8	3777	0.539513885974884	0.35331252	No	
row_48	RHOG	3874	0.5228850841522217	0.35075155	No	
row_49	EMP3	4031	0.49772462248802185	0.34503996	No	
row_50	ITGA5	4196	0.47139108180999756	0.3388071	No	
row_51	IRAK2	4505	0.43023693561553955	0.32509744	No	
row_52	BEST1	4700	0.4051673412322998	0.31705302	No	
row_53	IL1A	5142	0.35685619711875916	0.2962819	No	
row_54	MEFV	5234	0.346277117729187	0.2931965	No	
row_55	P2RX4	5246	0.34497660398483276	0.29415846	No	
row_56	CCL22	5311	0.33960235118865967	0.29241157	No	
row_57	CDKN1A	5505	0.3181418776512146	0.28403455	No	
row_58	PVR	5703	0.2962456941604614	0.27535844	No	
row_59	FZD5	5778	0.2889314889907837	0.27288178	No	
row_60	STAB1	5936	0.27328935265541077	0.26613113	No	
row_61	SCARF1	5939	0.27294182777404785	0.26723182	No	
row_62	RAF1	5972	0.2694656252861023	0.2667973	No	
row_63	RELA	6162	0.2520044445991516	0.2583317	No	
row_64	SELENOS	6233	0.24507907032966614	0.25586453	No	
row_65	LAMP3	6899	0.19211618602275848	0.22301924	No	
row_66	RASGRP1	7136	0.1734132617712021	0.21182631	No	
row_67	CD14	7336	0.1574070155620575	0.20243746	No	
row_68	MXD1	7803	0.12230611592531204	0.1793668	No	
row_69	PTGER2	7851	0.11863058805465698	0.17750806	No	
row_70	KIF1B	7996	0.10906238853931427	0.17069279	No	
row_71	ATP2C1	8917	0.048529788851737976	0.12429591	No	
row_72	IL4R	9628	0.0015691380249336362	0.088331595	No	
row_73	ACVR2A	10720	-0.06704740971326828	0.03335278	No	
row_74	IL10RA	10984	-0.08431798219680786	0.020399561	No	
row_75	SLC28A2	11149	-0.09542182087898254	0.012510949	No	
row_76	SLC31A1	11168	-0.09660736471414566	0.012024457	No	
row_77	KCNMB2	11503	-0.11699611693620682	-0.0043819724	No	
row_78	NFKB1	11554	-0.12059003114700317	-0.006384085	No	
row_79	GNAI3	11643	-0.12545597553253174	-0.0102899885	No	
row_80	P2RY2	12037	-0.15333718061447144	-0.029525531	No	
row_81	GPC3	12065	-0.15489551424980164	-0.0302113	No	
row_82	BTG2	12169	-0.16241005063056946	-0.034714416	No	
row_83	ABI1	12434	-0.17944642901420593	-0.047299355	No	
row_84	CD55	12724	-0.19920532405376434	-0.061063875	No	
