NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LPAR6	1637	1.2405979633331299	-0.07408716	No	
row_1	RIPK2	3091	0.6731008887290955	-0.14282502	No	
row_2	TRAFD1	3285	0.6290892958641052	-0.14820057	No	
row_3	IL7	4716	0.4031560719013214	-0.21765435	No	
row_4	TENT5A	6598	0.21612730622291565	-0.31119865	No	
row_5	LAMP3	6899	0.19211618602275848	-0.3250212	No	
row_6	ELF1	7169	0.17103050649166107	-0.33742398	No	
row_7	SLC25A28	7975	0.11031032353639603	-0.3773336	No	
row_8	LAP3	8325	0.08653203397989273	-0.39436674	No	
row_9	ISG20	8364	0.083908811211586	-0.3957031	No	
row_10	PSMA3	8497	0.07537168264389038	-0.40184876	No	
row_11	MVB12A	9191	0.030103640630841255	-0.436657	No	
row_12	IL4R	9628	0.0015691380249336362	-0.4586774	No	
row_13	CMTR1	9810	-0.010169499553740025	-0.4677527	No	
row_14	TMEM140	10169	-0.033174317330121994	-0.48561183	No	
row_15	TRIM26	10788	-0.07091423124074936	-0.51634634	No	
row_16	GMPR	11024	-0.08708269149065018	-0.52761513	No	
row_17	STAT2	11301	-0.10547854006290436	-0.54082775	No	
row_18	WARS1	11917	-0.144753560423851	-0.5708969	No	
row_19	C1S	12144	-0.16093042492866516	-0.58119714	No	
row_20	NUB1	12671	-0.19587573409080505	-0.6064135	No	
row_21	CSF1	13150	-0.22928430140018463	-0.6289718	No	
row_22	PROCR	13766	-0.27533960342407227	-0.6581325	No	
row_23	TDRD7	14061	-0.297908753156662	-0.6709158	No	
row_24	GBP2	14140	-0.30411404371261597	-0.6727413	No	
row_25	LY6E	14311	-0.3174205422401428	-0.6791231	No	
row_26	TRIM25	14764	-0.3551259934902191	-0.6994921	No	
row_27	CASP1	14851	-0.36273178458213806	-0.7013141	No	
row_28	IRF1	15712	-0.45109477639198303	-0.7416319	No	
row_29	OGFR	16026	-0.48257410526275635	-0.7540905	No	
row_30	RNF31	16325	-0.5248675346374512	-0.76549685	No	
row_31	CNP	16509	-0.5479292869567871	-0.7709318	No	
row_32	PSME2	16723	-0.5786256790161133	-0.777669	No	
row_33	IRF2	16846	-0.6017232537269592	-0.7796473	No	
row_34	PSME1	16966	-0.6228502988815308	-0.781327	No	
row_35	TRIM5	17090	-0.6439555883407593	-0.783062	No	
row_36	CASP8	17243	-0.6757258176803589	-0.7860413	No	
row_37	ADAR	17573	-0.7556459903717041	-0.79740846	Yes	
row_38	TRIM21	17609	-0.7663000226020813	-0.7938456	Yes	
row_39	IFITM2	17714	-0.8012998104095459	-0.79352576	Yes	
row_40	NCOA7	17736	-0.8068526983261108	-0.7889733	Yes	
row_41	MOV10	17741	-0.807378888130188	-0.7835581	Yes	
row_42	IL15	17791	-0.8230303525924683	-0.7803079	Yes	
row_43	UBE2L6	17899	-0.861413300037384	-0.77972144	Yes	
row_44	TRIM14	18110	-0.9424450993537903	-0.78377587	Yes	
row_45	B2M	18327	-1.033193826675415	-0.78750205	Yes	
row_46	CD47	18368	-1.0670000314712524	-0.7820997	Yes	
row_47	PLSCR1	18398	-1.0888240337371826	-0.77598965	Yes	
row_48	HELZ2	18427	-1.1047426462173462	-0.76971835	Yes	
row_49	PNPT1	18451	-1.1178416013717651	-0.76310325	Yes	
row_50	SP110	18493	-1.1469597816467285	-0.75719506	Yes	
row_51	TXNIP	18508	-1.1541615724563599	-0.7498725	Yes	
row_52	GBP4	18585	-1.2190440893173218	-0.7452314	Yes	
row_53	NMI	18649	-1.266972541809082	-0.73959994	Yes	
row_54	IRF9	18728	-1.3454082012176514	-0.7341807	Yes	
row_55	IFI30	18809	-1.432021141052246	-0.7282599	Yes	
row_56	ISG15	18862	-1.5016076564788818	-0.7204402	Yes	
row_57	IFITM3	18931	-1.6017552614212036	-0.71273214	Yes	
row_58	OASL	18970	-1.6618297100067139	-0.70309025	Yes	
row_59	IFI35	18993	-1.693086862564087	-0.69242233	Yes	
row_60	TAP1	19003	-1.7148357629776	-0.68094623	Yes	
row_61	EIF2AK2	19009	-1.7310311794281006	-0.66915536	Yes	
row_62	MX1	19034	-1.7729465961456299	-0.6580329	Yes	
row_63	IRF7	19120	-1.92629075050354	-0.64892596	Yes	
row_64	UBA7	19123	-1.9371392726898193	-0.6355495	Yes	
row_65	USP18	19137	-1.9635705947875977	-0.62254494	Yes	
row_66	IFIH1	19155	-2.0083751678466797	-0.60943085	Yes	
row_67	IFIT2	19162	-2.023498058319092	-0.5956556	Yes	
row_68	PARP9	19202	-2.1611247062683105	-0.5825904	Yes	
row_69	RTP4	19242	-2.280101776123047	-0.56869745	Yes	
row_70	SELL	19253	-2.308396816253662	-0.5531422	Yes	
row_71	PARP14	19269	-2.3481931686401367	-0.5375627	Yes	
row_72	CMPK2	19272	-2.3568906784057617	-0.52126586	Yes	
row_73	CD74	19276	-2.3691964149475098	-0.50493395	Yes	
row_74	HLA-C	19318	-2.521385431289673	-0.4894633	Yes	
row_75	PARP12	19344	-2.6255762577056885	-0.47245926	Yes	
row_76	BATF2	19359	-2.698789119720459	-0.45439002	Yes	
row_77	HERC6	19371	-2.761399507522583	-0.4357336	Yes	
row_78	RSAD2	19402	-2.89747953414917	-0.41709045	Yes	
row_79	LGALS3BP	19429	-2.996652841567993	-0.3975552	Yes	
row_80	IFI27	19477	-3.2265334129333496	-0.37748173	Yes	
