NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR18	78	7.3032941818237305	0.025337383	No	
row_1	CSF2RB	166	5.347833633422852	0.04237461	No	
row_2	STAT4	364	3.6074576377868652	0.046850633	No	
row_3	BANK1	520	2.901326894760132	0.050624963	No	
row_4	ITGB7	522	2.8946104049682617	0.06218485	No	
row_5	ST3GAL5	592	2.6769587993621826	0.06942204	No	
row_6	SPPL2A	684	2.4628851413726807	0.07468448	No	
row_7	PDE4B	695	2.436333656311035	0.083949596	No	
row_8	LYSMD2	895	2.0390501022338867	0.08203309	No	
row_9	SOCS3	1167	1.6415016651153564	0.07486937	No	
row_10	UPP1	1389	1.4379037618637085	0.06942552	No	
row_11	NCOA3	1528	1.3204092979431152	0.06772103	No	
row_12	ICAM1	1543	1.3111845254898071	0.07227012	No	
row_13	VAMP5	1776	1.1572043895721436	0.06514232	No	
row_14	NFKBIA	1797	1.1444748640060425	0.06871833	No	
row_15	ARID5B	1916	1.0813637971878052	0.067069605	No	
row_16	GCH1	1957	1.059683084487915	0.0692909	No	
row_17	TNFAIP2	2497	0.8421111702919006	0.04532495	No	
row_18	ARL4A	2887	0.7234488129615784	0.028492618	No	
row_19	HIF1A	2907	0.7160741686820984	0.030400995	No	
row_20	ST8SIA4	2938	0.7100439071655273	0.03172715	No	
row_21	RIPK2	3091	0.6731008887290955	0.026715996	No	
row_22	TRAFD1	3285	0.6290892958641052	0.019448355	No	
row_23	HLA-DMA	3879	0.5217736959457397	-0.008541947	No	
row_24	P2RY14	4363	0.448758602142334	-0.031244766	No	
row_25	CFB	4691	0.4059886038303375	-0.046205178	No	
row_26	IL7	4716	0.4031560719013214	-0.045805603	No	
row_27	BTG1	4811	0.393967866897583	-0.048994023	No	
row_28	TOR1B	5240	0.34536731243133545	-0.06932137	No	
row_29	CASP7	5295	0.34126603603363037	-0.070691966	No	
row_30	CDKN1A	5505	0.3181418776512146	-0.08001854	No	
row_31	MVP	6477	0.22557903826236725	-0.12837306	No	
row_32	IL18BP	6753	0.20323078334331512	-0.14150876	No	
row_33	EIF4E3	6786	0.200456440448761	-0.14232808	No	
row_34	PTGS2	7130	0.17357511818408966	-0.15903242	No	
row_35	RBCK1	7220	0.16714340448379517	-0.16287701	No	
row_36	LATS2	7290	0.16094867885112762	-0.16573183	No	
row_37	SLC25A28	7975	0.11031032353639603	-0.19998904	No	
row_38	LAP3	8325	0.08653203397989273	-0.21734689	No	
row_39	ISG20	8364	0.083908811211586	-0.21893808	No	
row_40	PSMA3	8497	0.07537168264389038	-0.22533219	No	
row_41	IRF5	8634	0.06625808030366898	-0.23196578	No	
row_42	PTPN2	8969	0.04556961730122566	-0.24872698	No	
row_43	VAMP8	9179	0.03057093732059002	-0.25920704	No	
row_44	MYD88	9229	0.02822665125131607	-0.2615796	No	
row_45	IL4R	9628	0.0015691380249336362	-0.28176406	No	
row_46	CMTR1	9810	-0.010169499553740025	-0.2909055	No	
row_47	HLA-DRB1	10574	-0.05833769962191582	-0.32937887	No	
row_48	TRIM26	10788	-0.07091423124074936	-0.33990005	No	
row_49	PFKP	10832	-0.07397093623876572	-0.34178475	No	
row_50	IL10RA	10984	-0.08431798219680786	-0.34910685	No	
row_51	STAT2	11301	-0.10547854006290436	-0.3647146	No	
row_52	SOCS1	11305	-0.10566363483667374	-0.36444297	No	
row_53	RNF213	11529	-0.11928991973400116	-0.3752774	No	
row_54	NFKB1	11554	-0.12059003114700317	-0.37601122	No	
row_55	FCGR1A	11713	-0.13073469698429108	-0.38350224	No	
row_56	STAT3	11715	-0.13083238899707794	-0.3830282	No	
row_57	ZNFX1	11854	-0.14118990302085876	-0.38946268	No	
row_58	NOD1	11909	-0.14445696771144867	-0.3916227	No	
row_59	WARS1	11917	-0.144753560423851	-0.39139718	No	
row_60	RAPGEF6	12083	-0.15645839273929596	-0.39914015	No	
row_61	PIM1	12108	-0.15901462733745575	-0.39971986	No	
row_62	C1S	12144	-0.16093042492866516	-0.4008499	No	
row_63	PSMB2	12482	-0.18289195001125336	-0.4172125	No	
row_64	PELI1	12786	-0.2033311426639557	-0.43176827	No	
row_65	PTPN6	13112	-0.22694170475006104	-0.44734538	No	
row_66	TNFSF10	13377	-0.246548593044281	-0.4597493	No	
row_67	TNFAIP3	13389	-0.24711072444915771	-0.45931616	No	
row_68	PTPN1	13476	-0.2536822259426117	-0.46266142	No	
row_69	PNP	13754	-0.27442511916160583	-0.47561303	No	
row_70	CD274	14035	-0.2958396375179291	-0.48863092	No	
row_71	TDRD7	14061	-0.297908753156662	-0.48870423	No	
row_72	LY6E	14311	-0.3174205422401428	-0.50006294	No	
