NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL2A1	69	7.545579433441162	0.032607824	No	
row_1	ALOX12B	87	6.998546600341797	0.06523239	No	
row_2	GP2	101	6.3767991065979	0.09508473	No	
row_3	GDNF	144	5.671224594116211	0.1200921	No	
row_4	IRS4	192	5.071227550506592	0.1419754	No	
row_5	BMPR1B	277	4.136051177978516	0.15750994	No	
row_6	FGFR3	288	4.016918659210205	0.176223	No	
row_7	ARPP21	289	4.011619567871094	0.19541726	No	
row_8	SLC6A3	495	2.967135429382324	0.19922954	No	
row_9	CNTFR	559	2.7562129497528076	0.20922577	No	
row_10	HTR1B	595	2.6713550090789795	0.22023436	No	
row_11	PRODH	599	2.660123825073242	0.2328102	No	
row_12	TG	750	2.293276309967041	0.23618437	No	
row_13	UPK3B	846	2.1365315914154053	0.24159464	No	
row_14	KCND1	871	2.091930389404297	0.2503881	No	
row_15	EDN1	893	2.0449047088623047	0.2591085	No	
row_16	GPRC5C	905	2.026484966278076	0.26824734	No	
row_17	COPZ2	911	2.0123696327209473	0.27762258	No	
row_18	KCNN1	1018	1.8324799537658691	0.28102085	No	
row_19	PDE6B	1052	1.779160737991333	0.2878619	No	
row_20	IGFBP2	1063	1.7647186517715454	0.29579893	No	
row_21	EGF	1327	1.4888145923614502	0.2895999	No	
row_22	KRT15	1383	1.4403430223464966	0.29370537	No	
row_23	SLC30A3	1384	1.4401286840438843	0.3005959	No	
row_24	NR6A1	1465	1.3671342134475708	0.3030847	No	
row_25	CAMK1D	1832	1.126466155052185	0.2899344	No	
row_26	TGM1	2473	0.8496991395950317	0.26158008	No	
row_27	SLC25A23	2477	0.8480852842330933	0.2654859	No	
row_28	SIDT1	2489	0.8437435030937195	0.26896572	No	
row_29	DLK2	2527	0.8300840258598328	0.27106315	No	
row_30	SKIL	2647	0.7957982420921326	0.2688427	No	
row_31	CPEB3	2771	0.7533994317054749	0.26621678	No	
row_32	PTPRJ	3028	0.6858505606651306	0.2565304	No	
row_33	SLC16A7	3100	0.6709917187690735	0.25614432	No	
row_34	ATP4A	3123	0.6653811931610107	0.2582135	No	
row_35	SELENOP	3340	0.6178233623504639	0.2502279	No	
row_36	MSH5	3539	0.5783684253692627	0.2429653	No	
row_37	GP1BA	3595	0.569561779499054	0.24290438	No	
row_38	ITGB1BP2	3651	0.5592825412750244	0.24279429	No	
row_39	THRB	3658	0.558118999004364	0.24516077	No	
row_40	KRT13	3760	0.5420495271682739	0.24263804	No	
row_41	ATP6V1B1	3893	0.5184946060180664	0.23843227	No	
row_42	CLSTN3	4065	0.4909164011478424	0.23211896	No	
row_43	CAPN9	4122	0.4816082715988159	0.23158656	No	
row_44	KCNQ2	4143	0.4783932864665985	0.2328624	No	
row_45	CKM	4146	0.47807344794273376	0.23504852	No	
row_46	C5	4279	0.4596717059612274	0.2305613	No	
row_47	KRT4	4316	0.45498454570770264	0.23091462	No	
row_48	ADRA2C	4334	0.4520319104194641	0.2322163	No	
row_49	SLC29A3	4512	0.4288509786128998	0.2253021	No	
row_50	MTHFR	4536	0.4262735843658447	0.22617659	No	
row_51	MYO15A	4587	0.41926461458206177	0.22564983	No	
row_52	ENTPD7	4663	0.40864551067352295	0.22380586	No	
row_53	CD207	4773	0.39734047651290894	0.2201855	No	
row_54	ASB7	4796	0.39511266350746155	0.22096156	No	
row_55	TGFB2	4957	0.37670183181762695	0.21465899	No	
row_56	MEFV	5234	0.346277117729187	0.20233475	No	
row_57	CALML5	5686	0.29790687561035156	0.18091428	No	
row_58	NPHS1	6438	0.22817403078079224	0.14396337	No	
row_59	PKP1	6641	0.21284644305706024	0.13474926	No	
row_60	SPHK2	6670	0.21031776070594788	0.13433719	No	
row_61	ABCG4	6909	0.19157260656356812	0.123197675	No	
row_62	KMT2D	6951	0.18778005242347717	0.122019246	No	
row_63	LYPD3	7042	0.1813211888074875	0.11832777	No	
row_64	PRKN	7047	0.18109527230262756	0.11899162	No	
row_65	CYP39A1	7266	0.16335412859916687	0.10873021	No	
row_66	MAGIX	7309	0.15881387889385223	0.10736253	No	
row_67	HNF1A	7430	0.15048471093177795	0.10200383	No	
row_68	FGF22	7514	0.14420251548290253	0.098489344	No	
row_69	GAMT	7564	0.14091645181179047	0.09668144	No	
row_70	RYR1	7577	0.1397789716720581	0.09674236	No	
row_71	BARD1	7636	0.13536584377288818	0.09445199	No	
row_72	ZNF112	7702	0.1296931654214859	0.091779895	No	
row_73	STAG3	7817	0.12148354947566986	0.08658637	No	
row_74	SNN	7871	0.11768695712089539	0.08446469	No	
row_75	IDUA	8388	0.0822146087884903	0.05871957	No	
row_76	SHOX2	9126	0.03478129580616951	0.021552518	No	
row_77	TCF7L1	9638	9.336710209026933E-4	-0.0043282276	No	
row_78	GPR19	9903	-0.01672741211950779	-0.017621376	No	
row_79	COQ8A	10216	-0.036053773015737534	-0.03325354	No	
row_80	SPTBN2	10252	-0.0377681590616703	-0.03484579	No	
row_81	SNCB	10448	-0.050863832235336304	-0.044480346	No	
row_82	CACNG1	10498	-0.05379508435726166	-0.046705097	No	
row_83	MFSD6	10512	-0.054930511862039566	-0.0471008	No	
row_84	GPR3	10741	-0.06824555993080139	-0.058323834	No	
row_85	SLC38A3	10769	-0.06972010433673859	-0.05935796	No	
row_86	MAST3	11091	-0.09151320904493332	-0.07518067	No	
row_87	GTF3C5	12168	-0.1623338907957077	-0.12890981	No	
row_88	BTG2	12169	-0.16241005063056946	-0.12813273	No	
row_89	NR4A2	12222	-0.165181964635849	-0.12997651	No	
row_90	FGGY	12246	-0.16733667254447937	-0.13034095	No	
row_91	DCC	12260	-0.16804133355617523	-0.13019545	No	
row_92	PLAG1	12268	-0.16825689375400543	-0.12974499	No	
row_93	PNMT	13026	-0.21924738585948944	-0.16704255	No	
row_94	YPEL1	13124	-0.2275422066450119	-0.17086747	No	
row_95	RGS11	13804	-0.27945783734321594	-0.20392577	No	
row_96	SLC6A14	14732	-0.35232239961624146	-0.24919814	No	
row_97	CHRNG	15532	-0.4307856261730194	-0.2876111	No	
row_98	NUDT11	15677	-0.44659653306007385	-0.29276875	No	
row_99	RIBC2	15761	-0.45568299293518066	-0.29479292	No	
row_100	PDK2	16195	-0.5072627067565918	-0.31429988	No	
row_101	HTR1D	16229	-0.5127342343330383	-0.31351826	No	
row_102	DTNB	16231	-0.5132109522819519	-0.3111134	No	
row_103	MACROH2A2	16386	-0.5329590439796448	-0.31636438	No	
row_104	ZC2HC1C	16424	-0.5379536151885986	-0.3156647	No	
row_105	RYR2	16438	-0.5403839349746704	-0.3137377	No	
row_106	CDKAL1	16536	-0.5516840815544128	-0.3160117	No	
row_107	TAS2R4	16562	-0.5554826259613037	-0.3146203	No	
row_108	VPS50	16768	-0.5865716934204102	-0.3221982	No	
row_109	THNSL2	16794	-0.59136563539505	-0.32063514	No	
row_110	NRIP2	17692	-0.7933734655380249	-0.36227754	No	
row_111	EPHA5	17706	-0.798445463180542	-0.35911575	No	
row_112	EDN2	17843	-0.8415598273277283	-0.36197838	No	
row_113	P2RX6	17892	-0.8597241640090942	-0.36029637	No	
row_114	YBX2	18137	-0.9529171586036682	-0.36809704	No	
row_115	TLX1	18180	-0.9702900052070618	-0.36558208	No	
row_116	PDCD1	18249	-1.0024957656860352	-0.3642301	No	
row_117	HSD11B2	18721	-1.3363986015319824	-0.38169482	Yes	
row_118	CLDN8	18847	-1.4813586473464966	-0.38093904	Yes	
row_119	TENT5C	18994	-1.694464921951294	-0.38022736	Yes	
row_120	TENM2	19020	-1.7532490491867065	-0.37310505	Yes	
row_121	MX1	19034	-1.7729465961456299	-0.3652806	Yes	
row_122	LFNG	19066	-1.8298946619033813	-0.3580955	Yes	
