NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	97	6.496572017669678	0.035916764	Yes	
row_1	SNAP25	143	5.699389457702637	0.06945824	Yes	
row_2	CXCR4	171	5.2424397468566895	0.101039864	Yes	
row_3	ALDH1A2	177	5.207243919372559	0.13351516	Yes	
row_4	MALL	210	4.874123573303223	0.16252846	Yes	
row_5	ACE	270	4.177184104919434	0.18579306	Yes	
row_6	TSPAN1	343	3.7076404094696045	0.20544769	Yes	
row_7	INHBA	400	3.371035099029541	0.2237975	Yes	
row_8	CPE	680	2.471461296081543	0.22519243	Yes	
row_9	SNAP91	779	2.2199535369873047	0.23417902	Yes	
row_10	ETV1	825	2.1640594005584717	0.24550016	Yes	
row_11	MYCN	894	2.039461374282837	0.25487262	Yes	
row_12	ANGPTL4	937	1.9643410444259644	0.26509053	Yes	
row_13	TFPI	957	1.9314452409744263	0.27626723	Yes	
row_14	SPARCL1	984	1.8757550716400146	0.28673917	Yes	
row_15	KIF5C	1138	1.682027816772461	0.28955758	Yes	
row_16	SATB1	1180	1.628071904182434	0.29771265	Yes	
row_17	ETV5	1190	1.6216399669647217	0.30744892	Yes	
row_18	MMP9	1244	1.5688387155532837	0.31462356	Yes	
row_19	SCG3	1372	1.4487031698226929	0.31729305	Yes	
row_20	SPRY2	1492	1.3447033166885376	0.3197143	Yes	
row_21	HBEGF	1865	1.1076483726501465	0.30782446	Yes	
row_22	PLEK2	1942	1.0691252946853638	0.31069273	Yes	
row_23	ADAM8	1975	1.047542691230774	0.3156551	Yes	
row_24	ENG	2027	1.0187877416610718	0.31947392	Yes	
row_25	MMP10	2237	0.9319857358932495	0.31474024	Yes	
row_26	FCER1G	2248	0.9287266731262207	0.32007074	Yes	
row_27	MAP4K1	2318	0.9045611619949341	0.32225943	Yes	
row_28	TNNT2	2338	0.8943109512329102	0.3269175	Yes	
row_29	GUCY1A1	2345	0.8922678232192993	0.33222154	Yes	
row_30	TSPAN13	2545	0.8249766826629639	0.3273221	Yes	
row_31	EMP1	2577	0.816434383392334	0.33088258	Yes	
row_32	CAB39L	2579	0.8155577778816223	0.33595785	Yes	
row_33	MAP7	2716	0.7706172466278076	0.33390936	No	
row_34	TRAF1	2812	0.7419019937515259	0.33375812	No	
row_35	CCSER2	2897	0.7195843458175659	0.334024	No	
row_36	ALDH1A3	3083	0.6741605401039124	0.32888612	No	
row_37	SCN1B	3223	0.6418434977531433	0.3258762	No	
