NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR4	171	5.2424397468566895	0.03389663	No	
row_1	EGLN3	267	4.209904670715332	0.06326696	No	
row_2	SCD	861	2.1126155853271484	0.050302915	No	
row_3	SQLE	967	1.9107117652893066	0.060489293	No	
row_4	IDI1	1051	1.7791978120803833	0.070725	No	
row_5	FADS1	1087	1.733902096748352	0.08303119	No	
row_6	HMGCS1	1118	1.696549654006958	0.09528797	No	
row_7	ELOVL6	1272	1.5461317300796509	0.10007452	No	
row_8	LDLR	1281	1.5353376865386963	0.11213941	No	
row_9	ACACA	1285	1.5331324338912964	0.12444039	No	
row_10	SLC6A6	1519	1.3268603086471558	0.12338182	No	
row_11	ACLY	1575	1.290151596069336	0.1310675	No	
row_12	DHCR24	1593	1.2740384340286255	0.1405527	No	
row_13	TUBA4A	1623	1.2509475946426392	0.14924073	No	
row_14	PIK3R3	1830	1.1264946460723877	0.14792623	No	
row_15	IGFBP5	1838	1.1242125034332275	0.15670241	No	
row_16	SC5D	1922	1.0793448686599731	0.16125335	No	
row_17	STARD4	1935	1.0722990036010742	0.16935384	No	
row_18	INSIG1	1982	1.0431922674179077	0.1754907	No	
row_19	ACSL3	1995	1.038262963294983	0.18331474	No	
row_20	QDPR	2047	1.008862853050232	0.18891875	No	
row_21	TM7SF2	2182	0.9548585414886475	0.1898677	No	
row_22	DHCR7	2186	0.9530740976333618	0.19745696	No	
row_23	IDH1	2189	0.9509024024009705	0.20507938	No	
row_24	VLDLR	2307	0.9080818295478821	0.20651196	No	
row_25	NFIL3	2559	0.8211858868598938	0.20043148	No	
row_26	HMGCR	2572	0.8183944225311279	0.20646957	No	
row_27	PGM1	2635	0.8000339865684509	0.2098185	No	
row_28	HK2	2802	0.7468753457069397	0.20745243	No	
row_29	ME1	2828	0.7374754548072815	0.2121728	No	
row_30	G6PD	3082	0.6742346882820129	0.20479707	No	
row_31	RDH11	3171	0.6538860201835632	0.20563807	No	
row_32	FADS2	3266	0.6323062181472778	0.20599897	No	
row_33	NUPR1	3792	0.5357527732849121	0.18368076	No	
row_34	CYP51A1	3835	0.5293912291526794	0.1858473	No	
row_35	CFP	3951	0.5092182159423828	0.18414159	No	
row_36	SERP1	3962	0.507431149482727	0.18775536	No	
row_37	GBE1	3979	0.5051042437553406	0.19104543	No	
row_38	SKAP2	4190	0.47177720069885254	0.18420959	No	
row_39	EBP	4303	0.45692992210388184	0.18223153	No	
row_40	ATP6V1D	4685	0.40654686093330383	0.166179	No	
row_41	TMEM97	4765	0.3978639543056488	0.16539758	No	
row_42	DDIT3	5070	0.36353638768196106	0.1529073	No	
row_43	BHLHE40	5252	0.3445732593536377	0.14651138	No	
row_44	CDKN1A	5505	0.3181418776512146	0.13629396	No	
row_45	SRD5A1	5630	0.3031671345233917	0.13245733	No	
row_46	PITPNB	5834	0.2846560478210449	0.12445712	No	
row_47	ARPC5L	5922	0.27568137645721436	0.12227683	No	
row_48	MLLT11	5968	0.2698979377746582	0.12218316	No	
row_49	CYB5B	6116	0.2549728453159332	0.116786644	No	
row_50	ENO1	6177	0.2502419948577881	0.11577131	No	
row_51	FKBP2	6571	0.2179720103740692	0.09757742	No	
row_52	GSK3B	6681	0.20958170294761658	0.0937426	No	
row_53	COPS5	6744	0.20442929863929749	0.09225354	No	
row_54	SEC11A	6842	0.1966926008462906	0.08892363	No	
row_55	TXNRD1	6938	0.1893305778503418	0.08563552	No	
row_56	TRIB3	6972	0.1863766610622406	0.08547302	No	
row_57	XBP1	6992	0.18487952649593353	0.08600957	No	
row_58	SQSTM1	7163	0.17156994342803955	0.07876719	No	
row_59	HSPA5	7165	0.17131289839744568	0.08010793	No	
row_60	RIT1	7328	0.15769922733306885	0.07315928	No	
row_61	ALDOA	7539	0.14232084155082703	0.06364731	No	
row_62	CCT6A	7860	0.1180739775300026	0.048350368	No	
row_63	ERO1A	7997	0.10901914536952972	0.042327095	No	
row_64	GSR	7998	0.10890783369541168	0.043211736	No	
row_65	ADIPOR2	8106	0.10219322890043259	0.038606223	No	
row_66	TBK1	8173	0.09718145430088043	0.036042806	No	
row_67	PSMA3	8497	0.07537168264389038	0.020246603	No	
row_68	PSPH	8658	0.06458856165409088	0.012643228	No	
row_69	PRDX1	8701	0.0624840147793293	0.011017171	No	
row_70	PSAT1	8795	0.05640091374516487	0.006750896	No	
row_71	SDF2L1	8986	0.044486790895462036	-0.0025397646	No	
row_72	NIBAN1	9082	0.037364035844802856	-0.0070622726	No	
row_73	SHMT2	9100	0.03628915548324585	-0.007631104	No	
row_74	PSMC6	9212	0.02920360676944256	-0.013032699	No	
row_75	GLRX	9274	0.024773767217993736	-0.015930273	No	
row_76	CALR	9327	0.02029404416680336	-0.018407034	No	
row_77	GGA2	9594	0.003972061909735203	-0.031887595	No	
row_78	PPIA	10000	-0.021919872611761093	-0.052283585	No	
