NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK2	2802	0.7468753457069397	-0.10982819	No	
row_1	DUSP2	3371	0.6115970015525818	-0.11267737	No	
row_2	PPAN	4596	0.4176271855831146	-0.15679912	No	
row_3	SLC29A2	4667	0.40798747539520264	-0.1431182	No	
row_4	TMEM97	4765	0.3978639543056488	-0.13122629	No	
row_5	GNL3	6361	0.23356565833091736	-0.20182681	No	
row_6	SRM	7517	0.14403273165225983	-0.25401026	No	
row_7	DCTPP1	7764	0.12548336386680603	-0.26112506	No	
row_8	NIP7	9793	-0.009157367050647736	-0.3630338	No	
row_9	PLK1	10266	-0.03821060433983803	-0.38523012	No	
row_10	PRMT3	10926	-0.08012081682682037	-0.41509092	No	
row_11	SLC19A1	11013	-0.08650988340377808	-0.4157793	No	
row_12	PES1	11192	-0.09804689139127731	-0.42062154	No	
row_13	FARSA	11232	-0.10070081800222397	-0.41834047	No	
row_14	BYSL	11871	-0.1423669457435608	-0.444516	No	
row_15	PA2G4	11984	-0.15022782981395721	-0.44382778	No	
row_16	CBX3	12008	-0.15171591937541962	-0.43858746	No	
row_17	UNG	12667	-0.195694237947464	-0.4635221	No	
row_18	NDUFAF4	12713	-0.19867916405200958	-0.45741028	No	
row_19	PLK4	12847	-0.20697353780269623	-0.45538735	No	
row_20	MCM5	13273	-0.23823922872543335	-0.4667743	Yes	
row_21	DDX18	13428	-0.2502303421497345	-0.4639858	Yes	
row_22	HSPD1	13458	-0.2521520256996155	-0.45481104	Yes	
row_23	GRWD1	13815	-0.2805435359477997	-0.46093282	Yes	
row_24	WDR74	13860	-0.28337064385414124	-0.45119765	Yes	
row_25	IMP4	13958	-0.28994953632354736	-0.44385836	Yes	
row_26	MCM4	14111	-0.30177462100982666	-0.43879443	Yes	
row_27	TBRG4	14116	-0.30207163095474243	-0.42625266	Yes	
row_28	PPRC1	14246	-0.3122101128101349	-0.41958836	Yes	
row_29	LAS1L	14300	-0.3168448507785797	-0.408895	Yes	
row_30	NOC4L	14312	-0.31764528155326843	-0.39604932	Yes	
row_31	NOP16	14557	-0.33627596497535706	-0.3941705	Yes	
row_32	NOLC1	14605	-0.3400678038597107	-0.38219476	Yes	
row_33	CDK4	14655	-0.34509164094924927	-0.37010798	Yes	
row_34	MYC	14739	-0.35285574197769165	-0.35940865	Yes	
row_35	NPM1	15143	-0.3919512927532196	-0.36320123	Yes	
row_36	MRTO4	15244	-0.4013018012046814	-0.3513156	Yes	
row_37	RCL1	15257	-0.40276163816452026	-0.33492956	Yes	
row_38	RABEPK	15274	-0.403952419757843	-0.31869504	Yes	
row_39	RRP9	15416	-0.4181329011917114	-0.30816746	Yes	
row_40	RRP12	15549	-0.4325951039791107	-0.29657575	Yes	
row_41	NOP56	15562	-0.43391841650009155	-0.2788753	Yes	
row_42	HSPE1	15751	-0.4546475112438202	-0.269178	Yes	
row_43	MAP3K6	15998	-0.47932660579681396	-0.2613652	Yes	
row_44	AIMP2	16163	-0.5021789073944092	-0.2484521	Yes	
row_45	IPO4	16170	-0.5029425621032715	-0.22753705	Yes	
row_46	MPHOSPH10	16731	-0.5794280171394348	-0.23133983	Yes	
row_47	SORD	16740	-0.582622230052948	-0.20716421	Yes	
row_48	PUS1	16866	-0.6048943996429443	-0.18795064	Yes	
row_49	EXOSC5	17138	-0.6545210480690002	-0.17400791	Yes	
row_50	PHB	17261	-0.6796355843544006	-0.1514899	Yes	
row_51	WDR43	17284	-0.6846116185188293	-0.12371782	Yes	
row_52	NOP2	17676	-0.7868260145187378	-0.11024649	Yes	
row_53	TFB2M	17770	-0.81740403175354	-0.08045362	Yes	
row_54	SUPV3L1	18188	-0.9739072918891907	-0.060401343	Yes	
row_55	TCOF1	18215	-0.9850142598152161	-0.020157918	Yes	
row_56	MYBBP1A	18348	-1.0489773750305176	0.017437141	Yes	
row_57	UTP20	18802	-1.4196155071258545	0.05447667	Yes	
