NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	71	7.4735612869262695	0.033612188	Yes	
row_1	IGFBP3	97	6.496572017669678	0.06469266	Yes	
row_2	MEF2C	118	6.028907299041748	0.093698084	Yes	
row_3	PVALB	173	5.222122669219971	0.116961874	Yes	
row_4	ACHE	176	5.211377143859863	0.14280948	Yes	
row_5	SGCG	414	3.307252883911133	0.14725721	Yes	
row_6	VIPR1	420	3.283656120300293	0.16335395	Yes	
row_7	PPP1R3C	504	2.9412384033203125	0.17378971	Yes	
row_8	REEP1	560	2.755855083465576	0.18472248	Yes	
row_9	COL1A1	582	2.689390182495117	0.19704871	Yes	
row_10	HRC	674	2.4807488918304443	0.20478581	Yes	
row_11	CLU	734	2.337944984436035	0.21343482	Yes	
row_12	CASQ2	793	2.197720527648926	0.2214363	Yes	
row_13	SCHIP1	796	2.197268486022949	0.23227574	Yes	
row_14	MAPK12	821	2.1676831245422363	0.24185207	Yes	
row_15	TAGLN	850	2.132655143737793	0.25105113	Yes	
row_16	SCD	861	2.1126155853271484	0.2610633	Yes	
row_17	TNNC1	934	1.9669609069824219	0.26720574	Yes	
row_18	KIFC3	968	1.9073102474212646	0.27502912	Yes	
row_19	CRAT	1006	1.8446980714797974	0.2823379	Yes	
row_20	ITGB4	1104	1.717841386795044	0.28597194	Yes	
row_21	SORBS3	1125	1.6868714094161987	0.29335704	Yes	
row_22	SPEG	1221	1.5860422849655151	0.29643625	Yes	
row_23	PKIA	1225	1.582095742225647	0.30416182	Yes	
row_24	LPIN1	1259	1.5598572492599487	0.31025514	Yes	
row_25	MRAS	1466	1.366529941558838	0.3066117	Yes	
row_26	MB	1588	1.2802802324295044	0.30684975	Yes	
row_27	CTF1	1608	1.2655839920043945	0.31218785	Yes	
row_28	TPM2	1672	1.217847466468811	0.31505668	Yes	
row_29	PYGM	1772	1.1599940061569214	0.31581157	Yes	
row_30	HBEGF	1865	1.1076483726501465	0.31666088	Yes	
row_31	TCAP	1868	1.1047013998031616	0.3220601	Yes	
row_32	CKB	1976	1.0471336841583252	0.3218473	Yes	
row_33	ERBB3	2040	1.0129307508468628	0.32369578	Yes	
row_34	SMTN	2131	0.977161169052124	0.32399678	Yes	
row_35	SVIL	2134	0.9747575521469116	0.32874897	Yes	
row_36	SLC6A8	2279	0.9162923097610474	0.3260081	Yes	
row_37	TNNT2	2338	0.8943109512329102	0.32751954	Yes	
row_38	ATP6AP1	2343	0.8926485180854797	0.33176145	Yes	
row_39	COL6A2	2581	0.8147522211074829	0.32379824	No	
row_40	ATP2A1	2584	0.8133293390274048	0.32774663	No	
row_41	FGF2	2638	0.7994347810745239	0.32903922	No	
row_42	SH3BGR	2816	0.7406822443008423	0.3237503	No	
row_43	ACTN3	3242	0.6376364231109619	0.30537027	No	
row_44	FDPS	3612	0.565486490726471	0.28947118	No	
row_45	MYOM1	3616	0.5647153258323669	0.29213092	No	
row_46	PDLIM7	3725	0.5474172234535217	0.28937918	No	
row_47	DMPK	3805	0.5332461595535278	0.28802767	No	
row_48	SPDEF	3840	0.5288165211677551	0.2889364	No	
row_49	MYLK	3882	0.5209431648254395	0.2894509	No	
row_50	COL4A2	3898	0.517798125743866	0.29126844	No	
row_51	CKM	4146	0.47807344794273376	0.28112164	No	
row_52	MEF2D	4199	0.4710671007633209	0.2808299	No	
row_53	OCEL1	4325	0.4541667401790619	0.27675164	No	
row_54	STC2	4611	0.41575926542282104	0.2643673	No	
row_55	SIRT2	4633	0.4128507971763611	0.26535794	No	
row_56	MYH9	4646	0.4106407165527344	0.26679403	No	
row_57	ENO3	4894	0.38340523838996887	0.25617588	No	
row_58	BHLHE40	5252	0.3445732593536377	0.2397854	No	
row_59	TNNC2	5402	0.33035942912101746	0.23387343	No	
row_60	BAG1	5416	0.32859766483306885	0.23485029	No	
row_61	COX7A1	5497	0.31892943382263184	0.23238093	No	
row_62	CDKN1A	5505	0.3181418776512146	0.23361002	No	
row_63	PFKM	5638	0.30266472697257996	0.22842236	No	
row_64	MEF2A	5737	0.29297035932540894	0.22491081	No	
row_65	PSEN2	5773	0.28946632146835327	0.22457704	No	
row_66	ADAM12	5888	0.27955162525177	0.2201872	No	
row_67	ACSL1	5913	0.2769555151462555	0.22034901	No	
row_68	LDB3	5969	0.26979172229766846	0.21890292	No	
row_69	MYL6B	5988	0.2680325210094452	0.21932462	No	
row_70	SYNGR2	6117	0.25477883219718933	0.21410137	No	
row_71	DAPK2	6276	0.24158352613449097	0.2072909	No	
row_72	GPX3	6283	0.24066554009914398	0.20818496	No	
row_73	SPTAN1	6313	0.23818252980709076	0.20790012	No	
row_74	SH2B1	6388	0.23151043057441711	0.20529978	No	
row_75	NQO1	6567	0.21833324432373047	0.19735919	No	
row_76	TSC2	6624	0.21424731612205505	0.1955858	No	
row_77	CDH13	6873	0.1946343630552292	0.18397696	No	
row_78	PLXNB2	7209	0.16770270466804504	0.16782159	No	
row_79	RIT1	7328	0.15769922733306885	0.16262214	No	
row_80	FOXO4	7364	0.1547437310218811	0.16161753	No	
row_81	RYR1	7577	0.1397789716720581	0.1515614	No	
row_82	AK1	7618	0.13666965067386627	0.15021321	No	
row_83	EPHB3	7774	0.12471721321344376	0.14297298	No	
row_84	MYBPH	7956	0.11202359944581985	0.13435088	No	
row_85	DTNA	8163	0.09810615330934525	0.12439155	No	
row_86	MYH11	8768	0.05844799801707268	0.09404911	No	
row_87	GSN	8914	0.048659972846508026	0.086937346	No	
row_88	AKT2	8978	0.04492989555001259	0.08396585	No	
row_89	CACNA1H	9032	0.040381383150815964	0.08147889	No	
row_90	ITGA7	9096	0.03641502186655998	0.078465	No	
row_91	PTP4A3	9600	0.003538808086887002	0.05297164	No	
row_92	EIF4A2	9828	-0.011456304229795933	0.041515775	No	
row_93	SOD3	9848	-0.013113155029714108	0.040617432	No	
row_94	ACTA1	10103	-0.028503458946943283	0.027877077	No	
row_95	APP	10152	-0.03177846968173981	0.025600864	No	
row_96	TPM3	10403	-0.04802677780389786	0.01316059	No	
row_97	CACNG1	10498	-0.05379508435726166	0.008660993	No	
row_98	FLII	10607	-0.06053057685494423	0.0034848861	No	
row_99	TGFB1	10644	-0.06277582794427872	0.0019716306	No	
row_100	ITGB5	10645	-0.06283300369977951	0.0022844954	No	
row_101	IFRD1	10697	-0.06544598191976547	2.3770453E-5	No	
row_102	IGFBP7	10811	-0.07246125489473343	-0.005346518	No	
row_103	PDE4DIP	11157	-0.09584645181894302	-0.02236686	No	
row_104	AGRN	11352	-0.10860038548707962	-0.031665333	No	
row_105	MAPRE3	11640	-0.12534740567207336	-0.045597155	No	
row_106	KCNH2	11744	-0.13289593160152435	-0.050159343	No	
row_107	AEBP1	11822	-0.13806059956550598	-0.05337716	No	
row_108	HDAC5	12034	-0.15291912853717804	-0.06331715	No	
row_109	PC	12089	-0.15705835819244385	-0.065273866	No	
row_110	GAA	12137	-0.16058963537216187	-0.06685797	No	
row_111	MYO1C	12152	-0.16141892969608307	-0.066764265	No	
row_112	TNNI1	12257	-0.16796362400054932	-0.071202554	No	
row_113	CHRNA1	12900	-0.2104642540216446	-0.10271533	No	
row_114	AGL	13587	-0.2617516815662384	-0.1362043	No	
row_115	FKBP1B	13962	-0.2902042865753174	-0.15372768	No	
row_116	RB1	14185	-0.3077802062034607	-0.16345447	No	
row_117	GABARAPL2	14469	-0.3291211724281311	-0.17616877	No	
row_118	DENND2B	14908	-0.3677363991737366	-0.19655204	No	
row_119	PICK1	14976	-0.3739813566207886	-0.19808795	No	
row_120	NAV2	15107	-0.3881298005580902	-0.20274863	No	
row_121	MYOM2	15500	-0.42680007219314575	-0.22050478	No	
row_122	CHRNG	15532	-0.4307856261730194	-0.21993202	No	
row_123	GADD45B	15801	-0.45963242650032043	-0.2312357	No	
row_124	CHRNB1	16047	-0.48609310388565063	-0.24124111	No	
row_125	CFD	16148	-0.49930626153945923	-0.24382669	No	
row_126	CNN3	16289	-0.5212458968162537	-0.24833171	No	
row_127	TEAD4	16367	-0.5302425026893616	-0.24959673	No	
row_128	CKMT2	16550	-0.5537095069885254	-0.25607026	No	
row_129	TNNT1	16724	-0.5787003636360168	-0.2619629	No	
row_130	SORBS1	17007	-0.6298524141311646	-0.27312905	No	
row_131	SGCD	17132	-0.6532889604568481	-0.2761651	No	
row_132	MYOZ1	17233	-0.6737362146377563	-0.27788213	No	
row_133	KLF5	17305	-0.6908147931098938	-0.2780433	No	
row_134	ITGB1	17493	-0.7328159809112549	-0.2838786	No	
row_135	CAMK2B	17524	-0.7433080673217773	-0.28169897	No	
row_136	WWTR1	17526	-0.7438488602638245	-0.27804583	No	
row_137	PRNP	17585	-0.7599465250968933	-0.27720344	No	
row_138	ABLIM1	17891	-0.8593657612800598	-0.2883933	No	
row_139	ADCY9	18140	-0.9544753432273865	-0.29621863	No	
row_140	KCNH1	18376	-1.0722570419311523	-0.30279818	No	
row_141	SPHK1	18483	-1.1383159160614014	-0.30250624	No	
row_142	LARGE1	18537	-1.1800752878189087	-0.2993183	No	
row_143	TPD52L1	18572	-1.209884762763977	-0.29501835	No	
row_144	MYH3	18657	-1.2745660543441772	-0.29293218	No	
row_145	BIN1	18668	-1.2875959873199463	-0.287028	No	
row_146	SSPN	18916	-1.5884648561477661	-0.29164582	No	
row_147	BDKRB2	18934	-1.6102226972579956	-0.28449023	No	
row_148	APOD	18951	-1.6361316442489624	-0.27715492	No	
row_149	LAMA2	18960	-1.6454395055770874	-0.26936752	No	
row_150	NOTCH1	19117	-1.9257971048355103	-0.26769033	No	
row_151	GNAO1	19199	-2.1522862911224365	-0.26108158	No	
row_152	CD36	19207	-2.173076629638672	-0.2506162	No	
row_153	PPFIA4	19227	-2.2230138778686523	-0.24051075	No	
row_154	FABP3	19326	-2.5358614921569824	-0.23285425	No	
row_155	FST	19422	-2.976236581802368	-0.22285284	No	
row_156	ANKRD2	19430	-2.996713161468506	-0.20828632	No	
row_157	HSPB8	19464	-3.1563284397125244	-0.19424367	No	
row_158	TNNI2	19472	-3.1922740936279297	-0.17870338	No	
row_159	FHL1	19551	-3.660989761352539	-0.16443019	No	
row_160	NCAM1	19668	-4.76175594329834	-0.1466032	No	
row_161	COL6A3	19696	-5.119825839996338	-0.12247939	No	
row_162	DMD	19697	-5.124038219451904	-0.09696524	No	
row_163	EFS	19772	-6.1844072341918945	-0.069924295	No	
row_164	ACTN2	19816	-7.316730499267578	-0.035672914	No	
row_165	MYL3	19830	-7.826352119445801	0.0026375514	No	
