NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDP1	1085	1.736784815788269	-0.034263227	No	
row_1	IDH1	2189	0.9509024024009705	-0.07887885	No	
row_2	ALDH6A1	2296	0.9123673439025879	-0.073306985	No	
row_3	ATP6AP1	2343	0.8926485180854797	-0.06492376	No	
row_4	IDH3G	2634	0.8000889420509338	-0.07004798	No	
row_5	NNT	3815	0.5318788886070251	-0.12360762	No	
row_6	ATP6V1G1	3971	0.5066477060317993	-0.12539752	No	
row_7	DECR1	4417	0.44032472372055054	-0.14271669	No	
row_8	GRPEL1	4655	0.40971437096595764	-0.14983653	No	
row_9	ATP6V1D	4685	0.40654686093330383	-0.14642742	No	
row_10	PDK4	4914	0.3816191852092743	-0.15342744	No	
row_11	NDUFA4	4966	0.3754541575908661	-0.1515094	No	
row_12	IDH2	5001	0.37090224027633667	-0.1487824	No	
row_13	CASP7	5295	0.34126603603363037	-0.15956919	No	
row_14	TIMM9	5362	0.33453258872032166	-0.15890464	No	
row_15	ECH1	5370	0.33377379179000854	-0.15525186	No	
row_16	HCCS	5588	0.3095260560512543	-0.16255882	No	
row_17	GLUD1	5619	0.30462977290153503	-0.1604245	No	
row_18	NDUFV2	6081	0.2589702308177948	-0.18073447	No	
row_19	UQCRB	6181	0.2497108280658722	-0.18276507	No	
row_20	SLC25A5	6709	0.20681942999362946	-0.2070543	No	
row_21	NDUFB1	6776	0.2012508511543274	-0.2079904	No	
row_22	MRPS11	6795	0.199904665350914	-0.2065041	No	
row_23	ATP5MC2	6855	0.19573462009429932	-0.20715082	No	
row_24	ATP5ME	7247	0.16526968777179718	-0.22502989	No	
row_25	DLST	7270	0.16313636302947998	-0.22418837	No	
row_26	NDUFA1	7428	0.15058650076389313	-0.23035595	No	
row_27	ATP6V1H	7596	0.13865415751934052	-0.23717485	No	
row_28	NDUFC1	7784	0.12338065356016159	-0.24519323	No	
row_29	SURF1	7857	0.11841802299022675	-0.2474289	No	
row_30	RETSAT	7886	0.1170007586479187	-0.24744627	No	
row_31	ATP6V1C1	7918	0.11472518742084503	-0.24764337	No	
row_32	ACADSB	8014	0.1081039309501648	-0.25117138	No	
row_33	SLC25A12	8097	0.1028541550040245	-0.25410196	No	
row_34	MPC1	8124	0.10115101933479309	-0.2542081	No	
row_35	ACAT1	8166	0.09797012805938721	-0.25511444	No	
row_36	AIFM1	8370	0.08325862884521484	-0.26442748	No	
row_37	COX7A2	8415	0.08065365254878998	-0.2656942	No	
row_38	ATP6V1E1	8771	0.05808485671877861	-0.2830316	No	
row_39	ALAS1	8861	0.05217218026518822	-0.28692648	No	
row_40	ATP6V0B	9003	0.04301901161670685	-0.29357302	No	
row_41	ETFA	9104	0.036023396998643875	-0.2982207	No	
