NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT3	547	2.791503667831421	0.10953498	No	
row_1	VDR	1039	1.8014309406280518	0.17327182	No	
row_2	PAK3	1691	1.2073101997375488	0.19977775	No	
row_3	ABCC8	1874	1.101967453956604	0.2447261	No	
row_4	LMO2	2945	0.7085673213005066	0.22564341	No	
row_5	STXBP1	3469	0.5908054113388062	0.22832079	No	
row_6	SRP9	4063	0.4919482171535492	0.22261907	No	
row_7	ISL1	4207	0.46990767121315	0.23849365	No	
row_8	MAFB	5964	0.2703148126602173	0.16334862	No	
row_9	PKLR	6201	0.24812407791614532	0.16364965	No	
row_10	FOXO1	6731	0.20550641417503357	0.14710467	No	
row_11	SEC11A	6842	0.1966926008462906	0.15122455	No	
row_12	SRP14	7297	0.15981018543243408	0.13621207	No	
row_13	HNF1A	7430	0.15048471093177795	0.13695514	No	
row_14	SPCS1	8234	0.09270448982715607	0.1010744	No	
row_15	ELP4	12492	-0.18350942432880402	-0.10426476	No	
row_16	SRPRB	13848	-0.2827621102333069	-0.15860721	No	
row_17	PAX6	16249	-0.5160050392150879	-0.25411454	No	
row_18	DCX	17399	-0.7122292518615723	-0.27699524	Yes	
row_19	SYT13	17945	-0.8768357634544373	-0.26138002	Yes	
row_20	NEUROG3	19197	-2.14663028717041	-0.21895991	Yes	
row_21	DPP4	19310	-2.5088794231414795	-0.10139998	Yes	
row_22	CHGA	19351	-2.6504483222961426	0.02673712	Yes	
