NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACE	270	4.177184104919434	0.042835526	No	
row_1	CRISP2	379	3.5068368911743164	0.0847943	No	
row_2	SNAP91	779	2.2199535369873047	0.09464614	No	
row_3	PACRG	926	1.9840457439422607	0.114094384	No	
row_4	LPIN1	1259	1.5598572492599487	0.118406944	No	
row_5	SCG3	1372	1.4487031698226929	0.13233498	No	
row_6	TLE4	1391	1.4358625411987305	0.15083997	No	
row_7	GAD1	1778	1.1560720205307007	0.14696378	No	
row_8	SEPTIN4	2081	1.0000473260879517	0.14522314	No	
row_9	GAPDHS	2116	0.9808740019798279	0.15676752	No	
row_10	ALOX15	2250	0.9286056756973267	0.16260186	No	
row_11	SPATA6	2376	0.8825324177742004	0.16821754	No	
row_12	SLC12A2	2425	0.8664617538452148	0.17750737	No	
row_13	MAP7	2716	0.7706172466278076	0.17327102	No	
row_14	TEKT2	2885	0.7236735820770264	0.17456558	No	
row_15	ARL4A	2887	0.7234488129615784	0.18429698	No	
row_16	OAZ3	3290	0.6281297206878662	0.17247373	No	
row_17	SLC2A5	3364	0.6135491728782654	0.17708041	No	
row_18	MLF1	3703	0.5503648519515991	0.16744012	No	
row_19	CAMK4	3820	0.5311697721481323	0.16875978	No	
row_20	HBZ	3988	0.5039790868759155	0.16713433	No	
row_21	ACRBP	4652	0.4101332426071167	0.139173	No	
row_22	IL12RB2	4715	0.40320271253585815	0.14149144	No	
row_23	NF2	4742	0.39993757009506226	0.14558512	No	
row_24	IFT88	5336	0.33675551414489746	0.12016931	No	
row_25	PCSK4	5775	0.28921613097190857	0.10194414	No	
row_26	PGK2	5829	0.2849336564540863	0.10311828	No	
row_27	TALDO1	6333	0.2358490526676178	0.08088653	No	
row_28	CSNK2A2	6549	0.22020559012889862	0.07299827	No	
row_29	HSPA2	6645	0.21229210495948792	0.071067594	No	
row_30	AGFG1	6770	0.2017391175031662	0.06752863	No	
row_31	HSPA4L	6804	0.1991034597158432	0.06855299	No	
row_32	PGS1	6925	0.19084952771663666	0.06506894	No	
row_33	PHKG2	7494	0.14633525907993317	0.03834186	No	
row_34	IP6K1	7839	0.11939718574285507	0.022571111	No	
row_35	CHFR	7874	0.11761164665222168	0.02244307	No	
row_36	MAST2	7976	0.11024679243564606	0.018829385	No	
row_37	CLGN	8514	0.07386239618062973	-0.0073109306	No	
row_38	ZC3H14	8899	0.04985352233052254	-0.026043529	No	
row_39	THEG	9022	0.0414922796189785	-0.031648163	No	
row_40	CHRM4	9466	0.01251161564141512	-0.053867426	No	
row_41	PEBP1	9931	-0.018143227323889732	-0.077071846	No	
row_42	STAM2	10446	-0.05081196874380112	-0.102361456	No	
row_43	PRKAR2A	10706	-0.06621484458446503	-0.114555545	No	
row_44	GMCL1	11141	-0.09488195925951004	-0.13520621	No	
row_45	KIF2C	12048	-0.1540202647447586	-0.1789113	No	
row_46	RPL39L	12175	-0.16264872252941132	-0.1830799	No	
row_47	DCC	12260	-0.16804133355617523	-0.18505298	No	
row_48	VDAC3	12608	-0.19169603288173676	-0.19999777	No	
row_49	NPHP1	12746	-0.20089440047740936	-0.20420516	No	
row_50	CCNB2	12867	-0.2081926316022873	-0.20745471	No	
row_51	CDKN3	13087	-0.22516508400440216	-0.21547808	No	
row_52	TSN	13147	-0.22907127439975739	-0.21536249	No	
row_53	MTOR	13365	-0.24556423723697662	-0.22300895	No	
row_54	COIL	13432	-0.2503688931465149	-0.22295916	No	
row_55	AURKA	14073	-0.2988277077674866	-0.2512631	No	
row_56	BRAF	14472	-0.329305499792099	-0.26692468	No	
row_57	IDE	14514	-0.3326592445373535	-0.26449877	No	
row_58	HSPA1L	14520	-0.33332720398902893	-0.26024446	No	
row_59	ELOVL3	14751	-0.3538917005062103	-0.2670832	No	
row_60	H1-6	14760	-0.3546222448348999	-0.26269254	No	
row_61	CDK1	14978	-0.3740015923976898	-0.26860237	No	
row_62	TTK	15134	-0.3906494677066803	-0.27115372	Yes	
row_63	PCSK1N	15182	-0.3955356776714325	-0.26818088	Yes	
row_64	DMC1	15350	-0.4115254282951355	-0.2710564	Yes	
row_65	GFI1	15424	-0.4188302159309387	-0.26908258	Yes	
row_66	NEFH	15464	-0.42238467931747437	-0.26534238	Yes	
row_67	STRBP	15550	-0.4326299726963043	-0.26378843	Yes	
row_68	RFC4	15779	-0.4576629400253296	-0.26912296	Yes	
row_69	SIRT1	15852	-0.4641108214855194	-0.26648635	Yes	
row_70	EZH2	15949	-0.47461625933647156	-0.2649206	Yes	
row_71	RAD17	16092	-0.4920980930328369	-0.26544324	Yes	
row_72	ACRV1	16110	-0.4947505295276642	-0.25961274	Yes	
row_73	NCAPH	16225	-0.5120724439620972	-0.2584502	Yes	
row_74	BUB1	16362	-0.5292773842811584	-0.2581669	Yes	
row_75	ZC2HC1C	16424	-0.5379536151885986	-0.25397593	Yes	
row_76	SCG5	16480	-0.5449300408363342	-0.24938738	Yes	
row_77	TOPBP1	16520	-0.5496933460235596	-0.24392582	Yes	
row_78	CCT6B	16672	-0.5731772780418396	-0.243807	Yes	
row_79	PARP2	16936	-0.6174001693725586	-0.24875052	Yes	
row_80	PHF7	17346	-0.7004294991493225	-0.25994995	Yes	
row_81	TULP2	17535	-0.7456861734390259	-0.25936854	Yes	
row_82	PSMG1	17653	-0.7808403968811035	-0.25472355	Yes	
row_83	DBF4	17726	-0.8042689561843872	-0.24748756	Yes	
row_84	CLPB	17903	-0.8633547425270081	-0.24470863	Yes	
row_85	GSG1	17999	-0.896048367023468	-0.23739405	Yes	
row_86	GSTM3	18021	-0.902849555015564	-0.22624767	Yes	
row_87	PIAS2	18026	-0.904410719871521	-0.21422105	Yes	
row_88	ADAM2	18043	-0.9113146662712097	-0.20270751	Yes	
row_89	MLLT10	18089	-0.9347470998764038	-0.19234277	Yes	
row_90	YBX2	18137	-0.9529171586036682	-0.18183342	Yes	
row_91	CNIH2	18156	-0.9614937901496887	-0.16974248	Yes	
row_92	NEK2	18325	-1.032609224319458	-0.16427071	Yes	
row_93	CCNA1	19527	-3.4801645278930664	-0.17791088	Yes	
row_94	HOXB1	19762	-6.012627601623535	-0.10843844	Yes	
