NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA1	41	9.03364372253418	0.052996922	No	
row_1	NR4A3	221	4.630029201507568	0.0721444	No	
row_2	SLC2A6	374	3.549347400665283	0.08607289	No	
row_3	INHBA	400	3.371035099029541	0.105357334	No	
row_4	PTGER4	604	2.649569272994995	0.111212604	No	
row_5	PDE4B	695	2.436333656311035	0.12150064	No	
row_6	DRAM1	767	2.2503437995910645	0.13161865	No	
row_7	EDN1	893	2.0449047088623047	0.13774455	No	
row_8	MARCKS	1072	1.7550357580184937	0.13941428	No	
row_9	STAT5A	1127	1.6862549781799316	0.14695558	No	
row_10	SOCS3	1167	1.6415016651153564	0.15498501	No	
row_11	ATP2B1	1235	1.5742539167404175	0.16118392	No	
row_12	DUSP4	1271	1.5465177297592163	0.16883719	No	
row_13	LDLR	1281	1.5353376865386963	0.17774135	No	
row_14	PHLDA2	1386	1.4389711618423462	0.18123832	No	
row_15	ICAM1	1543	1.3111845254898071	0.18131809	No	
row_16	CCN1	1586	1.280892252922058	0.18699674	No	
row_17	BTG3	1784	1.152077555656433	0.18402639	No	
row_18	NFKBIA	1797	1.1444748640060425	0.19039531	No	
row_19	PTPRE	1852	1.1148570775985718	0.19445287	No	
row_20	HBEGF	1865	1.1076483726501465	0.20059726	No	
row_21	GCH1	1957	1.059683084487915	0.2024413	No	
row_22	IRS2	1960	1.0571457147598267	0.20878512	No	
row_23	LITAF	1970	1.050557017326355	0.21473363	No	
row_24	EFNA1	2101	0.985784649848938	0.21414854	No	
row_25	KLF6	2114	0.9817771315574646	0.21952552	No	
row_26	TNFSF9	2188	0.951069176197052	0.22162054	No	
row_27	SAT1	2337	0.8945584893226624	0.21956605	No	
row_28	TNFAIP2	2497	0.8421111702919006	0.21663374	No	
row_29	NFIL3	2559	0.8211858868598938	0.21854569	No	
row_30	PFKFB3	2563	0.8209231495857239	0.22339855	No	
row_31	IER5	2611	0.8066731691360474	0.22593227	No	
row_32	CD44	2646	0.796790599822998	0.22906528	No	
row_33	IER3	2681	0.7825939655303955	0.23211174	No	
row_34	BCL3	2711	0.7733102440834045	0.23535524	No	
row_35	RCAN1	2766	0.7552116513252258	0.2372201	No	
row_36	TRAF1	2812	0.7419019937515259	0.23946038	No	
row_37	NR4A1	2871	0.7274377942085266	0.24095295	No	
row_38	TANK	2951	0.7067092657089233	0.24125376	No	
row_39	MAFF	3014	0.6892635822296143	0.24231066	No	
row_40	NFKB2	3089	0.6735838055610657	0.24266317	No	
row_41	RIPK2	3091	0.6731008887290955	0.24671625	No	
row_42	DUSP2	3371	0.6115970015525818	0.23629054	No	
row_43	TRIP10	3507	0.5838250517845154	0.23300108	No	
row_44	RHOB	3667	0.5562412738800049	0.22832586	No	
row_45	GADD45A	3982	0.5046204924583435	0.21547227	No	
row_46	GFPT2	4095	0.48553648591041565	0.21275042	No	
row_47	BIRC2	4171	0.47302529215812683	0.21182941	No	
row_48	ZC3H12A	4181	0.4724429249763489	0.21425323	No	
row_49	JUNB	4189	0.4719657003879547	0.21677563	No	
row_50	NFAT5	4430	0.4391075670719147	0.20727687	No	
row_51	NFKBIE	4517	0.42850440740585327	0.20552635	No	
row_52	DNAJB4	4532	0.4267110824584961	0.2074177	No	
row_53	PHLDA1	4696	0.4052514433860779	0.20161897	No	
row_54	BTG1	4811	0.393967866897583	0.19823736	No	
row_55	CLCF1	4857	0.3883019983768463	0.1983218	No	
row_56	IL1A	5142	0.35685619711875916	0.1860893	No	
row_57	PNRC1	5149	0.3562142848968506	0.1879567	No	
row_58	BHLHE40	5252	0.3445732593536377	0.18488275	No	
row_59	NINJ1	5312	0.33956676721572876	0.1839598	No	
row_60	SLC16A6	5346	0.3356681764125824	0.18433213	No	
row_61	MCL1	5496	0.3189483880996704	0.17871748	No	
row_62	CDKN1A	5505	0.3181418776512146	0.18025129	No	
row_63	PANX1	5688	0.29787155985832214	0.17283395	No	
row_64	ID2	5811	0.2860495150089264	0.16838853	No	
row_65	MAP3K8	6080	0.25922074913978577	0.15637249	No	
row_66	RELA	6162	0.2520044445991516	0.15379955	No	
row_67	TNIP2	6402	0.23014113306999207	0.14307748	No	
row_68	IL6ST	6540	0.22098131477832794	0.13747434	No	
row_69	BCL6	6592	0.2165236473083496	0.13620707	No	
row_70	VEGFA	6620	0.21442165970802307	0.13614458	No	
row_71	EHD1	6918	0.1910618543624878	0.122241735	No	
row_72	FOSL1	7053	0.1802353858947754	0.11654237	No	
row_73	PTGS2	7130	0.17357511818408966	0.11374492	No	
row_74	SQSTM1	7163	0.17156994342803955	0.1131675	No	
row_75	BIRC3	7433	0.15025606751441956	0.1004364	No	
row_76	SMAD3	7503	0.1454421728849411	0.097822554	No	
row_77	PMEPA1	7750	0.1265319138765335	0.08611366	No	
row_78	HES1	7760	0.12557213008403778	0.08642266	No	
row_79	MXD1	7803	0.12230611592531204	0.08503756	No	
row_80	SNN	7871	0.11768695712089539	0.08235596	No	
row_81	ZFP36	7922	0.11469069123268127	0.08051856	No	
row_82	PDLIM5	8123	0.10119544714689255	0.070988916	No	
row_83	SERPINB8	8242	0.09228715300559998	0.06556508	No	
row_84	EGR2	8317	0.0870826467871666	0.06234176	No	
row_85	ACKR3	8349	0.08500746637582779	0.061287314	No	
row_86	JUN	8359	0.08427800983190536	0.06134455	No	
row_87	ATF3	8423	0.08043063431978226	0.05863874	No	
row_88	IER2	8808	0.05532955378293991	0.03949457	No	
row_89	EIF1	8846	0.05309123545885086	0.037941135	No	
row_90	FUT4	9037	0.04000772163271904	0.028545769	No	
row_91	KLF2	9273	0.024793650954961777	0.016774656	No	
row_92	ZBTB10	9345	0.019382279366254807	0.013290779	No	
row_93	EGR1	9681	-0.002187090925872326	-0.0036914723	No	
row_94	CEBPD	10367	-0.04549029469490051	-0.038166292	No	
row_95	MAP2K3	10464	-0.051927678287029266	-0.042720072	No	
row_96	DUSP1	10581	-0.05871321260929108	-0.048247144	No	
row_97	TSC22D1	10626	-0.06153387948870659	-0.050104234	No	
row_98	PLK2	10672	-0.06387148052453995	-0.051997807	No	
row_99	TGIF1	10918	-0.07972989976406097	-0.063941315	No	
row_100	IL23A	10919	-0.07974894344806671	-0.06345509	No	
row_101	CFLAR	11057	-0.08925656229257584	-0.06986134	No	
row_102	FJX1	11228	-0.10046588629484177	-0.07787344	No	
row_103	RELB	11343	-0.10796437412500381	-0.08299877	No	
