NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPYL2	2106	0.9837566018104553	-0.0830643	No	
row_1	WIPI1	2994	0.6935741901397705	-0.111392885	No	
row_2	DKC1	3299	0.6272342801094055	-0.11181668	No	
row_3	DCP2	3775	0.5395970344543457	-0.1229781	No	
row_4	SERP1	3962	0.507431149482727	-0.120289624	No	
row_5	FKBP14	4439	0.43787261843681335	-0.13392644	No	
row_6	STC2	4611	0.41575926542282104	-0.13266452	No	
row_7	YWHAZ	4911	0.3820468485355377	-0.13868	No	
row_8	EXOSC10	4949	0.37795495986938477	-0.13154195	No	
row_9	EIF2AK3	5298	0.3410584628582001	-0.14101274	No	
row_10	PAIP1	5865	0.2819054126739502	-0.16291925	No	
row_11	DNAJA4	6237	0.24479468166828156	-0.17584796	No	
row_12	NOP14	6414	0.22947832942008972	-0.17927933	No	
row_13	SHC1	6581	0.21733497083187103	-0.18249439	No	
row_14	VEGFA	6620	0.21442165970802307	-0.17930509	No	
row_15	LSM1	6779	0.2008877843618393	-0.1825076	No	
row_16	EEF2	6833	0.19735224545001984	-0.18048383	No	
row_17	SEC11A	6842	0.1966926008462906	-0.17619985	No	
row_18	XBP1	6992	0.18487952649593353	-0.17932877	No	
row_19	HSPA5	7165	0.17131289839744568	-0.18394433	No	
row_20	HERPUD1	7283	0.16179388761520386	-0.18600507	No	
row_21	XPOT	7441	0.1497245877981186	-0.1903766	No	
row_22	EIF2S1	7584	0.13920320570468903	-0.19424026	No	
row_23	POP4	7730	0.12777717411518097	-0.198528	No	
row_24	HYOU1	7899	0.11603248119354248	-0.204259	No	
row_25	ERO1A	7997	0.10901914536952972	-0.20656621	No	
row_26	SEC31A	8099	0.10257626324892044	-0.20922932	No	
row_27	SPCS1	8234	0.09270448982715607	-0.21379676	No	
row_28	DCP1A	8327	0.0865122377872467	-0.21638761	No	
row_29	IMP3	8375	0.0830446109175682	-0.21678516	No	
row_30	ATF3	8423	0.08043063431978226	-0.21724503	No	
row_31	NFYA	8535	0.07229437679052353	-0.22113574	No	
row_32	FUS	8562	0.0704156905412674	-0.2207722	No	
row_33	PSAT1	8795	0.05640091374516487	-0.23116153	No	
row_34	EIF4G1	8888	0.050701238214969635	-0.23460601	No	
row_35	EDC4	9249	0.026728104799985886	-0.25217646	No	
row_36	CALR	9327	0.02029404416680336	-0.2555871	No	
row_37	TATDN2	9561	0.006123512051999569	-0.26722547	No	
row_38	EIF4A2	9828	-0.011456304229795933	-0.28040576	No	
row_39	NABP1	9846	-0.012989331036806107	-0.28095594	No	
row_40	KDELR3	9894	-0.01628889888525009	-0.28294474	No	
row_41	ERN1	10022	-0.023494739085435867	-0.28880793	No	
row_42	BANF1	10067	-0.026590760797262192	-0.29039943	No	
row_43	CNOT2	10297	-0.04064348340034485	-0.30101267	No	
row_44	ATF4	10413	-0.048650141805410385	-0.30566928	No	
row_45	EDEM1	10695	-0.06532400846481323	-0.31832415	No	
row_46	EXOSC9	10905	-0.07908912003040314	-0.3270094	No	
row_47	DNAJC3	10999	-0.08526097238063812	-0.32968065	No	
row_48	DDIT4	11175	-0.0968906581401825	-0.33622196	No	
row_49	CEBPG	11222	-0.100132055580616	-0.3361616	No	
row_50	EIF4E	11367	-0.10947499424219131	-0.34083506	No	
row_51	ATP6V0D1	11468	-0.1149897426366806	-0.3431517	No	
row_52	EXOSC4	11576	-0.1218034103512764	-0.34565994	No	
row_53	H2AX	11823	-0.13816915452480316	-0.3548082	No	
row_54	KHSRP	11878	-0.1428162008523941	-0.354135	No	
row_55	ALDH18A1	11979	-0.1496390998363495	-0.35562572	No	
row_56	ATF6	12253	-0.16769902408123016	-0.36543563	No	
row_57	SRPRA	12446	-0.17994198203086853	-0.37085703	No	
row_58	CNOT6	12963	-0.21438011527061462	-0.39184433	No	
row_59	GOSR2	13314	-0.2411433458328247	-0.40379795	No	
row_60	EIF4EBP1	13385	-0.24700212478637695	-0.40145048	No	
row_61	EIF4A3	13589	-0.262042760848999	-0.40547118	Yes	
row_62	ZBTB17	13615	-0.2641628682613373	-0.4004387	Yes	
row_63	WFS1	13709	-0.27227985858917236	-0.39865196	Yes	
row_64	SRPRB	13848	-0.2827621102333069	-0.39889127	Yes	
row_65	LSM4	13913	-0.28718000650405884	-0.39528263	Yes	
row_66	ARFGAP1	13985	-0.2916620373725891	-0.39192116	Yes	
row_67	IARS1	14137	-0.30378231406211853	-0.3923169	Yes	
row_68	PARN	14240	-0.3116890490055084	-0.39004594	Yes	
row_69	CKS1B	14245	-0.31217339634895325	-0.38280693	Yes	
row_70	SLC30A5	14377	-0.3234851360321045	-0.3817215	Yes	
row_71	DCTN1	14490	-0.33090922236442566	-0.37949812	Yes	
row_72	TTC37	14523	-0.3333844840526581	-0.37316966	Yes	
row_73	KIF5B	14526	-0.33354470133781433	-0.36532003	Yes	
row_74	NOLC1	14605	-0.3400678038597107	-0.36115876	Yes	
row_75	CEBPB	14630	-0.3430909812450409	-0.35419428	Yes	
row_76	EXOSC2	14687	-0.34816235303878784	-0.34872738	Yes	
row_77	SSR1	14758	-0.3543592095375061	-0.3438208	Yes	
row_78	RPS14	14767	-0.35544726252555847	-0.33575258	Yes	
row_79	NFYB	14885	-0.36608773469924927	-0.33294356	Yes	
row_80	NPM1	15143	-0.3919512927532196	-0.33659872	Yes	
row_81	TARS1	15175	-0.39495354890823364	-0.328752	Yes	
row_82	DNAJB9	15401	-0.4161892831325531	-0.33021098	Yes	
row_83	RRP9	15416	-0.4181329011917114	-0.32095197	Yes	
row_84	NOP56	15562	-0.43391841650009155	-0.31794217	Yes	
row_85	SDAD1	15603	-0.43821752071380615	-0.30951938	Yes	
row_86	HSPA9	15635	-0.4421660602092743	-0.30054727	Yes	
row_87	ASNS	15874	-0.4663068652153015	-0.30146906	Yes	
row_88	EXOSC1	15906	-0.47040003538131714	-0.29182395	Yes	
row_89	EXOC2	16263	-0.5175700783729553	-0.2974918	Yes	
row_90	TUBB2A	16280	-0.5206230282783508	-0.28589085	Yes	
row_91	CNOT4	16506	-0.5476850271224976	-0.28421533	Yes	
row_92	EIF4A1	16601	-0.5614851117134094	-0.27558532	Yes	
row_93	YIF1A	16630	-0.566583514213562	-0.2634957	Yes	
row_94	CXXC1	16695	-0.5756049156188965	-0.25301182	Yes	
row_95	DDX10	16722	-0.5786020755767822	-0.24053459	Yes	
row_96	PDIA5	16764	-0.5854855179786682	-0.22865193	Yes	
row_97	EXOSC5	17138	-0.6545210480690002	-0.23191507	Yes	
row_98	HSP90B1	17190	-0.6665128469467163	-0.2186067	Yes	
row_99	CHAC1	17429	-0.7183606028556824	-0.21352024	Yes	
row_100	SLC1A4	17431	-0.7193173170089722	-0.19642434	Yes	
row_101	GEMIN4	17525	-0.7435241341590881	-0.18340446	Yes	
row_102	PREB	17559	-0.7517587542533875	-0.1671537	Yes	
row_103	SPCS3	17643	-0.7778009176254272	-0.15281099	Yes	
row_104	MTREX	17684	-0.7890340089797974	-0.13602573	Yes	
row_105	BAG3	17746	-0.8086978197097778	-0.119833834	Yes	
row_106	PDIA6	18033	-0.9078697562217712	-0.1126577	Yes	
row_107	MTHFD2	18095	-0.935904860496521	-0.09343356	Yes	
row_108	NHP2	18173	-0.9676260948181152	-0.0742625	Yes	
row_109	SLC7A5	19322	-2.5303990840911865	-0.07200688	Yes	
row_110	IFIT1	19618	-4.206844329833984	0.01335224	Yes	
