NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	71	7.4735612869262695	0.054265928	Yes	
row_1	PMP22	103	6.3376240730285645	0.101762734	Yes	
row_2	DAB2	113	6.106998920440674	0.148588	Yes	
row_3	AMPH	146	5.617364883422852	0.19045785	Yes	
row_4	AKT3	547	2.791503667831421	0.19181575	Yes	
row_5	COL1A1	582	2.689390182495117	0.21091567	Yes	
row_6	EFEMP1	617	2.607750177383423	0.22938353	Yes	
row_7	KCNMA1	665	2.5042271614074707	0.24639162	Yes	
row_8	SNAI2	676	2.476248025894165	0.26505664	Yes	
row_9	SCHIP1	796	2.197268486022949	0.27604246	Yes	
row_10	MMP16	867	2.0974693298339844	0.2887368	Yes	
row_11	FYN	880	2.0696940422058105	0.30415297	Yes	
row_12	ICA1	932	1.9724172353744507	0.31684119	Yes	
row_13	TFPI	957	1.9314452409744263	0.33057937	Yes	
row_14	GCNT1	977	1.8931130170822144	0.34427395	Yes	
row_15	NR3C1	1027	1.8155549764633179	0.35584903	Yes	
row_16	INPP4B	1067	1.759203314781189	0.36749417	Yes	
row_17	MAP1B	1079	1.7456426620483398	0.38045213	Yes	
row_18	ATP2B1	1235	1.5742539167404175	0.38479164	Yes	
row_19	LDLR	1281	1.5353376865386963	0.3943998	Yes	
row_20	MAGI2	1331	1.4834591150283813	0.40340373	Yes	
row_21	ANXA2	1447	1.3834136724472046	0.4082912	Yes	
row_22	CCN1	1586	1.280892252922058	0.41122028	Yes	
row_23	LAMC1	1768	1.1616628170013428	0.41104898	Yes	
row_24	PIK3R3	1830	1.1264946460723877	0.41668165	Yes	
row_25	IGFBP5	1838	1.1242125034332275	0.42503095	Yes	
row_26	ERBB2	1885	1.0973654985427856	0.43119764	Yes	
row_27	MIOS	1963	1.0554869174957275	0.43547037	Yes	
row_28	INSIG1	1982	1.0431922674179077	0.44263545	Yes	
row_29	PRKCA	2214	0.9418721199035645	0.43823072	Yes	
row_30	ID1	2235	0.9320415258407593	0.44443396	Yes	
row_31	VLDLR	2307	0.9080818295478821	0.4478693	Yes	
row_32	PIAS3	2313	0.9064008593559265	0.45463356	Yes	
row_33	RUNX1	2339	0.894046425819397	0.46028948	Yes	
row_34	CAV1	2401	0.8721046447753906	0.46395263	Yes	
row_35	KIT	2501	0.8405192494392395	0.4654471	Yes	
row_36	CDC42BPA	2540	0.8259261846542358	0.46991736	Yes	
row_37	SLC22A18	2562	0.820932149887085	0.47520974	Yes	
row_38	FHL2	2765	0.7557459473609924	0.47083244	No	
row_39	SIPA1L1	2917	0.7141656279563904	0.46871564	No	
row_40	DYRK1A	2995	0.6933646202087402	0.4701848	No	
row_41	NFIB	3184	0.6504324674606323	0.46570104	No	
row_42	TOGARAM1	3267	0.631912887096405	0.46644124	No	
row_43	WDR37	3412	0.6024497151374817	0.46381396	No	
row_44	RND3	3473	0.5902111530303955	0.46534532	No	
row_45	LPAR1	3606	0.5674751400947571	0.4630549	No	
row_46	TGFBR2	3758	0.5422014594078064	0.4596067	No	
row_47	CITED2	3909	0.516208291053772	0.45600793	No	
row_48	MAP2K5	4500	0.43057963252067566	0.42946658	No	
row_49	NOTCH2	4931	0.3796321451663971	0.41063246	No	
row_50	BHLHE40	5252	0.3445732593536377	0.39709684	No	
row_51	BDNF	5329	0.33758509159088135	0.39586216	No	
row_52	MTA1	5384	0.33231601119041443	0.39570066	No	
row_53	NEK7	5470	0.3217892348766327	0.39388797	No	
row_54	PIK3CD	6067	0.2603910565376282	0.36572522	No	
row_55	PRDM2	6139	0.2536278963088989	0.3640937	No	
row_56	VAV2	6255	0.2430814504623413	0.36015257	No	
row_57	PTPRM	6349	0.23463156819343567	0.35726002	No	
row_58	NIPBL	6368	0.23324614763259888	0.3581544	No	
row_59	CDK13	6812	0.1987401396036148	0.33726156	No	
row_60	NR1D2	6882	0.19321784377098083	0.3352636	No	
row_61	PTPN21	7273	0.16293327510356903	0.31677723	No	
row_62	YTHDC1	7325	0.1578274518251419	0.31541672	No	
row_63	SMAD3	7503	0.1454421728849411	0.3075803	No	
row_64	SYNJ2	7561	0.1410612165927887	0.30578616	No	
row_65	FZD2	7681	0.13170583546161652	0.30078024	No	
row_66	ABCC1	7944	0.11310255527496338	0.28838938	No	
row_67	PDLIM5	8123	0.10119544714689255	0.28015974	No	
row_68	ARHGEF9	8209	0.095054030418396	0.27659163	No	
row_69	ATRX	8299	0.08834356814622879	0.27276903	No	
row_70	ATP2C1	8917	0.048529788851737976	0.24190268	No	
row_71	MAPK14	8942	0.04705638438463211	0.24105175	No	
row_72	SFMBT1	9875	-0.01501069962978363	0.1939757	No	
row_73	PHF3	10023	-0.02359708957374096	0.18671498	No	
row_74	PTEN	10291	-0.04041668027639389	0.17350821	No	
row_75	PEX14	10411	-0.0485711395740509	0.16785863	No	
row_76	COL5A2	10429	-0.049501556903123856	0.16738108	No	
row_77	RASA2	10480	-0.05298032611608505	0.16525948	No	
row_78	SCAF8	10529	-0.05564224720001221	0.16325976	No	
row_79	DUSP1	10581	-0.05871321260929108	0.16113192	No	
row_80	ACVR2A	10720	-0.06704740971326828	0.15466331	No	
row_81	ATRN	10730	-0.06781788915395737	0.15473264	No	
row_82	APBB2	10989	-0.08479448407888412	0.14232518	No	
row_83	SPOP	11043	-0.08834131807088852	0.14032544	No	
row_84	LTBP1	11074	-0.08997206389904022	0.13950296	No	
row_85	NFKB1	11554	-0.12059003114700317	0.116182186	No	
row_86	BMPR1A	11609	-0.12366902083158493	0.11440533	No	
row_87	ZMIZ1	12022	-0.1521691530942917	0.094721615	No	
row_88	GRK5	12070	-0.1553477644920349	0.09354447	No	
row_89	ADD3	12076	-0.15569007396697998	0.09449666	No	
row_90	MGLL	12098	-0.1576293259859085	0.094653696	No	
row_91	PLCB4	12106	-0.15892739593982697	0.095529675	No	
row_92	DLG1	12232	-0.16582395136356354	0.09048407	No	
row_93	ATP2B4	12487	-0.1831650286912918	0.07904074	No	
row_94	RBPMS	12609	-0.19212132692337036	0.074401274	No	
row_95	SCN8A	12624	-0.1932791918516159	0.07518876	No	
row_96	IGF1R	12966	-0.21455295383930206	0.059583154	No	
row_97	TJP1	13083	-0.22477376461029053	0.05544966	No	
row_98	TENT4A	13262	-0.23739948868751526	0.048274517	No	
row_99	BCKDHB	13352	-0.24373379349708557	0.04565497	No	
row_100	DMAC2L	13566	-0.2598864734172821	0.03688168	No	
row_101	MGMT	13702	-0.2718208432197571	0.032150354	No	
row_102	PRKAR2B	14272	-0.3145175576210022	0.005773796	No	
row_103	CDKN1B	14458	-0.3286420404911041	-0.0010493879	No	
row_104	ANXA4	14517	-0.3331667184829712	-0.0014068359	No	
row_105	MRPS31	14559	-0.3363496959209442	-8.788381E-4	No	
row_106	PDGFRB	14584	-0.3382457494735718	5.246422E-4	No	
row_107	RXRA	14632	-0.34332454204559326	8.0282707E-4	No	
