NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2B	13	11.176462173461914	0.087343715	Yes	
row_1	COL2A1	69	7.545579433441162	0.14396963	Yes	
row_2	LYN	228	4.527255535125732	0.17160957	Yes	
row_3	TACR3	361	3.611478805541992	0.19335641	Yes	
row_4	ONECUT1	433	3.243900775909424	0.21530041	Yes	
row_5	CDO1	663	2.509571075439453	0.22345504	Yes	
row_6	CYP1A1	720	2.3655362129211426	0.23924305	Yes	
row_7	MSX1	999	1.85810124874115	0.23978479	Yes	
row_8	IGFBP2	1063	1.7647186517715454	0.25048727	Yes	
row_9	AQP3	1075	1.7504565715789795	0.26371273	Yes	
row_10	RAB27A	1306	1.5102242231369019	0.26394793	Yes	
row_11	RRAD	1463	1.3709661960601807	0.26683685	Yes	
row_12	ICAM1	1543	1.3111845254898071	0.2731574	Yes	
row_13	PTPRD	1544	1.30989408493042	0.28347138	Yes	
row_14	PRKCD	1547	1.308434247970581	0.29367253	Yes	
row_15	TUBA4A	1623	1.2509475946426392	0.29972145	Yes	
row_16	BTG3	1784	1.152077555656433	0.30068415	Yes	
row_17	NFKBIA	1797	1.1444748640060425	0.3090875	Yes	
row_18	MAOA	1836	1.1254854202270508	0.31602368	Yes	
row_19	GCH1	1957	1.059683084487915	0.31828603	Yes	
row_20	SLC6A8	2279	0.9162923097610474	0.30923286	Yes	
row_21	EIF5	2374	0.8830636143684387	0.3114222	Yes	
row_22	DLG4	2487	0.8447073101997375	0.3123973	Yes	
row_23	LHX2	2516	0.8342880010604858	0.31754738	Yes	
row_24	CDKN1C	2587	0.8129161596298218	0.32040069	Yes	
row_25	CHKA	2725	0.7687994241714478	0.31951112	Yes	
row_26	MMP14	2809	0.7443921566009521	0.32116604	Yes	
row_27	NR4A1	2871	0.7274377942085266	0.32380238	Yes	
row_28	PPT1	2882	0.7253053188323975	0.32900658	Yes	
row_29	FURIN	2968	0.7018941044807434	0.33022553	Yes	
row_30	NPTXR	3415	0.6020241975784302	0.31236294	No	
row_31	RHOB	3667	0.5562412738800049	0.30402228	No	
row_32	TYRO3	3773	0.5401521921157837	0.30295408	No	
row_33	TMBIM6	4176	0.4727124571800232	0.2863032	No	
row_34	JUNB	4189	0.4719657003879547	0.28941125	No	
row_35	PLCL1	4200	0.47053372859954834	0.29260942	No	
row_36	PPP1R2	4569	0.4216102361679077	0.27727923	No	
row_37	GRPEL1	4655	0.40971437096595764	0.27619755	No	
row_38	TCHH	4689	0.4061344563961029	0.277723	No	
row_39	FGF18	4701	0.40516340732574463	0.28035578	No	
row_40	PRPF3	4722	0.4022287130355835	0.2825093	No	
row_41	BTG1	4811	0.393967866897583	0.28115162	No	
row_42	BAK1	4813	0.39375922083854675	0.28420135	No	
row_43	RET	5161	0.3545283079147339	0.26940724	No	
row_44	EPHX1	5202	0.34905120730400085	0.2701285	No	
row_45	CLCN2	5490	0.31965968012809753	0.25810054	No	
row_46	RXRB	5494	0.31919777393341064	0.26046187	No	
row_47	STARD3	5887	0.279673308134079	0.24279778	No	
row_48	E2F5	6033	0.26319465041160583	0.23752168	No	
row_49	CYB5B	6116	0.2549728453159332	0.23537362	No	
row_50	GPX3	6283	0.24066554009914398	0.22885588	No	
row_51	ENO2	6352	0.23433908820152283	0.22725487	No	
row_52	CCND3	6490	0.22424663603305817	0.22207752	No	
row_53	IL6ST	6540	0.22098131477832794	0.22133423	No	
row_54	HSPA2	6645	0.21229210495948792	0.21773519	No	
row_55	WIZ	6818	0.19838477671146393	0.21058044	No	
row_56	HMOX1	6977	0.18600016832351685	0.2040377	No	
row_57	CDC34	7102	0.17678457498550415	0.19914547	No	
row_58	RASGRP1	7136	0.1734132617712021	0.1988385	No	
row_59	SQSTM1	7163	0.17156994342803955	0.19887178	No	
row_60	CHRNA5	7214	0.16747163236141205	0.19765648	No	
row_61	CREG1	7254	0.1645069271326065	0.1969753	No	
row_62	BID	7255	0.16450679302215576	0.19827062	No	
row_63	NXF1	7457	0.14884057641029358	0.18925607	No	
row_64	ALDOA	7539	0.14232084155082703	0.1862717	No	
row_65	GRINA	7611	0.13732020556926727	0.18375473	No	
row_66	HNRNPU	7644	0.13484983146190643	0.18319479	No	
row_67	CLTB	7752	0.12644851207733154	0.17876777	No	
row_68	AP2S1	7767	0.12528693675994873	0.17904477	No	
row_69	ATP6V1C1	7918	0.11472518742084503	0.17234623	No	
row_70	POLR2H	8100	0.10255379229784012	0.16398081	No	
row_71	CYB5R1	8105	0.10232836753129959	0.16458383	No	
row_72	ATF3	8423	0.08043063431978226	0.14915186	No	
row_73	MARK2	8667	0.06428525596857071	0.137343	No	
row_74	ALAS1	8861	0.05217218026518822	0.12797274	No	
row_75	SHOX2	9126	0.03478129580616951	0.11486733	No	
row_76	ACAA1	9340	0.019543474540114403	0.10422656	No	
row_77	STK25	9403	0.016324587166309357	0.10121299	No	
row_78	DNAJB1	10038	-0.024688437581062317	0.06927684	No	
row_79	GLS	10247	-0.03760860115289688	0.059031714	No	
row_80	AGO2	10361	-0.045314207673072815	0.05366178	No	
row_81	CDK2	10722	-0.06730422377586365	0.03594725	No	
row_82	AMD1	10883	-0.07709352672100067	0.02844562	No	
row_83	KLHDC3	10911	-0.07937873899936676	0.027702307	No	
row_84	APOM	10948	-0.08168426156044006	0.026521035	No	
row_85	CCNE1	11187	-0.09769576042890549	0.015228657	No	
row_86	CEBPG	11222	-0.100132055580616	0.0142939985	No	
row_87	POLE3	11447	-0.11384744197130203	0.0038383058	No	
row_88	YKT6	11544	-0.11990300565958023	-8.278142E-5	No	
row_89	KCNH2	11744	-0.13289593160152435	-0.009121511	No	
row_90	H2AX	11823	-0.13816915452480316	-0.011986548	No	
row_91	SULT1A1	12128	-0.159826397895813	-0.026134534	No	
row_92	PPAT	12138	-0.16059456765651703	-0.025326138	No	
row_93	BTG2	12169	-0.16241005063056946	-0.025567709	No	
row_94	PRKACA	12478	-0.1827404648065567	-0.03973799	No	
row_95	STIP1	12779	-0.2031121850013733	-0.053342428	No	
row_96	UROD	12860	-0.20787809789180756	-0.05575994	No	
row_97	MGAT1	13004	-0.21766817569732666	-0.06129315	No	
row_98	TGFBRAP1	13176	-0.2313404530286789	-0.06813772	No	
row_99	MAPK8IP2	13580	-0.26081526279449463	-0.08650776	No	
row_100	PSMC3	13715	-0.2725989520549774	-0.09115234	No	
row_101	POLG2	13750	-0.27423328161239624	-0.09071614	No	
row_102	BSG	13872	-0.2842733561992645	-0.09460997	No	
row_103	FEN1	13975	-0.291073203086853	-0.097487345	No	
row_104	SLC6A12	14003	-0.29295045137405396	-0.09654901	No	
row_105	CDC5L	14038	-0.29606395959854126	-0.095940925	No	
row_106	NUP58	14081	-0.29933229088783264	-0.09571253	No	
row_107	SOD2	14428	-0.3264848589897156	-0.11067678	No	
row_108	HSPA13	14857	-0.36327242851257324	-0.12950706	No	
row_109	MRPL23	14870	-0.3646279573440552	-0.12724416	No	
row_110	DGAT1	14903	-0.3673548400402069	-0.12597336	No	
row_111	TFRC	15037	-0.3793802857398987	-0.12972648	No	
row_112	RPN1	15068	-0.3829428255558014	-0.12823159	No	
row_113	SELENOW	15167	-0.3934398591518402	-0.13010024	No	
row_114	TARS1	15175	-0.39495354890823364	-0.12734514	No	
row_115	IRF1	15712	-0.45109477639198303	-0.15095727	No	
row_116	CASP3	15743	-0.4541567862033844	-0.14890164	No	
row_117	RFC4	15779	-0.4576629400253296	-0.14707181	No	
row_118	ASNS	15874	-0.4663068652153015	-0.14816399	No	
row_119	EIF2S3	16010	-0.4806367754936218	-0.15122117	No	
row_120	FMO1	16103	-0.494035929441452	-0.15199365	No	
row_121	EPCAM	16421	-0.5373650789260864	-0.16382776	No	
row_122	CNP	16509	-0.5479292869567871	-0.16392249	No	
row_123	PARP2	16936	-0.6174001693725586	-0.18065043	No	
row_124	PDAP1	17201	-0.6677416563034058	-0.18877196	No	
row_125	DDX21	17207	-0.6686462163925171	-0.1837605	No	
row_126	FOSB	17309	-0.6915805339813232	-0.18343364	No	
row_127	ARRB2	17363	-0.7036678791046143	-0.180579	No	
row_128	SPR	17462	-0.725929856300354	-0.17982964	No	
row_129	CTSV	17515	-0.7412395477294922	-0.1766285	No	
row_130	GAL	17593	-0.7617055177688599	-0.17453319	No	
row_131	FKBP4	17748	-0.8098978996276855	-0.1759607	No	
row_132	NAT1	17788	-0.8220005035400391	-0.17146482	No	
row_133	ATP6V1F	18053	-0.9171985387802124	-0.17762215	No	
row_134	PPIF	18103	-0.9389797449111938	-0.17271198	No	
row_135	SIGMAR1	18124	-0.9455546140670776	-0.16628034	No	
row_136	DNAJA1	18177	-0.9687773585319519	-0.16128759	No	
row_137	HTR7	18189	-0.9742602705955505	-0.1541738	No	
