NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDO2	17	10.906609535217285	0.06875025	Yes	
row_1	IL1R1	50	8.506416320800781	0.121420324	Yes	
row_2	ATOH8	183	5.1607842445373535	0.1476651	Yes	
row_3	GSTA3	303	3.960845708847046	0.16691045	Yes	
row_4	AOX1	334	3.74135684967041	0.18926854	Yes	
row_5	VTN	542	2.8130500316619873	0.19672506	Yes	
row_6	ARPP19	543	2.8092987537384033	0.21465565	Yes	
row_7	AKR1C2	557	2.763157367706299	0.23163246	Yes	
row_8	CDO1	663	2.509571075439453	0.24232493	Yes	
row_9	CYP27A1	664	2.5062029361724854	0.258321	Yes	
row_10	NDRG2	666	2.5031094551086426	0.2742466	Yes	
row_11	CYP1A1	720	2.3655362129211426	0.28665695	Yes	
row_12	HGFAC	942	1.957684874534607	0.28794402	Yes	
row_13	UGDH	982	1.8829646110534668	0.2979843	Yes	
row_14	HES6	1004	1.8472201824188232	0.30870935	Yes	
row_15	CYP2J2	1173	1.6341726779937744	0.31061947	Yes	
row_16	AKR1C3	1182	1.6278809309005737	0.32060385	Yes	
row_17	UPP1	1389	1.4379037618637085	0.3193341	Yes	
row_18	SLC6A6	1519	1.3268603086471558	0.32126063	Yes	
row_19	ENTPD5	1629	1.2430311441421509	0.32366645	Yes	
row_20	RAP1GAP	1684	1.211360216140747	0.32865945	Yes	
row_21	CSAD	1762	1.1669659614562988	0.33220264	Yes	
row_22	GAD1	1778	1.1560720205307007	0.33882067	Yes	
row_23	ESR1	1799	1.1426905393600464	0.3450997	Yes	
row_24	MAOA	1836	1.1254854202270508	0.35045746	Yes	
row_25	GCH1	1957	1.059683084487915	0.35113516	Yes	
row_26	DDAH2	2102	0.9856358170509338	0.3501231	Yes	
row_27	IDH1	2189	0.9509024024009705	0.3518308	Yes	
row_28	ARG2	2197	0.9481447339057922	0.35752743	Yes	
row_29	ITIH4	2246	0.9297472834587097	0.3610273	Yes	
row_30	PROS1	2292	0.9135230779647827	0.36457577	Yes	
row_31	TAT	2619	0.8044564723968506	0.35317716	No	
row_32	FBP1	2904	0.7172714471817017	0.34335214	No	
row_33	ABCC2	3025	0.6862782835960388	0.34164655	No	
row_34	PYCR1	3324	0.6211714744567871	0.33049813	No	
row_35	ABCC3	3362	0.6139954328536987	0.33254057	No	
row_36	PGD	3742	0.5446892976760864	0.31679606	No	
row_37	SLC22A1	3761	0.5418961644172668	0.3193419	No	
row_38	JUP	3766	0.5408303737640381	0.32259095	No	
row_39	PINK1	3923	0.513546347618103	0.31795713	No	
row_40	PPARD	3969	0.5067715048789978	0.31890947	No	
row_41	ACOX3	4054	0.49343129992485046	0.31779876	No	
row_42	TMBIM6	4176	0.4727124571800232	0.31467938	No	
row_43	DHRS1	4326	0.4540371596813202	0.31002077	No	
row_44	CBR1	4437	0.4381362795829773	0.30723855	No	
row_45	CFB	4691	0.4059886038303375	0.2969989	No	
row_46	TMEM97	4765	0.3978639543056488	0.2958361	No	
row_47	PDK4	4914	0.3816191852092743	0.29076597	No	
row_48	TGFB2	4957	0.37670183181762695	0.29104027	No	
row_49	AP4B1	5052	0.36528897285461426	0.28860456	No	
row_50	EPHA2	5081	0.36220353841781616	0.28949633	No	
row_51	EPHX1	5202	0.34905120730400085	0.28563836	No	
row_52	NINJ1	5312	0.33956676721572876	0.28227773	No	
row_53	DHRS7	5352	0.3349781632423401	0.28243786	No	
row_54	ECH1	5370	0.33377379179000854	0.28370607	No	
row_55	PMM1	5498	0.31888851523399353	0.27930057	No	
row_56	ID2	5811	0.2860495150089264	0.2653032	No	
row_57	COMT	5921	0.27574658393859863	0.26153523	No	
row_58	ASL	6254	0.24341218173503876	0.24625143	No	
row_59	NPC1	6269	0.24214139580726624	0.24708691	No	
row_60	CYFIP2	6319	0.23744243383407593	0.24611737	No	
row_61	ACOX1	6386	0.2318117916584015	0.24424973	No	
row_62	NQO1	6567	0.21833324432373047	0.23651455	No	
row_63	DDT	6643	0.21272465586662292	0.23406865	No	
row_64	HMOX1	6977	0.18600016832351685	0.2183677	No	
row_65	TPST1	7051	0.18055517971515656	0.2158179	No	
row_66	CYP26A1	7160	0.17173674702644348	0.2114368	No	
row_67	ALDH2	7291	0.16062495112419128	0.20586903	No	
row_68	SAR1B	7492	0.1463429182767868	0.19666007	No	
row_69	RETSAT	7886	0.1170007586479187	0.17747581	No	
row_70	CYP2E1	7895	0.11642502248287201	0.17781317	No	
row_71	GSR	7998	0.10890783369541168	0.17333536	No	
row_72	PDLIM5	8123	0.10119544714689255	0.16769257	No	
row_73	DCXR	8193	0.09604884684085846	0.16480628	No	
row_74	ACP2	8469	0.07692792266607285	0.15135062	No	
row_75	ALAS1	8861	0.05217218026518822	0.13185401	No	
row_76	PGRMC1	8989	0.04436483234167099	0.12569636	No	
row_77	SHMT2	9100	0.03628915548324585	0.120349325	No	
row_78	LEAP2	9412	0.015833357349038124	0.10467799	No	
row_79	LPIN2	9664	-0.0010506639955565333	0.091955215	No	
row_80	IGFBP4	9701	-0.0036362549290060997	0.09015268	No	
row_81	MAN1A1	10138	-0.030855819582939148	0.06823784	No	
row_82	ACSM1	10293	-0.04052043333649635	0.060686342	No	
row_83	CYB5A	10340	-0.04423663765192032	0.058635794	No	
row_84	NFS1	10772	-0.06976758688688278	0.037222892	No	
row_85	ALDH9A1	11143	-0.09498520195484161	0.019064562	No	
row_86	SERTAD1	11252	-0.10247060656547546	0.01424136	No	
row_87	SPINT2	11309	-0.1058492437005043	0.012076908	No	
row_88	PAPSS2	11368	-0.10963457822799683	0.0098351855	No	
row_89	UPB1	11383	-0.11022251844406128	0.009828679	No	
row_90	GCLC	11558	-0.12074165791273117	0.0017748992	No	
row_91	ARG1	11567	-0.12126678973436356	0.0021431746	No	
row_92	DHPS	11644	-0.12553659081459045	-9.0992334E-4	No	
row_93	MARCHF6	11814	-0.1378704309463501	-0.008600802	No	
row_94	TTPA	11851	-0.14103271067142487	-0.0095263915	No	
row_95	PC	12089	-0.15705835819244385	-0.020543428	No	
row_96	MTHFD1	12427	-0.17908042669296265	-0.036491413	No	
row_97	TKFC	12436	-0.1795055866241455	-0.035751425	No	
row_98	GSS	12606	-0.19161160290241241	-0.043099295	No	
row_99	CASP6	13095	-0.2255900502204895	-0.06640841	No	
row_100	LONP1	13211	-0.23374494910240173	-0.07074875	No	
row_101	GABARAPL1	13333	-0.24240224063396454	-0.07533812	No	
row_102	PTGES3	13422	-0.24952515959739685	-0.078208424	No	
row_103	BCAR1	13475	-0.25363314151763916	-0.07922678	No	
row_104	POR	13574	-0.2603297829627991	-0.082535274	No	
row_105	FAH	13733	-0.27342748641967773	-0.08880308	No	
row_106	CES1	13818	-0.28086239099502563	-0.09127052	No	
row_107	HACL1	13911	-0.287134051322937	-0.09410365	No	
row_108	HPRT1	13932	-0.2881843149662018	-0.09327859	No	
row_109	F10	13969	-0.29076647758483887	-0.09324849	No	
row_110	SLC6A12	14003	-0.29295045137405396	-0.093052305	No	
row_111	SLC35D1	14207	-0.3090440034866333	-0.10137497	No	
row_112	ADH5	14356	-0.32139116525650024	-0.106829494	No	
row_113	PTS	14366	-0.32221707701683044	-0.10522935	No	
row_114	SLC1A5	14591	-0.3388417065143585	-0.11442684	No	
row_115	ACO2	14943	-0.3713202476501465	-0.12985785	No	
row_116	SSR3	14984	-0.3750078082084656	-0.12949294	No	
row_117	SMOX	14994	-0.3758481442928314	-0.12755048	No	
row_118	SLC35B1	15140	-0.3918010890483856	-0.13240346	No	
row_119	CAT	15163	-0.39308881759643555	-0.13101028	No	
row_120	ACP1	15316	-0.4084866940975189	-0.13611177	No	
row_121	ABHD6	15319	-0.40875330567359924	-0.13360429	No	
row_122	TNFRSF1A	15342	-0.4111117124557495	-0.13209607	No	
row_123	ETS2	15655	-0.44399914145469666	-0.1450853	No	
row_124	CNDP2	15791	-0.4585399925708771	-0.14900517	No	
row_125	GNMT	15872	-0.4660501182079315	-0.15008777	No	
row_126	GART	15878	-0.4665645956993103	-0.14736345	No	
row_127	NMT1	15937	-0.473874568939209	-0.14728038	No	
row_128	GSTO1	16044	-0.48593413829803467	-0.14955467	No	
row_129	FMO1	16103	-0.494035929441452	-0.14934291	No	
row_130	AHCY	16155	-0.5007644295692444	-0.14873321	No	
row_131	ATP2A2	16175	-0.5045428276062012	-0.1464765	No	
row_132	MCCC2	16561	-0.5552855730056763	-0.16245766	No	
row_133	FAS	16718	-0.5783613324165344	-0.16667776	No	
row_134	PTGR1	16792	-0.5911398530006409	-0.16660696	No	
row_135	CYP2S1	16881	-0.6074645519256592	-0.1671927	No	
row_136	SLC46A3	16908	-0.6115797758102417	-0.16460782	No	
row_137	REG1A	17064	-0.6398501992225647	-0.16838476	No	
row_138	ETFDH	17093	-0.644366443157196	-0.16569206	No	
row_139	ENPEP	17131	-0.6526851058006287	-0.16340269	No	
row_140	CROT	17273	-0.6821093559265137	-0.1661999	No	
row_141	BLVRB	17329	-0.6965337991714478	-0.16454354	No	
row_142	MPP2	17396	-0.7115524411201477	-0.16334918	No	
row_143	ELOVL5	17722	-0.8028594255447388	-0.17470726	No	
row_144	PEMT	17762	-0.8142387866973877	-0.17148821	No	
row_145	BPHL	17873	-0.852530300617218	-0.17162551	No	
row_146	GSTM4	17893	-0.8600340485572815	-0.16709985	No	
row_147	KARS1	17913	-0.8670756220817566	-0.16252926	No	
row_148	KYNU	17929	-0.8719391226768494	-0.15772475	No	
row_149	DDC	18268	-1.0105785131454468	-0.16841635	No	
row_150	PSMB10	18311	-1.0270922183990479	-0.16399087	No	
row_151	ACOX2	18333	-1.0385308265686035	-0.15842737	No	
row_152	LCAT	18556	-1.1943928003311157	-0.16206281	No	
row_153	GCNT2	18896	-1.5498870611190796	-0.16936292	No	
row_154	PTGES	18935	-1.6115145683288574	-0.16100447	No	
row_155	APOE	18940	-1.6210050582885742	-0.15086111	No	
row_156	MT2A	18956	-1.6428838968276978	-0.14113599	No	
row_157	FBLN1	19073	-1.8437283039093018	-0.13525118	No	
row_158	SLC12A4	19141	-1.9750655889511108	-0.12604305	No	
row_159	CD36	19207	-2.173076629638672	-0.11546969	No	
row_160	CYP4F2	19231	-2.2395331859588623	-0.102342114	No	
row_161	TMEM176B	19275	-2.368650197982788	-0.08940474	No	
row_162	CA2	19296	-2.4555134773254395	-0.07474651	No	
row_163	SERPINE1	19743	-5.703718185424805	-0.06096095	No	
row_164	BCAT1	19875	-10.64760971069336	3.546914E-4	No	
