NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	172		
HALLMARK_HYPOXIA	200	183		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	70		
HALLMARK_MITOTIC_SPINDLE	199	198		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	39		
HALLMARK_TGF_BETA_SIGNALING	54	53		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	65		
HALLMARK_DNA_REPAIR	150	148		
HALLMARK_G2M_CHECKPOINT	200	200		
HALLMARK_APOPTOSIS	161	145		
HALLMARK_NOTCH_SIGNALING	32	31		
HALLMARK_ADIPOGENESIS	200	185		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	199		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	195		
HALLMARK_ANDROGEN_RESPONSE	100	97		
HALLMARK_MYOGENESIS	200	166		
HALLMARK_PROTEIN_SECRETION	96	95		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	93		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	171		
HALLMARK_APICAL_JUNCTION	200	171		
HALLMARK_APICAL_SURFACE	44	38		
HALLMARK_HEDGEHOG_SIGNALING	36	32		
HALLMARK_COMPLEMENT	200	161		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	111		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	98		
HALLMARK_MTORC1_SIGNALING	200	198		
HALLMARK_E2F_TARGETS	200	200		
HALLMARK_MYC_TARGETS_V1	200	200		
HALLMARK_MYC_TARGETS_V2	58	58		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	163		
HALLMARK_INFLAMMATORY_RESPONSE	200	145		
HALLMARK_XENOBIOTIC_METABOLISM	200	165		
HALLMARK_FATTY_ACID_METABOLISM	158	142		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	199		
HALLMARK_GLYCOLYSIS	200	189		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	46		
HALLMARK_P53_PATHWAY	200	195		
HALLMARK_UV_RESPONSE_UP	158	151		
HALLMARK_UV_RESPONSE_DN	144	134		
HALLMARK_ANGIOGENESIS	36	26		
HALLMARK_HEME_METABOLISM	200	176		
HALLMARK_COAGULATION	138	99		
HALLMARK_IL2_STAT5_SIGNALING	199	166		
HALLMARK_BILE_ACID_METABOLISM	112	95		
HALLMARK_PEROXISOME	104	98		
HALLMARK_ALLOGRAFT_REJECTION	200	132		
HALLMARK_SPERMATOGENESIS	135	96		
HALLMARK_KRAS_SIGNALING_UP	200	150		
HALLMARK_KRAS_SIGNALING_DN	200	142		
HALLMARK_PANCREAS_BETA_CELLS	40	23		
