NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	-0.8026658	-2.5537398	0.0	0.0	0.0	2311	tags=60%, list=12%, signal=68%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	-0.6248737	-2.1276252	0.0	0.0	0.0	2311	tags=46%, list=12%, signal=51%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	199	-0.60629267	-2.0869596	0.0	0.0	0.0	2162	tags=45%, list=11%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	195	-0.5295477	-1.8343242	0.0	0.0010438269	0.004	3000	tags=42%, list=15%, signal=48%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.4532327	-1.5557146	0.0029411765	0.034090135	0.142	7479	tags=65%, list=38%, signal=103%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.4466639	-1.5373601	0.0	0.034472432	0.168	6235	tags=51%, list=31%, signal=73%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	161	-0.4178482	-1.4170108	0.010526316	0.088219725	0.427	1702	tags=18%, list=9%, signal=20%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.47682494	-1.3619165	0.07268722	0.12129133	0.584	6611	tags=66%, list=33%, signal=98%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	-0.41171753	-1.3332434	0.041463416	0.13525353	0.67	6295	tags=45%, list=32%, signal=66%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	142	-0.3883348	-1.2995067	0.04450262	0.15378025	0.754	890	tags=16%, list=4%, signal=17%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	132	-0.36458835	-1.1959194	0.13513513	0.30262926	0.972	1654	tags=21%, list=8%, signal=23%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.34558403	-1.1920036	0.087064676	0.28505293	0.974	7326	tags=65%, list=37%, signal=102%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	99	-0.36730957	-1.1631824	0.18401937	0.31605598	0.985	1551	tags=15%, list=8%, signal=16%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	172	-0.32674405	-1.1042504	0.22685185	0.42038307	0.998	1724	tags=16%, list=9%, signal=17%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	38	-0.39060408	-1.0758532	0.33260393	0.46245548	0.999	1863	tags=24%, list=9%, signal=26%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	-0.27335075	-0.95825267	0.5792079	0.77898747	1.0	5668	tags=37%, list=29%, signal=51%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	145	-0.2751891	-0.91404164	0.6529563	0.8806144	1.0	2257	tags=16%, list=11%, signal=18%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	96	-0.27662075	-0.87391007	0.7093596	0.9553394	1.0	4534	tags=33%, list=23%, signal=43%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	23	-0.32437095	-0.7999046	0.7318087	1.0	1.0	687	tags=13%, list=3%, signal=13%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	198	-0.21812297	-0.757722	0.97932816	1.0	1.0	4468	tags=29%, list=22%, signal=37%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		31	-0.24115795	-0.61785287	0.94736844	1.0	1.0	2023	tags=13%, list=10%, signal=14%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		148	-0.15751632	-0.53069913	1.0	1.0	1.0	7390	tags=45%, list=37%, signal=72%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		46	-0.1459394	-0.4002914	1.0	0.99989897	1.0	16989	tags=100%, list=85%, signal=685%	
