NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	32	0.7038494	1.7724409	0.0	0.009179181	0.01	2307	tags=38%, list=12%, signal=42%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	26	0.6507781	1.595966	0.02385321	0.057987407	0.12	1365	tags=27%, list=7%, signal=29%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	134	0.47520974	1.5330027	0.0052724076	0.07905475	0.232	2562	tags=28%, list=13%, signal=32%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	70	0.46519762	1.3360422	0.081850536	0.36540404	0.799	3835	tags=47%, list=19%, signal=58%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	0.3943738	1.2572964	0.09793814	0.54501086	0.946	931	tags=15%, list=5%, signal=16%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	165	0.36457577	1.1847864	0.14072847	0.7313821	0.993	2292	tags=19%, list=12%, signal=21%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	142	0.36819592	1.181173	0.14432989	0.64192826	0.995	1168	tags=10%, list=6%, signal=10%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	0.40576136	1.1614604	0.21851853	0.6374512	0.997	3169	tags=25%, list=16%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	95	0.36787626	1.1281871	0.2483108	0.6920802	0.999	1593	tags=14%, list=8%, signal=15%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	189	0.3364841	1.1122012	0.20754717	0.685733	1.0	2828	tags=17%, list=14%, signal=20%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	150	0.33595785	1.0845277	0.2920792	0.73196656	1.0	2579	tags=22%, list=13%, signal=25%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	166	0.33176145	1.072275	0.2931596	0.7168519	1.0	2343	tags=23%, list=12%, signal=26%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	97	0.3493103	1.0645058	0.34731543	0.68856364	1.0	2716	tags=28%, list=14%, signal=32%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	163	0.3236419	1.0585961	0.32833335	0.65898633	1.0	2809	tags=31%, list=14%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	151	0.33022553	1.0568882	0.33224222	0.6197212	1.0	2968	tags=20%, list=15%, signal=23%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	98	0.34753117	1.0532317	0.3600713	0.5924993	1.0	2487	tags=19%, list=13%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	171	0.30175722	0.9912828	0.4842975	0.7457883	1.0	2870	tags=26%, list=14%, signal=30%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	166	0.27618518	0.89060426	0.7100694	1.0	1.0	3014	tags=20%, list=15%, signal=23%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	185	0.26394704	0.86797714	0.7679466	1.0	1.0	2951	tags=13%, list=15%, signal=15%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	176	0.260276	0.8468596	0.7944984	1.0	1.0	3991	tags=25%, list=20%, signal=31%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		183	0.25585657	0.83901495	0.85596025	1.0	1.0	3014	tags=20%, list=15%, signal=24%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		195	0.2531818	0.8336478	0.849835	0.9989874	1.0	2717	tags=15%, list=14%, signal=18%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		95	0.26113236	0.7935882	0.8476027	1.0	1.0	3978	tags=18%, list=20%, signal=22%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		39	0.28392988	0.7455903	0.8568807	1.0	1.0	1987	tags=18%, list=10%, signal=20%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		98	0.23876172	0.73513794	0.9389439	1.0	1.0	3929	tags=15%, list=20%, signal=19%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		198	0.19493562	0.64233893	1.0	1.0	1.0	2005	tags=8%, list=10%, signal=8%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		53	0.22322255	0.6098785	0.96672827	0.99108607	1.0	3263	tags=19%, list=16%, signal=23%	
