NAME	TITLE	SCORE	
ZNF736		14.14895	
FCGR2B		13.899112	
VIP		13.31872	
CCDC63		12.910833	
GLYATL1		12.398355	
LIX1		12.350243	
VAT1L		12.339463	
ERVV-2		11.958559	
ZNF716		11.6252165	
OSBPL3		11.57719	
ZNF100		11.358243	
ZNF197		11.235836	
ZNF681		11.191108	
CDKN2B		11.176462	
KRT224P		11.167008	
ZNF493		11.063669	
LINC01889		10.97503	
TDO2		10.90661	
EPB41L4A-DT		10.797899	
ZNF85		10.624826	
KRT24		10.559389	
ZNF66		10.412408	
ZNF431		10.407368	
MMP19		10.348047	
ZNF229		10.306152	
ZNF91		10.16008	
ZSCAN18		10.119926	
ZNF285		10.034491	
ZNF726		9.8252945	
ZNF702P		9.760486	
NDP		9.615759	
HOPX		9.613537	
TRGC1		9.601264	
S1PR4		9.4367075	
CLEC3A		9.349842	
BASP1-AS1		9.344908	
ALDH1A1		9.306335	
BRINP3		9.224014	
ZNF737		9.211219	
LINC02893		9.160852	
ZNF548		9.155365	
ABCA1		9.033644	
ZNF304		8.984201	
CALHM4		8.839312	
CDKN2A		8.810609	
LINC00960		8.766704	
LINC01291		8.728539	
BTNL9		8.697767	
UPK1A		8.693623	
KRT40		8.53227	
IL1R1		8.506416	
ZNF772		8.494807	
ALOXE3P1		8.490131	
NDST4		8.400039	
TRGV9		8.363663	
LINC01293		8.328001	
CT45A10		8.1765	
SRARP		8.172401	
KLHDC7A		8.17106	
MAPK4		8.164976	
ZNF816		8.022727	
RPL24P9		7.9728875	
LINC01449		7.8783197	
KRTAP1-3		7.8748035	
FEM1AP2		7.85648	
CEACAM5		7.85306	
ZNF559		7.7884545	
CUX2		7.730412	
SIRLNT		7.6932926	
COL2A1		7.5455794	
LINC02233		7.520367	
COL3A1		7.4735613	
MTCO1P28		7.4733787	
ZNF717		7.4704947	
SLIT1		7.419996	
ADAM19		7.4152713	
C2CD2		7.3604074	
KRTAP3-1		7.3562393	
GPR18		7.303294	
LINC02672		7.290051	
SAGE1		7.2331495	
C3orf70		7.2102175	
TESC		7.209758	
B3GNT5		7.1869955	
LRP4		7.032041	
HOXC12		7.014821	
L1CAM-AS1		7.0064273	
ALOX12B		6.9985466	
DSCR8		6.9939475	
ENTPD3		6.9632344	
CRISP3		6.9306836	
ZIC3		6.7299933	
RIMS1		6.685263	
RPL7AP10		6.638302	
RUNX1T1		6.629991	
ROR1		6.620182	
IL17REL		6.5352364	
IGFBP3		6.496572	
GNA15		6.463868	
CSMD1		6.4088187	
CALCRL		6.4041705	
GP2		6.376799	
EPB41L4A		6.354462	
PMP22		6.337624	
NR2F1-AS1		6.302485	
CEACAM6		6.2903786	
ERBB4		6.265172	
KL		6.2024655	
ARPP19P1		6.1948013	
ZNRF3-IT1		6.158023	
RFTN1		6.153032	
RASGRP4		6.1381354	
PDE1A		6.120956	
DAB2		6.106999	
BASP1		6.084254	
HOXA10		6.0668907	
LINC02307		6.0417094	
OLA1P3		6.0391855	
MEF2C		6.0289073	
SHROOM4		6.0120344	
TRG-AS1		6.005628	
MTND1P8		5.995623	
LINC01811		5.994026	
HOXA13		5.977646	
ELF5		5.9744635	
LINC02516		5.9587903	
LINC02055		5.9247265	
ZNF962P		5.909408	
KCNJ8		5.899519	
SNCG		5.89101	
KCNU1		5.8878875	
IGFBPL1		5.8787193	
C2orf72		5.856109	
FCRLA		5.849363	
ZNF28		5.8448334	
ARSJ		5.8264503	
AMTN		5.8007555	
ZNF543		5.780809	
NR2F1		5.7694926	
ZNF625		5.7486024	
DACT1		5.7260914	
SEMA6D		5.714784	
ACSL4		5.70199	
SNAP25		5.6993895	
GDNF		5.6712246	
MMP12		5.626562	
AMPH		5.617365	
SLC52A3		5.61639	
PGPEP1L		5.5884113	
ZNF442		5.587724	
ADAMTS18		5.572225	
HCCAT5		5.569991	
PSCA		5.557044	
SEPTIN10P1		5.544197	
UPK2		5.523204	
PLEKHS1		5.5138664	
MAGEA1		5.508634	
KCNH5		5.502957	
CDK6		5.4964247	
LINC02693		5.47255	
AGR2		5.4336	
MUC4		5.3990574	
LINC02438		5.3981943	
RAI2		5.3953743	
PCP4L1		5.3802505	
RAPGEF4		5.3550205	
CSF2RB		5.3478336	
MROH2A		5.332736	
MTRNR2L4		5.3281183	
GLDN		5.2519336	
PWWP3B		5.2448425	
CXCR4		5.2424397	
UNC93B3		5.2292295	
PVALB		5.2221227	
LUM		5.2211156	
FAM170A		5.2147985	
ACHE		5.211377	
ALDH1A2		5.207244	
MAPK6P4		5.1938014	
RIMBP3		5.193619	
SLC26A7		5.187545	
GAGE2A		5.18183	
SNX18P7		5.176456	
ATOH8		5.1607842	
ZFP92		5.153959	
LDLRAD4		5.142195	
BRINP3-DT		5.1268396	
AKR1D1		5.1188126	
IL1R2		5.11856	
LINC02223		5.1038704	
VGLL1		5.1021633	
BCL2L10		5.0902767	
IRS4		5.0712276	
BPIFA4P		5.0500746	
ZMAT4		5.0400968	
DRAIC		5.03879	
ARHGAP19-SLIT1		5.034543	
FOLH1B		5.016092	
NCMAP		5.0115137	
CYP4F35P		5.002641	
SLC14A1		4.9959044	
RPL37P12		4.9852653	
GALNT13		4.946522	
BZW1-AS1		4.9455314	
TACR3-AS1		4.912391	
KCTD8		4.8884473	
COL28A1		4.886038	
KRT12		4.8797474	
PDE7B		4.8784833	
ABCC12		4.8773417	
MALL		4.8741236	
PTPRB		4.8680468	
FPR3		4.815965	
IGF2BP2		4.792791	
CSGALNACT1		4.7918468	
HSD17B13		4.7724595	
GABRB2		4.7722316	
LXN		4.7565904	
CGA		4.7493997	
MID1		4.6946034	
MKX		4.6308374	
NR4A3		4.630029	
CTNNA3		4.6089387	
GLRA4		4.570592	
SEPTIN10		4.569617	
LINC02405		4.569337	
SCARA3		4.5613055	
CCNYL6		4.553111	
LYN		4.5272555	
CEACAM7		4.5189853	
PPEF1		4.5066733	
LINC00623		4.5022855	
FSTL5		4.4922543	
TNFAIP8L3		4.4916115	
ZNF215		4.4771795	
UPK3A		4.4730577	
CPNE7		4.4705534	
LINC02131		4.4663935	
ANKRD22		4.462959	
LINC01444		4.4520254	
EFHC2		4.438084	
RERGL		4.4318333	
CACNB2		4.4163413	
ELFN1		4.4077992	
LRRC53		4.4063907	
GABBR2		4.4012933	
S100P		4.39268	
CYP4F26P		4.3760934	
ZNF714		4.3679824	
NLRP3P1		4.3663087	
GABRA1		4.3518686	
CPXM2		4.338731	
HEY1		4.3354473	
KIF1A		4.3287644	
SMIM31		4.3201475	
CPA6		4.314227	
CNTLN		4.3047657	
JAKMIP2		4.2862096	
GPRIN3		4.27424	
TEKT4		4.264029	
ADGRF1		4.259858	
PALMD		4.2595453	
CECR2		4.257773	
ASCL1		4.253283	
VTCN1		4.2532196	
SYCP2		4.2490854	
CYP2AB1P		4.22376	
EGLN3		4.2099047	
LNCAROD		4.1845083	
FAM189A2		4.1817923	
ACE		4.177184	
LONRF2P1		4.1721773	
MAPK6-DT		4.163704	
SOX2		4.145761	
FOLH1		4.144157	
CDKL5		4.141229	
ANKRD45		4.140258	
BMPR1B		4.136051	
TRGC2		4.122979	
VSIG1		4.121304	
IRS4-AS1		4.118991	
ROS1		4.0907974	
ZNF732		4.084463	
ZC3H12C		4.083337	
CDRT15P9		4.072522	
AASS		4.049494	
C3orf80		4.0489993	
LINC02343		4.0458574	
FGFR3		4.0169187	
ARPP21		4.0116196	
COL18A1-AS2		4.009141	
CALHM5		4.0090356	
PKHD1		4.0024076	
RASD1		3.9992943	
ST3GAL1		3.9958003	
RPL31P11		3.9918041	
JCADP1		3.983255	
IL21R		3.9825993	
SULT1C4		3.9821985	
FSIP1		3.9784176	
PHACTR3		3.9775648	
GLYATL1P1		3.971906	
CYTL1		3.9684834	
GSTA3		3.9608457	
SERPINA11		3.9424171	
BCAN-AS1		3.9410303	
VN1R1		3.9386587	
DENND6A-AS1		3.925315	
PRICKLE2-AS3		3.9159234	
TEX14		3.9104266	
LIPH		3.909057	
PSD3		3.8779333	
MIR4713HG		3.8767264	
SDAD1P4		3.8647177	
ADCY8		3.8642023	
STAMBPL1		3.8558507	
KMO		3.8533409	
LINC01754		3.8473523	
PPP1R14C		3.8353245	
ZNF704		3.828119	
NRG3		3.8221214	
ANKRD1		3.8120613	
ZNF829		3.8062363	
PAPLN-AS1		3.8045435	
AKAP6		3.7968762	
DTWD1		3.7911446	
OLFML3		3.7850718	
EEF1GP4		3.7801912	
GBP7		3.7610872	
SOWAHC		3.7602596	
PLEKHD1		3.7598872	
HDC		3.7541184	
CEMIP		3.7469738	
GABRQ		3.7420042	
AOX1		3.7413568	
TMEM26		3.7409072	
PDE4D		3.7361872	
GREM2		3.7264044	
P2RX2		3.7203948	
BCAS1		3.7186937	
ZNF804A		3.7178805	
TMOD2		3.717725	
LINC02688		3.7142973	
TSPAN1		3.7076404	
ERICH2		3.7027051	
CGNL1		3.6970987	
CACNG6		3.68286	
LMO3		3.6712723	
NTSR1		3.6703155	
PSMC1P7		3.6604662	
RIMS2		3.6556728	
PDE6B-AS1		3.6530178	
PRR16		3.6504283	
MCF2L2		3.6487153	
ANKRD30BP1		3.6464405	
CDRT15P10		3.6316972	
GFRA3		3.6284945	
ANKRD18B		3.6253653	
GJA3		3.6212437	
HOXA11-AS		3.6180942	
RNF144B		3.6135864	
TACR3		3.6114788	
CERNA1		3.6091251	
SLITRK6		3.607971	
STAT4		3.6074576	
ERC2		3.6050422	
MCF2L		3.6008625	
DNAH8		3.5954416	
MME		3.5953076	
CYP19A1		3.5905135	
PRICKLE2-DT		3.577722	
HS6ST3		3.5703852	
NCALD		3.5666585	
ENPP3		3.5546381	
SLC2A6		3.5493474	
ANKRD30B		3.548646	
SOCS2-AS1		3.5476987	
WDR72		3.5226984	
L1CAM		3.51416	
CRISP2		3.506837	
SASH1		3.4971306	
AFF3		3.4969268	
RASL10A		3.4889143	
ZDBF2		3.4885826	
DACH1		3.4762065	
PRKAG2-AS1		3.4694717	
LINC00472		3.4627578	
AVPR2		3.4499688	
CXCL17		3.4463377	
TMPRSS15		3.4404807	
FIBCD1		3.433418	
CYP26B1		3.431912	
BPIFB1		3.4304862	
CAPN13		3.4285989	
IL16		3.4240317	
F7		3.4201746	
LUZP2		3.4001174	
MSTN		3.3863366	
GFRA2		3.3858526	
CYP4Z2P		3.383861	
INHBA		3.371035	
PREX1		3.3455012	
CCDC68		3.3380911	
ADCY5		3.3346405	
NDST3		3.3323019	
LINC01762		3.3318446	
FGF7		3.324587	
CTRB1		3.323289	
NLGN4X		3.317954	
LINC02217		3.3178196	
NCR3LG1		3.3151472	
COL4A3		3.3140664	
ASTN1		3.313581	
GPR161		3.3122659	
SGCG		3.307253	
PLA2G3		3.3022068	
MAP2		3.295166	
LINC02533		3.2944388	
TRIM7		3.2903488	
TRGJP		3.287877	
VIPR1		3.2836561	
CACNA2D1		3.277852	
UMODL1		3.271442	
SLC16A14		3.270779	
CCDC184		3.264647	
RNU6-94P		3.2545886	
SOCS2		3.2520778	
P2RY10		3.250315	
LINC02109		3.250315	
POU3F3		3.246254	
EYA2		3.2462287	
OPN3		3.2452953	
PPEF2		3.244116	
ONECUT1		3.2439008	
FUT8-AS1		3.2340384	
SH3BGRL2		3.2291849	
MICAL1		3.224983	
NIPSNAP3B		3.2246227	
TMEM30A-DT		3.2231488	
FAM20C		3.2184668	
GNB5		3.2001088	
TCIM		3.194641	
ERFL		3.1943862	
SELENOM		3.184041	
GNA14		3.1840408	
GRIN3B		3.177276	
SLC12A1		3.170871	
RIN2		3.1651864	
GRHL3		3.1640735	
AOAH		3.1595516	
LINC01443		3.1577656	
ITPR1		3.1542559	
PRR5L		3.1475236	
SCN2A		3.1455765	
XG		3.1386504	
TMC1		3.1366549	
ANGPT1		3.136401	
ADM		3.129532	
SPECC1-DT		3.1267292	
RASSF5		3.1197464	
DLL4		3.118191	
SNX18P24		3.1150746	
LINC00243		3.111308	
NEXN		3.0977187	
EWSAT1		3.0799568	
BMP7		3.0796573	
CCDC144A		3.078363	
MUC3A		3.073158	
IGSF22-AS1		3.0692391	
TNS3		3.0632634	
FAM227B		3.062937	
PAFAH1B2P1		3.062407	
MYLKP1		3.062407	
CORO2B		3.0583305	
LINC02324		3.0556712	
GDAP1		3.051193	
CCR7		3.0417223	
NXPH4		3.0348475	
LNC-LBCS		3.024604	
ANKRD20A5P		3.0223489	
DLX5		3.0208416	
FAM230I		3.016313	
DENND3		3.014296	
GHR		3.013726	
CCDC160		3.009896	
CHSY3		3.0047922	
KRT37		2.999692	
FAM110B		2.9996235	
MSN		2.9986567	
RAB33A		2.991889	
PRRT1B		2.9881208	
TINAGL1		2.9773939	
ZNF585B		2.973367	
DOCK11		2.9703743	
RHOXF1		2.9680583	
SLC6A3		2.9671354	
DRD1		2.9652333	
PRKG1		2.9643385	
JPH1		2.9610825	
FAM214A		2.9605474	
IGSF22		2.9579237	
LINC02720		2.9537706	
BIK		2.9519427	
DLGAP1		2.9492803	
PPP1R3C		2.9412384	
CAPN5		2.931649	
RXFP4		2.9215293	
EPAS1		2.9184132	
NECTIN3		2.9161713	
SCDP1		2.9141457	
TATDN2P3		2.9140494	
CCR1		2.9120626	
LRRC15		2.9117732	
LINC01102		2.9104567	
GABPB1-IT1		2.9088457	
DLX3		2.908676	
PRR15		2.908325	
RND1		2.9067717	
SPTB		2.9021254	
RIMKLA		2.901527	
BANK1		2.901327	
LINC01341		2.900513	
ITGB7		2.8946104	
RGS20		2.890597	
ZNF550		2.882364	
VIL1		2.881488	
ID4		2.8814807	
PCDHB3		2.8803887	
FAM3B		2.877658	
ADGRB2		2.8770175	
CNN2P4		2.8651989	
ABCC6P1		2.8649821	
LINGO1		2.8594606	
RHOU		2.8569489	
WNK4		2.8567858	
THBS1		2.8566349	
SLC49A3		2.8419147	
LINC01659		2.841682	
ZNF615		2.837733	
KLKB1		2.8330696	
ASB9		2.828804	
EPHA3		2.824969	
VTN		2.81305	
ARPP19		2.8092988	
HTR1F		2.80614	
IQCJ-SCHIP1		2.7975724	
GRIK2		2.796987	
AKT3		2.7915037	
LINC00672		2.7902582	
ARHGEF38		2.790085	
RLN1		2.7824714	
LINC01517		2.78245	
GSC		2.7817805	
USP8		2.7755191	
BSG-AS1		2.7707946	
ACADL		2.7661808	
SLC12A5		2.7636628	
AKR1C2		2.7631574	
HOXA11		2.7589946	
CNTFR		2.756213	
REEP1		2.755855	
HS3ST1		2.7530458	
MCF2L-AS1		2.751797	
COL6A4P2		2.7508667	
SERPINA12		2.7484233	
CHST1		2.7396276	
LRIT3		2.7370086	
TMEM92		2.7318618	
CHCHD3P1		2.7301419	
KRT20		2.7233617	
SP5		2.7232466	
TGFB1I1		2.7223375	
HPN		2.7131262	
LZTS3		2.7108665	
FAM181B		2.7096598	
LINC00362		2.7090797	
VIPR1-AS1		2.7081175	
RORC		2.7049494	
LMCD1		2.703563	
FILIP1		2.6966813	
SYT16		2.6951604	
ITGA9		2.6926458	
COL1A1		2.6893902	
IL1RAPL2		2.686488	
PCDH1		2.686072	
LCA5		2.6854177	
RNU7-57P		2.6844995	
ZNF137P		2.684213	
ADCY4		2.682914	
MYO5A		2.6828008	
DISC1		2.6794083	
NHSL2		2.677518	
ST3GAL5		2.6769588	
FBLIM1		2.6740634	
SBSN		2.6714532	
HTR1B		2.671355	
MARVELD1		2.671338	
PID1		2.6703398	
MUC2		2.666948	
PRODH		2.6601238	
ACKR2		2.65942	
ZNF433-AS1		2.6528432	
ERVE-1		2.6517947	
NR2F2-AS1		2.6503196	
PTGER4		2.6495693	
LRP2		2.6490514	
LINC00853		2.648055	
ZNF701		2.6464145	
INHBE		2.643605	
SMC1B		2.637147	
PADI6		2.6285567	
INPP5J		2.6270673	
NCBP2L		2.6269984	
DCXR-DT		2.6224356	
LINC02303		2.6223857	
CAMK2N1		2.6175714	
LINC01962		2.6113186	
EFEMP1		2.6077502	
