NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A1	36	9.30633544921875	0.112659395	Yes	
row_1	ACSL4	142	5.701990127563477	0.17749357	Yes	
row_2	TSPO	815	2.172668933868408	0.17025486	Yes	
row_3	ABCC5	830	2.1511342525482178	0.19600874	Yes	
row_4	SLC27A2	962	1.9257761240005493	0.21307689	Yes	
row_5	CRAT	1006	1.8446980714797974	0.2335955	Yes	
row_6	HSD17B11	1033	1.8030328750610352	0.2544608	Yes	
row_7	IDI1	1051	1.7791978120803833	0.2754878	Yes	
row_8	FADS1	1087	1.733902096748352	0.29504785	Yes	
row_9	DHCR24	1593	1.2740384340286255	0.28519565	Yes	
row_10	ABCC8	1874	1.101967453956604	0.284599	Yes	
row_11	ALB	1954	1.0614831447601318	0.2936636	Yes	
row_12	PEX2	2016	1.0274986028671265	0.30321988	Yes	
row_13	CLN8	2080	1.0001744031906128	0.312339	Yes	
row_14	CRABP2	2161	0.9629240036010742	0.32014063	Yes	
row_15	IDH1	2189	0.9509024024009705	0.33047318	Yes	
row_16	ABCB4	2358	0.887272834777832	0.3328964	Yes	
row_17	SEMA3C	2422	0.8668162226676941	0.34037507	Yes	
row_18	DLG4	2487	0.8447073101997375	0.34753117	Yes	
row_19	RDH11	3171	0.6538860201835632	0.32105365	No	
row_20	RXRG	3554	0.5751252770423889	0.3088208	No	
row_21	FDPS	3612	0.565486490726471	0.31289598	No	
row_22	CTBP1	3621	0.5640566945075989	0.3194302	No	
row_23	HMGCL	3626	0.5632526278495789	0.3261567	No	
row_24	NUDT19	4126	0.48124930262565613	0.30685553	No	
row_25	PABPC1	4308	0.45600298047065735	0.30331656	No	
row_26	GNPAT	4923	0.3807308077812195	0.2769664	No	
row_27	IDH2	5001	0.37090224027633667	0.2776371	No	
row_28	BCL10	5086	0.36182859539985657	0.27784237	No	
row_29	STS	5345	0.33585962653160095	0.26893365	No	
row_30	TTR	5354	0.3348558843135834	0.27264842	No	
row_31	ECH1	5370	0.33377379179000854	0.2759961	No	
row_32	ACSL1	5913	0.2769555151462555	0.2520085	No	
row_33	ACSL5	6040	0.26285305619239807	0.24887343	No	
row_34	HSD17B4	6189	0.24916189908981323	0.244458	No	
row_35	ACOX1	6386	0.2318117916584015	0.23740306	No	
row_36	MVP	6477	0.22557903826236725	0.23562905	No	
row_37	PEX6	6580	0.21734197437763214	0.23314719	No	
row_38	ACOT8	6839	0.19701741635799408	0.22253056	No	
row_39	ERCC3	6841	0.1969231218099594	0.2249024	No	
row_40	SCP2	6851	0.19592531025409698	0.22685763	No	
row_41	RETSAT	7886	0.1170007586479187	0.17603506	No	
row_42	SIAH1	7905	0.11566208302974701	0.17654806	No	
row_43	LONP2	8361	0.0839967131614685	0.1545841	No	
row_44	CNBP	8661	0.06448297947645187	0.14026485	No	
row_45	PRDX1	8701	0.0624840147793293	0.1390623	No	
row_46	ACAA1	9340	0.019543474540114403	0.10705605	No	
row_47	CACNA1B	9465	0.012673561461269855	0.10094458	No	
row_48	SLC23A2	9510	0.009283460676670074	0.098834865	No	
row_49	PRDX5	9618	0.002062039915472269	0.093452096	No	
row_50	SLC35B2	10233	-0.03704585134983063	0.06287419	No	
row_51	PEX14	10411	-0.0485711395740509	0.054525502	No	
row_52	CDK7	10710	-0.06640812754631042	0.040280484	No	
row_53	EHHADH	10925	-0.08011680096387863	0.030449742	No	
row_54	DIO1	10950	-0.08173132687807083	0.030242093	No	
row_55	ALDH9A1	11143	-0.09498520195484161	0.021706203	No	
row_56	PEX11B	11361	-0.10915513336658478	0.012081035	No	
row_57	HRAS	11421	-0.11230990290641785	0.010480523	No	
row_58	YWHAH	11463	-0.11479528993368149	0.0098203635	No	
row_59	SOD1	11631	-0.1248345598578453	0.0029152387	No	
row_60	ITGB1BP1	11830	-0.1389332115650177	-0.0053833	No	
row_61	TOP2A	12060	-0.15473565459251404	-0.015054293	No	
row_62	ABCB9	12469	-0.18218103051185608	-0.033434935	No	
row_63	PEX13	13057	-0.22221918404102325	-0.06037032	No	
row_64	SLC25A19	13096	-0.2255936712026596	-0.059515893	No	
row_65	MLYCD	14060	-0.2978576123714447	-0.104525134	No	
row_66	SMARCC1	14216	-0.31000277400016785	-0.10854595	No	
row_67	SOD2	14428	-0.3264848589897156	-0.11519444	No	
row_68	IDE	14514	-0.3326592445373535	-0.115398526	No	
row_69	ABCD1	14619	-0.3418823778629303	-0.116449475	No	
row_70	NR1I2	14980	-0.37444502115249634	-0.13003896	No	
row_71	ATXN1	15012	-0.3774392902851105	-0.12696286	No	
row_72	CAT	15163	-0.39308881759643555	-0.1297089	No	
row_73	HSD3B7	15217	-0.39890405535697937	-0.1274807	No	
row_74	SLC25A17	15295	-0.4062524139881134	-0.12637515	No	
row_75	ISOC1	15388	-0.4145406186580658	-0.1259258	No	
row_76	ERCC1	15398	-0.4160720407962799	-0.121262506	No	
row_77	CLN6	15649	-0.4430168867111206	-0.12844871	No	
row_78	CTPS1	16323	-0.5244265794754028	-0.15601331	No	
row_79	MSH2	16798	-0.5920039415359497	-0.1726885	No	
row_80	VPS4B	16899	-0.6099945902824402	-0.17023918	No	
row_81	PEX5	17036	-0.635184645652771	-0.16929956	No	
row_82	SULT2B1	17269	-0.6812204122543335	-0.17264579	No	
row_83	ELOVL5	17722	-0.8028594255447388	-0.18561526	No	
row_84	ESR2	17761	-0.8140665888786316	-0.17752193	No	
row_85	ABCD3	18163	-0.9636340737342834	-0.18593596	No	
row_86	PEX11A	18227	-0.990799605846405	-0.17693219	No	
row_87	GSTK1	18437	-1.1106104850769043	-0.17383392	No	
row_88	FIS1	18464	-1.1269935369491577	-0.16128469	No	
row_89	EPHX2	18631	-1.251731038093567	-0.15427712	No	
row_90	SLC25A4	18708	-1.3225336074829102	-0.14184968	No	
row_91	HSD11B2	18721	-1.3363986015319824	-0.12601691	No	
row_92	CEL	19015	-1.7370525598526	-0.1194583	No	
row_93	ECI2	19079	-1.8507174253463745	-0.09987652	No	
row_94	DHRS3	19165	-2.0295042991638184	-0.0792074	No	
row_95	CADM1	19208	-2.176652431488037	-0.054554816	No	
row_96	FABP6	19457	-3.117969036102295	-0.02873485	No	
row_97	UGT2B17	19595	-4.078100681304932	0.014506183	No	
