KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant KO_1G4_LTED	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value KO_1G4_LTED	N: Student's T-test q-value KO_1G4_LTED	N: Student's T-test Difference KO_1G4_LTED	N: Student's T-test Test statistic KO_1G4_LTED	T: ProteinGroup	T: Gene	T: Description
13,1325	12,8596	13,0895	12,0704	11,5651	12,0269	12,0558	12,6117	9,44596	10,1013	11,4136	11,6569	13,3803	14,3858	13,835	+	KO_1G4_LTED	15	1,97564	0,00783781	2,13353	3,6602	A0A087WVW6;Q9UHV5	RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
20,437	20,6557	19,3713	21,0039	18,7225	20,325	20,3515	18,4711	17,802	15,6188	19,1388	17,0006	18,8728	15,3984	18,5668	+	KO_1G4_LTED	15	1,96802	0,00802358	2,97691	3,64548	A0A0B4J2A2	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C
18,9768	17,2954	18,0285	17,1721	17,6449	17,9969	18,1225	17,8681	16,6195	15,4033	15,6904	15,5996	16,1617	16,8479	16,3464	+	KO_1G4_LTED	15	2,20542	0,00520591	2,04002	4,11783	A0A0C4DGB5	CAST	Calpastatin
15,1534	14,3765	14,83	14,0157	13,5339	13,4278	13,2028	13,524	12,5692	12,3871	12,5658	12,3264	14,6131	14,7881	14,6815	+	KO_1G4_LTED	15	3,77293	0,000300917	2,13177	8,2742	A1L170	C1orf226	Uncharacterized protein C1orf226
12,5481	12,8551	12,6231	12,7553	12,7908	12,5678	12,7212	12,7418	14,5227	14,9298	14,71	14,8901	12,2706	11,6063	11,5947	+	KO_1G4_LTED	15	5,70586	0	-2,06775	-17,8783	A4D161;B8ZZQ8	FAM221A	Protein FAM221A
17,4947	15,8503	16,5746	14,1273	13,6741	13,4293	13,1809	12,754	13,6523	12,7738	12,7681	13,0603	12,1519	12,87	12,0756	+	KO_1G4_LTED	15	2,13366	0,00605691	2,94811	3,97191	A6XND0;A6XND1;P17936	IGFBP3	Insulin-like growth factor-binding protein 3;Insulin-like growth factor binding protein 3 isoform b;Insulin-like growth factor-binding protein 3
16,4503	16,5539	16,5484	16,2498	16,3203	16,136	15,6946	16,0624	13,7317	13,9136	14,559	14,4277	13,7865	13,766	13,0355	+	KO_1G4_LTED	15	4,44042	0,000178082	2,29257	10,8519	B0QYF8;P02144	MB	Myoglobin (Fragment);Myoglobin
11,3514	11,6924	11,1369	11,3022	12,4616	12,2248	11,9465	12,5428	14,2531	13,5175	12,9973	12,9088	13,3044	11,8096	12,8475	+	KO_1G4_LTED	15	3,09346	0,000874494	-2,04843	-6,20744	B0QZE2;B7Z2J6;E7ENI9;Q15326	ZMYND11	Zinc finger MYND domain-containing protein 11
14,5825	14,929	14,6738	14,6155	14,8849	15,0948	15,0059	14,7252	12,0382	11,9026	12,2608	12,173	15,5806	16,2063	15,6376	+	KO_1G4_LTED	15	6,40745	0	2,60656	23,4821	B1AK53	ESPN	Espin
12,7005	13,1422	13,4143	12,6555	10,1951	10,5361	10,2237	10,8262	9,47526	9,35408	10,2683	10,102	8,11153	9,52631	10,6505	+	KO_1G4_LTED	15	4,46021	0,000181185	3,17821	10,9383	B4DK69;P52895	AKR1C2	Aldo-keto reductase family 1 member C2
