NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP12	145	5.626562118530273	0.027506117	No	
row_1	LYN	228	4.527255535125732	0.051396087	No	
row_2	F7	395	3.4201745986938477	0.06416814	No	
row_3	KLKB1	539	2.8330695629119873	0.074469104	No	
row_4	USP8	553	2.7755191326141357	0.091005154	No	
row_5	CLU	734	2.337944984436035	0.09636259	No	
row_6	FYN	880	2.0696940422058105	0.1018328	No	
row_7	PDP1	1085	1.736784815788269	0.102248944	No	
row_8	FN1	1308	1.5059510469436646	0.10032231	No	
row_9	CSRP1	1337	1.4801793098449707	0.10807276	No	
row_10	SCG3	1372	1.4487031698226929	0.11532396	No	
row_11	F8	1451	1.3800749778747559	0.11991898	No	
row_12	PRKCD	1547	1.308434247970581	0.12320819	No	
row_13	CPM	1823	1.1277880668640137	0.116251364	No	
row_14	LGALS3	1869	1.1044145822525024	0.12081184	No	
row_15	MMP15	2046	1.0100914239883423	0.11814564	No	
row_16	CASP9	2168	0.9594060182571411	0.11795417	No	
row_17	FCER1G	2248	0.9287266731262207	0.11970225	No	
row_18	ANG	2324	0.9005743265151978	0.12147873	No	
row_19	SERPINA1	2380	0.8797038197517395	0.12414	No	
row_20	DOCK10	2388	0.8772681355476379	0.12922002	No	
row_21	SERPINC1	2428	0.8652579188346863	0.13260308	No	
row_22	TFPI2	2485	0.8458638787269592	0.135004	No	
row_23	MSRB1	2642	0.797808825969696	0.13203673	No	
row_24	MMP14	2809	0.7443921566009521	0.12823147	No	
row_25	ME1	2828	0.7374754548072815	0.13188767	No	
row_26	MAFF	3014	0.6892635822296143	0.1267775	No	
row_27	SPOCK2	3103	0.6706128716468811	0.12647013	No	
row_28	PIK3R5	3169	0.6545045375823975	0.12722917	No	
row_29	PHEX	3218	0.6431364417076111	0.12877978	No	
row_30	PSEN1	3220	0.6425478458404541	0.13270986	No	
row_31	RNF4	3359	0.614287793636322	0.1295183	No	
row_32	GP1BA	3595	0.569561779499054	0.121131286	No	
row_33	RBSN	3635	0.5623521208763123	0.12263775	No	
row_34	DOCK9	3689	0.5533394813537598	0.1233785	No	
row_35	ANXA5	3740	0.5450511574745178	0.12422003	No	
row_36	RHOG	3874	0.5228850841522217	0.12071572	No	
row_37	COL4A2	3898	0.517798125743866	0.122757435	No	
row_38	CALM1	3959	0.5079956650733948	0.12286234	No	
row_39	STX4	4030	0.4977281093597412	0.12239659	No	
row_40	XPNPEP1	4149	0.477554589509964	0.11937202	No	
row_41	GMFB	4301	0.45709604024887085	0.11454745	No	
row_42	ADAM9	4529	0.426838755607605	0.10568186	No	
row_43	PDGFB	4574	0.42082932591438293	0.10605802	No	
row_44	CFB	4691	0.4059886038303375	0.10269149	No	
row_45	ATOX1	4702	0.4050847589969635	0.10469407	No	
row_46	PCLO	4766	0.3978370428085327	0.10396439	No	
row_47	S100A13	5003	0.3704894781112671	0.094293356	No	
row_48	C2	5073	0.36304396390914917	0.09304389	No	
row_49	CASP7	5295	0.34126603603363037	0.08395239	No	
row_50	ADRA2B	5319	0.3381105959415436	0.08488088	No	
row_51	MMP13	5425	0.32739752531051636	0.081585206	No	
row_52	USP15	5551	0.3135974705219269	0.07718994	No	
row_53	CTSL	5586	0.3097604811191559	0.07738504	No	
row_54	VCPIP1	5841	0.2842550575733185	0.06626707	No	
row_55	RAF1	5972	0.2694656252861023	0.06134487	No	
row_56	DYRK2	6399	0.23021961748600006	0.04117091	No	
row_57	DGKH	6623	0.21426990628242493	0.03119121	No	
row_58	PIK3CA	6871	0.19470207393169403	0.019873366	No	
row_59	CDH13	6873	0.1946343630552292	0.021028481	No	
row_60	PRSS36	6907	0.19169925153255463	0.02054286	No	
row_61	DUSP6	6913	0.19130411744117737	0.021474525	No	
row_62	EHD1	6918	0.1910618543624878	0.022455394	No	
row_63	PPP2CB	6985	0.1854778677225113	0.02025797	No	
row_64	RASGRP1	7136	0.1734132617712021	0.0137266	No	
row_65	HSPA5	7165	0.17131289839744568	0.013368203	No	
row_66	WAS	7554	0.14145773649215698	-0.0054288823	No	
row_67	USP14	7580	0.1396699845790863	-0.005831203	No	
row_68	APOBEC3F	8216	0.09434273838996887	-0.037444264	No	
row_69	LAP3	8325	0.08653203397989273	-0.04238429	No	
row_70	KCNIP2	8759	0.05881447717547417	-0.063975096	No	
row_71	BRPF3	8960	0.04629998281598091	-0.07382921	No	
row_72	SIRT6	9093	0.0365244597196579	-0.08029596	No	
row_73	ITGAM	9121	0.035016730427742004	-0.08144805	No	
row_74	TIMP2	9572	0.004886818118393421	-0.104234934	No	
row_75	CP	10062	-0.026314057409763336	-0.12886655	No	
row_76	CALM3	10290	-0.0402706153690815	-0.14012705	No	
row_77	PRCP	10433	-0.04967356473207474	-0.14701939	No	
row_78	LIPA	10931	-0.08047545701265335	-0.1717211	No	
