KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant LTED_WT	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value LTED_WT	N: Student's T-test q-value LTED_WT	N: Student's T-test Difference LTED_WT	N: Student's T-test Test statistic LTED_WT	T: ProteinGroup	T: Gene	T: Description
18,6861	19,2278	18,6073	16,7415	18,9087	18,7845	18,8109	19,2565	18,8225	18,4396	18,5674	17,9078	21,5087	21,4886	21,5139	+	LTED_WT	15	4,39161	0,000119266	-3,06942	-13,4558	A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP8;P11532	DMD	Dystrophin
11,6969	11,4003	11,3748	11,2782	12,4251	12,3081	11,7182	12,4159	13,0044	12,5433	12,251	12,3952	10,6463	10,3426	9,52899	+	LTED_WT	15	3,03767	0,000938695	2,37584	6,99973	A0A087WVE9;Q9HBZ2	ARNT2	Aryl hydrocarbon receptor nuclear translocator 2
13,1325	12,8596	13,0895	12,0704	11,5651	12,0269	12,0558	12,6117	9,44596	10,1013	11,4136	11,6569	13,3803	14,3858	13,835	+	LTED_WT	15	2,30763	0,00336632	-3,21259	-4,79054	A0A087WVW6;Q9UHV5	RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
16,2653	15,624	15,8567	11,6921	14,8762	15,3884	15,1963	14,7466	12,6676	12,9467	13,0228	13,0371	16,1787	16,3714	16,0524	+	LTED_WT	15	5,77444	0	-3,28227	-25,6531	A0A087WWM1	MUC1	Mucin-1
12,7091	13,2155	13,0438	13,3322	13,1532	13,445	13,6212	13,4456	13,2963	13,5203	13,4663	13,6859	11,3722	11,2509	11,3954	+	LTED_WT	15	5,35136	0	2,15271	21,0789	A0A087X0Y1;Q5TC63	GRTP1	Growth hormone-regulated TBC protein 1
9,80446	NaN	9,98744	NaN	9,28947	9,72773	NaN	9,95163	10,3122	10,2695	10,6662	10,6918	12,7194	13,2997	12,9942	+	LTED_WT	12	4,32339	0,000111588	-2,51951	-13,0297	A0A087X1K6;Q9Y2Y9	KLF13	Krueppel-like factor 13
13,8089	13,4208	13,666	12,7531	13,5021	12,6191	13,1017	13,3821	11,9346	11,579	11,8385	11,5282	13,9459	13,9006	13,6396	+	LTED_WT	15	4,6099	0	-2,10861	-14,9108	A0A0A0MR04;B4DI03;K7EJQ7;Q9BY50	SEC11C	Signal peptidase complex catalytic subunit SEC11C;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11C
13,1818	13,1207	11,8096	10,9906	12,4969	13,2989	13,0555	12,9143	11,961	12,9744	12,4392	12,3259	14,8475	14,4636	14,4562	+	LTED_WT	15	3,30691	0,000570508	-2,16396	-7,99871	A0A0A6YYL2;P0DMM9;P0DMN0	SULT1A4;SULT1A3;SULT1A4	Sulfotransferase;Sulfotransferase 1A3;Sulfotransferase 1A4
15,0323	14,837	15,102	14,4597	14,8924	14,8435	14,5438	14,8271	15,1824	15,1931	15,356	15,3434	12,9194	13,5863	13,1955	+	LTED_WT	15	4,13048	0,000365517	2,035	11,8929	A0A0B4J2F0	PIGBOS1	Protein PIGBOS1
18,682	20,0635	19,4278	18,563	19,3035	18,2039	19,7886	18,5544	17,766	18,3146	18,1593	18,5687	21,2141	20,8412	21,3247	+	LTED_WT	15	4,2396	0,000240777	-2,92451	-12,5238	A0A0C4DG40;E7ENN3;Q8NF91	SYNE1	Nesprin-1
14,0208	14,0924	NaN	13,1177	NaN	NaN	NaN	13,9818	14,7728	14,7037	14,0499	14,3154	17,3915	17,6877	17,4049	+	LTED_WT	11	4,47687	0,000131313	-3,03426	-14,0071	A0A0J9YW36;Q9NZ72	STMN3	Stathmin-3 (Fragment);Stathmin-3
12,8325	13,6477	13,2806	13,6349	12,9642	13,2619	12,2899	13,6784	15,1314	14,4589	14,0896	13,861	12,4029	10,367	12,1983	+	LTED_WT	15	2,11643	0,00485204	2,72912	4,3092	A0A0U1RQV3;Q12805	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 (Fragment);EGF-containing fibulin-like extracellular matrix protein 1
15,1551	14,9491	14,9807	14,9922	15,6976	15,4899	15,2407	15,5668	15,0034	15,2601	15,5617	15,4116	13,4292	12,9614	13,5268	+	LTED_WT	15	3,74089	0,000250888	2,00342	9,8747	A0A1C7CYX8;C9J6N5;C9JQ40;C9JW51;Q9H098	FAM107B	Protein FAM107B (Fragment);Protein FAM107B (Fragment);Protein FAM107B (Fragment);Protein FAM107B (Fragment);Protein FAM107B
18,2724	18,2507	18,3175	18,2311	18,3735	18,4134	18,3682	18,3706	18,9229	18,9639	19,1607	19,1264	16,8416	16,976	16,8971	+	LTED_WT	15	5,94983	0	2,13857	27,8246	A0A1C7CYX9;Q16555	DPYSL2	Dihydropyrimidinase-related protein 2
