NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLFML3	326	3.785071849822998	-0.0015987423	No	
row_1	CYP26B1	391	3.4319119453430176	0.008716727	No	
row_2	OPN3	431	3.245295286178589	0.019564541	No	
row_3	REEP1	560	2.755855083465576	0.023956088	No	
row_4	AR	623	2.59147310256958	0.031050786	No	
row_5	MSMB	658	2.5170743465423584	0.03927385	No	
row_6	SLC27A2	962	1.9257761240005493	0.03149351	No	
row_7	FASN	965	1.9173997640609741	0.03897166	No	
row_8	AQP3	1075	1.7504565715789795	0.040353972	No	
row_9	SLC24A3	1097	1.7248064279556274	0.046105526	No	
row_10	FARP1	1234	1.5752240419387817	0.045423448	No	
row_11	NBL1	1342	1.4742772579193115	0.04581559	No	
row_12	KRT15	1383	1.4403430223464966	0.049477365	No	
row_13	ADCY1	1468	1.3663561344146729	0.05061134	No	
row_14	MICB	1564	1.297216534614563	0.05091317	No	
row_15	ZNF185	1584	1.2823221683502197	0.05501712	No	
row_16	GAB2	1754	1.1695295572280884	0.051054787	No	
row_17	PLAAT3	1843	1.1215696334838867	0.051017877	No	
row_18	SVIL	2134	0.9747575521469116	0.040138457	No	
row_19	DHCR7	2186	0.9530740976333618	0.041315157	No	
row_20	SH3BP5	2208	0.9449413418769836	0.04398379	No	
row_21	MINDY1	2294	0.9134357571601868	0.043276504	No	
row_22	SLC39A6	2390	0.8770583868026733	0.041917387	No	
row_23	ASB13	2448	0.8572712540626526	0.042410553	No	
row_24	CD44	2646	0.796790599822998	0.03555225	No	
row_25	INHBB	2717	0.7705172300338745	0.03504203	No	
row_26	FHL2	2765	0.7557459473609924	0.035641875	No	
row_27	SYNGR1	3106	0.6694959998130798	0.021015575	No	
row_28	TBC1D30	3301	0.626869261264801	0.013637959	No	
row_29	SLC37A1	3533	0.5792992115020752	0.0041925926	No	
row_30	TOB1	3713	0.549191951751709	-0.002730053	No	
row_31	KRT13	3760	0.5420495271682739	-0.0029241769	No	
row_32	GFRA1	4191	0.47163334488868713	-0.022904895	No	
row_33	TGM2	4252	0.4629371464252472	-0.024123	No	
row_34	ABCA3	4358	0.44910022616386414	-0.027681924	No	
row_35	STC2	4611	0.41575926542282104	-0.038840644	No	
row_36	SFN	4841	0.3901527225971222	-0.048932128	No	
row_37	RET	5161	0.3545283079147339	-0.063736685	No	
row_38	BHLHE40	5252	0.3445732593536377	-0.066946775	No	
row_39	BAG1	5416	0.32859766483306885	-0.07392862	No	
row_40	MED13L	5568	0.3114660680294037	-0.080368556	No	
row_41	RPS6KA2	5575	0.3104862868785858	-0.07944597	No	
row_42	AFF1	5931	0.27386605739593506	-0.096398294	No	
row_43	ABHD2	6297	0.23991163074970245	-0.11399287	No	
row_44	MAPT	6429	0.2286681979894638	-0.11974406	No	
row_45	NCOR2	6455	0.22677242755889893	-0.120117664	No	
row_46	ALDH3B1	6482	0.22472113370895386	-0.12055018	No	
row_47	TIAM1	6494	0.2239835113286972	-0.12022357	No	
row_48	IL6ST	6540	0.22098131477832794	-0.12163612	No	
row_49	RETREG1	6678	0.20998138189315796	-0.127766	No	
row_50	ESRP2	6846	0.19633299112319946	-0.13547392	No	
row_51	XBP1	6992	0.18487952649593353	-0.14210945	No	
row_52	CALCR	7021	0.18297436833381653	-0.1428086	No	
row_53	RASGRP1	7136	0.1734132617712021	-0.14791457	No	
row_54	ELF1	7169	0.17103050649166107	-0.14886415	No	
row_55	ISG20L2	7178	0.17050890624523163	-0.14859654	No	
row_56	MREG	7206	0.1678360402584076	-0.14930472	No	
row_57	HES1	7760	0.12557213008403778	-0.1769022	No	
row_58	CANT1	8277	0.08980531245470047	-0.20276138	No	
row_59	SCARB1	9449	0.013575686141848564	-0.26219764	No	
row_60	IGFBP4	9701	-0.0036362549290060997	-0.27493474	No	
row_61	ANXA9	10311	-0.04183117672801018	-0.30570823	No	
row_62	KRT19	10674	-0.06430794298648834	-0.32384458	No	
row_63	SIAH2	11205	-0.09907945990562439	-0.3503783	No	
row_64	PAPSS2	11368	-0.10963457822799683	-0.35817495	No	
row_65	ELF3	11481	-0.11591799557209015	-0.3634066	No	
row_66	ARL3	11560	-0.12097537517547607	-0.366891	No	
row_67	AKAP1	11985	-0.15026335418224335	-0.38783732	No	
row_68	P2RY2	12037	-0.15333718061447144	-0.3898221	No	
row_69	ADD3	12076	-0.15569007396697998	-0.39113712	No	
row_70	CCND1	12448	-0.1801343560218811	-0.40927282	No	
row_71	IGF1R	12966	-0.21455295383930206	-0.43468964	No	
row_72	LAD1	13212	-0.23381677269935608	-0.446212	No	
row_73	FDFT1	13247	-0.23654191195964813	-0.4470042	No	
row_74	RAB31	13322	-0.2417067438364029	-0.4498081	No	
row_75	FAM102A	13604	-0.2634107768535614	-0.46304235	No	
row_76	RAB17	13666	-0.2680243253707886	-0.46508178	No	
row_77	WFS1	13709	-0.27227985858917236	-0.46613914	No	
row_78	NXT1	14092	-0.29998430609703064	-0.48435986	No	
row_79	OVOL2	14175	-0.30690819025039673	-0.48731244	No	
row_80	LRIG1	14197	-0.30843278765678406	-0.48716003	No	
row_81	DYNLT3	14203	-0.30892685055732727	-0.4861928	No	
row_82	WWC1	14529	-0.33369842171669006	-0.5013845	No	
row_83	SLC9A3R1	14686	-0.348076730966568	-0.50793374	No	
row_84	MYC	14739	-0.35285574197769165	-0.5091806	No	
