X.1..oecf4_20220506_KO_1G4_DIA_r1.raw.PG.Quantity	X.2..oecf4_20220506_KO_1G4_DIA_r3.raw.PG.Quantity	X.3..oecf4_20220506_KO_1G4_DIA_r4.raw.PG.Quantity	X.4..oecf4_20220506_KO_1G4_DIA_r4_20220508144015.raw.PG.Quantity	X.5..oecf4_20220506_KO_3G4_DIA_r1.raw.PG.Quantity	X.6..oecf4_20220506_KO_3G4_DIA_r3.raw.PG.Quantity	X.7..oecf4_20220506_KO_3G4_DIA_r4.raw.PG.Quantity	X.8..oecf4_20220506_KO_3G4_DIA_r5.raw.PG.Quantity	X.9..oecf4_20220506_LTED_DIA_r1.raw.PG.Quantity	X.10..oecf4_20220506_LTED_DIA_r3.raw.PG.Quantity	X.11..oecf4_20220506_LTED_DIA_r3_20220508005236.raw.PG.Quantity	X.12..oecf4_20220506_LTED_DIA_r4.raw.PG.Quantity	X.13..oecf4_20220506_WT_DIA_r1.raw.PG.Quantity	X.14..oecf4_20220506_WT_DIA_r2.raw.PG.Quantity	X.15..oecf4_20220506_WT_DIA_r3.raw.PG.Quantity	C: Student's T-test Significant KO_3G4_LTED	C: Student's T-test significant	N: -Log Student's T-test p-value KO_3G4_LTED	N: Student's T-test q-value KO_3G4_LTED	N: Student's T-test Difference KO_3G4_LTED	N: Student's T-test Test statistic KO_3G4_LTED	T: PG.ProteinGroups	T: PG.Genes	T: PG.ProteinDescriptions
NaN	11.8286	12.009	11.8411	11.1995	11.5647	11.6996	11.0515	11.6537	11.5689	11.8319	11.9631	11.9263	12.1616	11.958	+	KO_3G4_LTED	1.11622	0.0456672	-0.375573	-2.13649	A0A024QZ33;Q9H0G5	NSRP1	Coiled-coil domain containing 55
18.5232	18.3961	18.441	18.4497	18.7113	18.7521	18.7838	18.619	18.7398	18.8725	19.0905	18.9945	18.0071	18.3779	17.7124	+	KO_3G4_LTED	1.31752	0.02919	-0.207789	-2.4749	A0A024QZX5;A0A087X1N8;P35237	SERPINB6	Serpin B6
15.3358	14.1201	14.865	12.869	14.6256	15.0321	14.7002	14.6422	10.2395	NaN	11.8147	NaN	NaN	NaN	NaN			NaN	1	0	NaN	A0A024R0K5;A0A087WYX0;P06731;P13688;P31997	CEACAM5;CEACAM5;CEACAM5;CEACAM1;CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 1;Carcinoembryonic antigen-related cell adhesion molecule 8
15.2603	15.4481	15.6963	16.0441	15.2332	15.4197	15.8192	14.5651	13.1658	15.1309	15.123	15.2778	14.9456	15.2313	14.3007			0.464939	0.239116	0.584916	1.0298	A0A024R161;P50151	DNAJC25-GNG10;GNG10	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10
NaN	17.3887	17.3489	17.3342	17.2861	17.2431	17.4118	17.2835	17.3047	17.8334	17.658	17.6163	17.5536	18.0193	18.131	+	KO_3G4_LTED	1.36833	0.025943	-0.296971	-2.56149	A0A024R4E5	HDLBP	High density lipoprotein binding protein (Vigilin)
14.0364	13.8835	13.9736	13.8989	13.6354	13.1568	13.2376	13.4256	13.6242	13.4167	13.4901	13.4541	14.4414	14.6502	14.6097			0.528272	0.199597	-0.132421	-1.14375	A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A
14.2908	14.3862	14.2603	14.1748	14.3418	14.1551	13.9605	14.2571	14.1466	13.9772	14.2798	14.3506	14.9613	14.6281	14.5818			0.0294425	0.907902	-0.00996184	-0.0857524	A0A024R644;A0A1B0GWI2;O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5
16.6094	16.7007	16.493	16.8353	16.4494	16.4117	16.198	16.4328	16.6463	16.4863	16.3513	16.3316	16.5489	15.9863	16.5993			0.376031	0.308193	-0.0808721	-0.864166	A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	Transcription elongation factor 1 homolog
12.1478	12.2207	12.246	10.276	12.3429	12.5381	11.048	12.0534	11.6161	11.3765	11.8048	11.4666	11.776	12.7516	12.2282			0.587629	0.16942	0.429612	1.24823	A0A024R7P0;F5GY33;H0YGQ6;O14593	RFXANK	DNA-binding protein RFXANK;DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK
19.1924	19.3622	19.3685	19.4527	19.088	19.4069	19.3881	19.1038	19.1997	19.3581	19.3625	19.3817	19.1126	19.2543	19.1487			0.349604	0.332253	-0.0788131	-0.813336	A0A024RA52;P25787	PSMA2	Proteasome subunit alpha type;Proteasome subunit alpha type-2
15.6315	15.7251	15.7832	15.6884	15.3385	15.4607	15.3686	15.4255	15.6588	15.8858	15.8672	15.8243	15.4229	15.3988	15.415	+	KO_3G4_LTED	3.37726	0.000733272	-0.410677	-7.01218	A0A024RAC6	ELOA	Elongin-A
15.8218	14.5653	14.8945	14.5658	16.7189	15.9497	16.7137	16.2249	14.387	13.5611	14.2969	13.6878	13.6308	13.746	13.9219	+	KO_3G4_LTED	3.85234	0.000222222	2.41862	8.54941	A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B
NaN	NaN	15.526	15.6936	15.5443	15.7893	15.3294	15.442	15.574	15.1872	15.9571	15.7113	15.5251	15.3881	14.6032			0.166406	0.578203	-0.0811677	-0.430739	A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1	SLC22A18	Solute carrier family 22 (Organic cation transporter)
NaN	14.0147	14.6543	14.1017	14.2949	13.5371	13.5339	13.7663	13.3066	13.449	14.1804	13.6688	13.6662	14.5056	14.6466			0.198585	0.52225	0.131831	0.502811	A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5	PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;;PPT2;PPT2;PPT2;PPT2	HCG1999928
18.0455	18.0558	18.1036	17.9873	17.7033	17.822	17.8982	17.8356	18.1882	17.7456	17.6821	17.6123	17.6822	18.0156	17.9076			0.0192917	0.939204	0.00773382	0.0567967	A0A024RCR6;A0A0G2JK23;P46379	BAG6	BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6
14.0693	14.2774	14.1432	14.9381	14.1126	14.1665	14.524	14.3248	14.2565	13.036	12.9248	13.1671	13.187	13.4638	13.0774	+	KO_3G4_LTED	1.57172	0.0174171	0.93588	2.9149	A0A044PY82;Q96FF7	MISP3	Uncharacterized protein MISP3
13.9727	13.865	13.814	13.6019	14.2178	14.4877	14.2718	14.1993	14.7745	14.5755	14.4909	14.391	13.3472	13.7313	13.6442	+	KO_3G4_LTED	1.33937	0.0276903	-0.263799	-2.51207	A0A067XG54;Q8NB49	ATP11C	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG
12.5012	11.7178	12.4149	11.9779	11.8782	11.9353	11.7517	12.1306	11.8315	10.2344	10.0393	10.6987	11.2124	12.0412	11.7402	+	KO_3G4_LTED	1.61368	0.0160956	1.22294	2.98937	A0A075B6E4;A0A0A6YYI5;E7EQU6;E7EWF5;G5E9M7;G5E9M9;Q14135	VGLL4	Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4
18.6861	19.2278	18.6073	16.7415	18.9087	18.7845	18.8109	19.2565	18.8225	18.4396	18.5674	17.9078	21.5087	21.4886	21.5139	+	KO_3G4_LTED	1.20543	0.037343	0.505817	2.28569	A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP8;P11532	DMD	Dystrophin
NaN	NaN	14.0087	13.8531	13.9325	14.0113	13.9327	13.9159	13.9513	13.8778	13.9135	13.8676	13.762	13.7667	13.6607			0.787741	0.101284	0.0455182	1.5896	A0A075B6P0;Q330K2	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I
12.4431	12.4383	12.6336	11.4733	12.7918	12.614	12.5201	12.7953	12.938	12.6027	12.5984	12.6558	13.2217	13.1477	13.1554			0.0616995	0.814799	-0.018398	-0.174034	A0A075B6T1;Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1
13.9598	13.8482	13.6484	9.43669	13.109	12.6383	11.9867	13.0822	12.6492	12.7879	12.7361	12.6086	12.5602	12.6891	12.6304			0.0108983	0.964793	0.00859666	0.0323818	A0A075B6T4;Q9NVX7	KBTBD4	Kelch repeat and BTB domain-containing protein 4
NaN	NaN	NaN	17.5775	17.7178	17.6543	17.919	16.9206	17.0249	17.0267	16.8072	17.4643	17.9755	17.866	17.7343			0.931569	0.0709114	0.472174	1.82952	A0A087WSW9;A0A087WSY9;Q16881	TXNRD1	Thioredoxin reductase 1
16.7937	17.1055	16.9156	17.1093	16.4153	16.2409	15.967	16.0689	15.3855	15.3354	16.1732	15.9884	16.9382	17.5103	17.3988			0.996944	0.0609437	0.452406	1.9381	A0A087WT12;A0A087X2I2;P36969	GPX4	Glutathione peroxidase;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase
14.977	15.13	15.3181	15.1855	14.6899	14.7455	14.5221	14.6751	14.7001	14.9241	14.9749	14.8847	14.6012	14.6529	14.8928	+	KO_3G4_LTED	1.49304	0.0203348	-0.212762	-2.77677	A0A087WT18;Q96A73	KIAA1191	Putative monooxygenase p33MONOX
14.9257	15.5245	14.8243	14.7766	14.8413	15.2182	14.4713	14.7267	15.3297	15.456	15.0228	14.9904	16.2011	15.2301	16.0157			1.03231	0.0559625	-0.385342	-1.99685	A0A087WT20;Q9NV06	DCAF13	DDB1- and CUL4-associated factor 13
11.1335	10.2005	10.3498	NaN	10.8641	10.6602	NaN	10.3724	11.2331	10.4003	10.7945	10.2358	11.7849	11.2866	11.4382			0.040164	0.874908	-0.0337142	-0.116665	A0A087WT23;A0A087WV67;O00124	UBXN8	UBX domain-containing protein 8
NaN	NaN	NaN	NaN	13.0386	13.1605	13.1539	13.7351	13.0386	13.1872	13.4462	12.8947	12.8132	12.6113	12.7756			0.274758	0.413431	0.130305	0.664306	A0A087WT42;Q5VVW5;Q9NY64	SLC2A8	Solute carrier family 2
NaN	NaN	NaN	NaN	14.7922	14.4823	14.1235	13.1649	14.7251	14.8583	13.313	14.8227	14.1005	13.4866	14.1602			0.226198	0.480226	-0.289034	-0.562704	A0A087WT80;A0A087WW73;A0A1B0GWB6;Q9NQ66	PLCB1	1-phosphatidylinositol 4
13.2724	13.3144	13.3906	11.8806	12.9037	12.3362	11.6689	12.8417	13.1451	13.1078	13.2313	12.9059	13.1238	13.2102	13.0563	+	KO_3G4_LTED	1.17981	0.0395874	-0.659868	-2.24273	A0A087WTA5	EIF2B4	Translation initiation factor eIF-2B subunit delta
13.3848	13.4377	13.5277	13.1778	13.3359	12.951	12.8158	13.4301	13.6348	13.9116	13.984	13.8873	13.6305	13.6014	13.7106	+	KO_3G4_LTED	2.30833	0.0041744	-0.721218	-4.33224	A0A087WTC6;D6R9E3;D6RCT6;Q9BWT6	MND1	Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog (Fragment);Meiotic nuclear division protein 1 homolog
13.0893	12.8389	12.6558	13.1614	14.3561	14.3908	14.7954	14.4006	14.0033	13.9249	13.9333	13.9857	12.7891	12.9196	12.0701	+	KO_3G4_LTED	2.59675	0.00254726	0.52391	4.96845	A0A087WTK0;A0A087WVC6;Q12913	PTPRJ	Receptor-type tyrosine-protein phosphatase eta
20.3268	20.58	20.5615	20.1619	19.7924	20.1673	20.0623	20.0471	19.9643	19.8368	19.6411	19.86	19.531	19.8413	19.9575			0.936679	0.0700729	0.19174	1.83801	A0A087WTM1;A0A087WZ85;A0A0A0MSX4;Q9Y6N7	ROBO1	Roundabout homolog 1
15.618	15.9596	15.7179	15.8386	15.0755	15.3133	14.6929	15.0602	15.2222	14.8611	14.9515	15.2017	14.7321	14.6208	13.6625			0.0531129	0.837407	-0.023664	-0.151052	A0A087WTQ6;F8W6X9;Q7Z5N4	SDK1	Protein sidekick-1
14.3795	14.4538	14.5176	14.688	14.6959	14.9153	14.7498	14.8113	15.1082	15.1807	15.1425	15.1282	14.0901	14.3935	14.5799	+	KO_3G4_LTED	3.37492	0.00073193	-0.346848	-7.00523	A0A087WTT2;Q5JWB9;Q96A57	TMEM230	Transmembrane protein 230;Transmembrane protein 230 (Fragment);Transmembrane protein 230
14.6104	14.7405	14.76	14.3208	14.8499	15.1883	15.0761	14.9458	14.816	14.7139	14.8755	14.8081	14.7493	15.0972	14.7521	+	KO_3G4_LTED	1.39411	0.0246461	0.211666	2.60566	A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A1B0GVW6;D6RE84;Q9NP73	ALG13	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13
13.4267	13.1394	13.1307	12.2301	12.4847	12.7406	12.7857	12.5748	13.8705	13.9477	13.7668	13.7441	12.6098	12.5498	12.8243	+	KO_3G4_LTED	5.07747	0	-1.18579	-13.9758	A0A087WTU5;A0A087X0N3;Q96MY1	NOL4L	Nucleolar protein 4-like
18.2803	18.3636	18.6102	18.4726	18.4849	18.4569	18.271	18.5382	18.5065	18.4953	18.4946	18.6082	18.0215	18.0463	18.1184			0.661141	0.140133	-0.0883718	-1.37522	A0A087WTU9;A0A087WV20;Q8TCU4	ALMS1	Alstrom syndrome protein 1
